split,name,fold,v17_bucket,chosen_alpha,selected_delta_psnr,selected_delta_ssim,udp_delta_psnr,a0_psnr,ood_distance
val_hard,892_0.84_0.9.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,0.6410942077636719,34.15712356567383,1.9201086919006045
val_hard,899_0.93_1.74.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,1.0509223937988281,37.18638610839844,2.652834448050516
val_hard,905_0.65_1.3.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,2.9748802185058594,32.324989318847656,2.3069133095551906
val_hard,907_0.73_1.72.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,3.840984344482422,31.085704803466797,2.5889443450830805
val_hard,911_0.58_1.46.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,3.5382957458496094,35.421234130859375,2.7028612140763424
val_hard,929_0.67_0.83.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,0.7246475219726562,37.37812423706055,2.121778362694952
val_hard,932_0.81_1.54.png,trainheldout,hard_bottom25_by_a0_fulltrain,1.0,2.4513092041015625,0.0011006593704223633,2.4513092041015625,35.67013931274414,5.6083053269167795
val_hard,937_0.96_1.89.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-3.7246932983398438,31.789531707763672,5.250255912146306
val_hard,950_0.79_1.26.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.8535423278808594,32.81529235839844,3.4540836235662
val_hard,952_0.74_0.72.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.8487358093261719,35.17384338378906,2.487603091581632
val_hard,953_0.95_0.84.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.3572311401367188,32.65346145629883,2.523060326920647
val_hard,955_0.94_0.9.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.7023277282714844,32.98907470703125,2.4464863616306416
val_hard,972_0.52_0.9.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.31800079345703125,36.177764892578125,2.8904095009365247
val_hard,978_0.96_1.69.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,3.1256446838378906,31.94434356689453,3.569606988333759
val_hard,987_0.56_1.81.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.717529296875,37.07011413574219,3.8185369669835403
val_hard,996_0.93_0.78.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.8818778991699219,37.009498596191406,2.22547796411338
