alpha,head,count,positive_count,positive_ratio,roc_auc,pr_auc,brier
1.0,gain,3000,1306,0.43533333333333335,0.6529377625020113,0.581173496877032,0.2326546234453962
1.0,risk,3000,1593,0.531,0.6701534030145212,0.6932550718128636,0.2282629951942991
0.75,gain,3000,1672,0.5573333333333333,0.6638940630944832,0.6872232982442297,0.22933004686481953
0.75,risk,3000,1123,0.37433333333333335,0.6714566498614003,0.5661519769473342,0.22562627688086656
0.5,gain,3000,2017,0.6723333333333333,0.6954230848570466,0.809903741131129,0.22048146468126825
0.5,risk,3000,706,0.23533333333333334,0.6952506971011951,0.4392321696884643,0.21586683939051493
0.25,gain,3000,2203,0.7343333333333333,0.7172123561403378,0.8661110080416721,0.21243987141325799
0.25,risk,3000,383,0.12766666666666668,0.7364869785924728,0.3605188036348723,0.19260006156049544
