split,name,fold,v17_bucket,chosen_alpha,selected_delta_psnr,selected_delta_ssim,udp_delta_psnr,a0_psnr,ood_distance
train_inner,1000_0.74_1.6.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.5656356811523438,36.873966217041016,2.2566902040874823
train_inner,1001_0.89_1.66.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.6042137145996094,35.02719497680664,2.23984048914075
train_inner,1004_0.91_1.17.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.096416473388672,37.06013107299805,2.036573052847758
train_inner,1006_0.89_1.55.png,0,mid_by_a0_fulltrain,0.25,0.4174346923828125,0.0003693103790283203,0.5967788696289062,37.10527801513672,2.8044071703401685
train_inner,1008_0.52_1.98.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-3.732769012451172,39.033626556396484,3.69899678306919
train_inner,1009_0.84_0.56.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,1.6859931945800781,44.44267654418945,3.2213535422307586
train_inner,100_0.65_1.43.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,0.5195159912109375,36.15948486328125,2.049469836098136
train_inner,1021_0.73_0.84.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,0.7753334045410156,38.964195251464844,2.7117989608300874
train_inner,1048_0.73_0.95.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.6059761047363281,33.07466125488281,3.1698934475055696
train_inner,1060_0.94_1.09.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.3063125610351562,40.51256561279297,6.3294711167928455
train_inner,1061_0.91_0.94.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.09282684326171875,35.471275329589844,1.9378488203656636
train_inner,1067_0.62_1.35.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.3702163696289062,39.56053924560547,1.266320031159647
train_inner,1070_0.79_1.57.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.08420181274414062,34.430816650390625,1.894101952223372
train_inner,1078_0.96_0.54.png,0,easy_top25_by_a0_fulltrain,0.25,0.40357208251953125,0.00022268295288085938,-0.25583648681640625,43.20588684082031,3.197998992704188
train_inner,1081_0.66_1.5.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,0.8374481201171875,32.317710876464844,2.0066112198511137
train_inner,1082_0.94_0.87.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-1.4616775512695312,33.74047088623047,2.54226142564042
train_inner,1086_0.6_0.76.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,-2.348499298095703,44.276615142822266,3.899453644097521
train_inner,1107_0.98_1.25.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,0.05862236022949219,31.889360427856445,2.821205503097451
train_inner,1121_0.88_0.92.png,0,mid_by_a0_fulltrain,0.25,0.5720672607421875,0.0002467036247253418,1.3298301696777344,38.18872833251953,1.9709021250004752
train_inner,1126_0.73_0.82.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.4571571350097656,40.25669860839844,2.2672101168769703
train_inner,1141_0.93_1.87.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.2578048706054688,38.14891052246094,2.4164652545588154
train_inner,1148_0.78_0.59.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.8345565795898438,39.8319091796875,2.8522679069973202
train_inner,1149_0.98_1.73.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.7590599060058594,34.58671951293945,3.573171651642965
train_inner,1150_0.8_1.27.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,0.4741477966308594,40.397953033447266,4.924079932874375
train_inner,1152_0.65_1.76.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.6597442626953125,38.10239791870117,7.717996790867751
train_inner,1155_0.63_1.27.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.7263069152832031,40.32396697998047,1.98535304514383
train_inner,1163_0.95_1.89.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-4.742580413818359,34.37229537963867,3.108533952876221
train_inner,1187_0.82_1.57.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-4.991100311279297,40.15753936767578,3.4518904900632235
train_inner,118_0.72_0.71.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,1.1076469421386719,40.02846145629883,2.7084153321894227
train_inner,119_0.6_1.7.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.3513832092285156,33.85737991333008,2.648595391411186
train_inner,1205_0.78_1.01.png,0,mid_by_a0_fulltrain,0.25,0.29431915283203125,0.00011622905731201172,-0.3004150390625,40.097660064697266,2.875249748214069
train_inner,1206_0.81_1.09.png,0,mid_by_a0_fulltrain,0.25,0.323699951171875,0.00012624263763427734,-0.2547760009765625,39.218017578125,2.8754600498472147
train_inner,1215_0.9_0.73.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,0.07564163208007812,39.157020568847656,2.4209956278912483
train_inner,1219_0.76_1.2.png,0,hard_bottom25_by_a0_fulltrain,1.0,0.950897216796875,0.0010904669761657715,0.950897216796875,33.35542678833008,3.57747785984069
train_inner,1220_0.82_1.9.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.25968170166015625,31.035537719726562,7.323739462194152
train_inner,1242_0.99_0.57.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.0193214416503906,40.80760192871094,2.3071379787609967
train_inner,1243_0.64_1.03.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,0.4500694274902344,38.76432800292969,2.1958191586745546
train_inner,1255_0.65_1.08.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.1831016540527344,42.12042999267578,2.4968857478612634
train_inner,1265_0.62_1.32.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.6994056701660156,40.03427505493164,4.633618371442816
train_inner,1273_0.96_1.43.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.42596435546875,28.53624725341797,2.4147535941489853
train_inner,1277_0.79_1.18.png,0,mid_by_a0_fulltrain,0.25,0.7145195007324219,0.00032645463943481445,0.7094841003417969,40.29450225830078,3.1312097771774514
train_inner,1279_0.87_0.95.png,0,mid_by_a0_fulltrain,0.25,0.49404144287109375,0.0002480745315551758,0.05072021484375,40.799713134765625,3.1347325344037804
train_inner,1286_0.98_0.99.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,2.4173622131347656,36.48604965209961,2.5982750144707834
train_inner,1293_0.79_0.72.png,0,hard_bottom25_by_a0_fulltrain,1.0,3.5266036987304688,0.00035268068313598633,3.5266036987304688,34.502685546875,3.008825820608493
train_inner,1297_0.99_0.69.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,0.2620086669921875,44.68973159790039,3.5188278704814593
train_inner,1304_0.85_1.18.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.5054969787597656,35.2583122253418,1.7219249497521136
