fold,tau_gain,tau_risk,tau_ood,count,coverage,alpha_1p00_count,alpha_0p75_count,alpha_0p50_count,alpha_0p25_count,alpha_0p00_count,mean_delta,median_delta,p5_delta,p95_delta,hard_bottom25_delta,easy_top25_delta,worst10pct_delta,best10pct_delta,mean_ssim_delta,positive_ratio,worst_regression_ratio,strong_regression_ratio,utility_gate_pass
0,0.45,0.2,2566.904520697718,600,0.175,12,1,12,80,495,0.13391160011291503,0.0,0.0,0.7160217285156243,0.2231808598836263,0.126234093490912,-0.09141801198323568,1.2676732063293457,5.509903033574422e-05,0.15666666666666668,0.008333333333333333,0.013605442176870748,False
1,0.45,0.2,2566.904520697718,600,0.175,16,3,17,69,495,0.11250157038370769,0.0,0.0,0.7955230712890624,0.1582833616525535,0.11061253701486895,-0.15603001912434897,1.1292144457499187,5.434364080429077e-05,0.15333333333333332,0.01,0.012903225806451613,False
2,0.45,0.2,2566.904520697718,600,0.12333333333333334,10,1,13,50,526,0.09897608439127605,0.0,0.0,0.6844753265380855,0.10417610168457031,0.08015055372225528,-0.022237618764241535,0.9956220944722494,4.1785836219787595e-05,0.11,0.0033333333333333335,0.0,False
3,0.45,0.2,2566.904520697718,600,0.13333333333333333,4,5,8,63,520,0.07225186665852865,0.0,0.0,0.6642643928527832,0.07553510217858642,0.10937906901041666,-0.08845984141031901,0.7876635233561198,5.940834681193034e-05,0.11666666666666667,0.006666666666666667,0.006666666666666667,False
4,0.45,0.2,2566.904520697718,600,0.17166666666666666,10,2,14,77,497,0.12206406275431315,0.0,0.0,0.6869171142578121,0.14678929981432462,0.08385018588734322,-0.06708990732828776,1.142658519744873,5.705028772354126e-05,0.15666666666666668,0.005,0.02040816326530612,False
