sample_name,sample_index,crop_seed,selection_source_bucket,table_base_psnr_A0,table_delta_vs_A0,table_dssim_vs_A0
1896_0.7_0.8.png,993,4400,easy_top25_by_p1_table_A0,41.113487243652344,4.894874572753906,0.0003752708435058594
2370_0.65_1.01.png,1521,4928,easy_top25_by_p1_table_A0,40.95262908935547,4.462089538574219,0.0014417171478271484
2397_0.64_0.76.png,1550,4957,easy_top25_by_p1_table_A0,40.67257308959961,4.23699951171875,0.0005779266357421875
627_0.51_0.54.png,2585,5992,easy_top25_by_p1_table_A0,40.79170608520508,4.0458221435546875,0.0004901289939880371
1893_0.53_1.29.png,990,4397,easy_top25_by_p1_table_A0,42.14978790283203,3.8127899169921875,0.0004284381866455078
720_0.62_1.27.png,2689,6096,easy_top25_by_p1_table_A0,40.511207580566406,3.5474319458007812,0.0012428760528564453
861_0.95_0.65.png,2845,6252,easy_top25_by_p1_table_A0,40.746341705322266,3.3704071044921875,0.0004000663757324219
500_0.56_0.68.png,2445,5852,easy_top25_by_p1_table_A0,41.64704895019531,3.3454208374023438,0.0002014636993408203
290_0.6_1.14.png,2120,5527,easy_top25_by_p1_table_A0,41.84199523925781,3.2574462890625,0.0003783106803894043
1291_0.62_0.59.png,322,3729,easy_top25_by_p1_table_A0,40.37653350830078,3.1837234497070312,0.00012600421905517578
1479_0.8_1.08.png,530,3937,hard_bottom25_by_p1_table_A0,32.12825393676758,7.58203125,0.006551086902618408
810_0.78_1.52.png,2789,6196,hard_bottom25_by_p1_table_A0,23.832725524902344,7.2195587158203125,0.011438071727752686
490_0.83_1.67.png,2433,5840,hard_bottom25_by_p1_table_A0,30.70956802368164,6.896778106689453,0.005458950996398926
492_0.61_1.32.png,2435,5842,hard_bottom25_by_p1_table_A0,31.20379638671875,6.87872314453125,0.00538104772567749
453_0.76_1.67.png,2392,5799,hard_bottom25_by_p1_table_A0,30.915605545043945,6.709550857543945,0.003974795341491699
518_0.95_1.66.png,2464,5871,hard_bottom25_by_p1_table_A0,29.37237548828125,6.694740295410156,0.0071256160736083984
628_0.64_1.31.png,2586,5993,hard_bottom25_by_p1_table_A0,32.15536880493164,6.634548187255859,0.0025163888931274414
1197_0.84_0.85.png,217,3624,hard_bottom25_by_p1_table_A0,30.763004302978516,6.628547668457031,0.0019870996475219727
907_0.73_1.72.png,2896,6303,hard_bottom25_by_p1_table_A0,31.08701515197754,6.59846305847168,0.0036965608596801758
268_0.79_1.15.png,1875,5282,hard_bottom25_by_p1_table_A0,31.899532318115234,6.592899322509766,0.001990675926208496
126_0.75_1.47.png,298,3705,hard_bottom25_by_p1_table_A0,28.263137817382812,6.499267578125,0.005897998809814453
127_0.99_1.4.png,309,3716,hard_bottom25_by_p1_table_A0,27.430631637573242,6.256669998168945,0.006354331970214844
812_0.59_0.82.png,2791,6198,mid_by_p1_table_A0,36.54083251953125,7.3967132568359375,0.002644360065460205
467_0.75_1.41.png,2407,5814,mid_by_p1_table_A0,34.14467239379883,6.939128875732422,0.0010068416595458984
1166_0.73_1.03.png,183,3590,mid_by_p1_table_A0,35.95402908325195,6.545047760009766,0.0011844038963317871
355_0.85_0.53.png,2283,5690,mid_by_p1_table_A0,37.52004623413086,6.499736785888672,0.0011774897575378418
784_0.73_1.21.png,2759,6166,mid_by_p1_table_A0,34.54762268066406,6.417629241943359,0.0014237165451049805
267_0.59_0.62.png,1864,5271,mid_by_p1_table_A0,37.221290588378906,6.378898620605469,0.0008299350738525391
1397_0.94_0.79.png,439,3846,mid_by_p1_table_A0,36.07341003417969,6.265838623046875,0.0011154413223266602
672_0.8_0.77.png,2635,6042,mid_by_p1_table_A0,35.12131118774414,6.2009735107421875,0.000491797924041748
75_0.61_0.9.png,2732,6139,mid_by_p1_table_A0,36.99298095703125,6.147285461425781,0.000379025936126709
1462_0.61_1.4.png,512,3919,mid_by_p1_table_A0,35.28401565551758,6.075420379638672,0.0016373991966247559
