canary_index,sample_name,sample_index,crop_seed,split_source,base_psnr_A0,table_base_psnr_A0,table_delta_vs_A0,teacher_id,teacher_psnr,teacher_full_psnr,teacher_delta_vs_A0,teacher_lowfreq_LL_delta,p4_eligible_mask,hardness_bucket,strong_reference_bucket,easy_guard
0,1896_0.7_0.8.png,993,4400,easy_top25_by_p1_table_A0,44.94287109375,41.113487243652344,4.894874572753906,wdmamba_alpha0p5,46.89378356933594,44.305419921875,1.9509124755859375,2.258953094482422,True,mid_by_A0_canary,not_strong,False
1,2370_0.65_1.01.png,1521,4928,easy_top25_by_p1_table_A0,45.98817443847656,40.95262908935547,4.462089538574219,wdmamba_alpha0p5,47.80968475341797,43.47382354736328,1.8215103149414062,2.8880577087402344,True,mid_by_A0_canary,not_strong,False
2,2397_0.64_0.76.png,1550,4957,easy_top25_by_p1_table_A0,51.14942932128906,40.67257308959961,4.23699951171875,wdmamba_alpha0p5,48.221656799316406,44.48057556152344,-2.9277725219726562,-4.066383361816406,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
3,627_0.51_0.54.png,2585,5992,easy_top25_by_p1_table_A0,48.838829040527344,40.79170608520508,4.0458221435546875,wdmamba_alpha0p5,44.05848693847656,38.58920669555664,-4.780342102050781,-5.452186584472656,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
4,1893_0.53_1.29.png,990,4397,easy_top25_by_p1_table_A0,37.32975387573242,42.14978790283203,3.8127899169921875,wdmamba_alpha0p5,37.90504455566406,38.27396011352539,0.5752906799316406,0.611663818359375,True,hard_bottom25_by_A0_canary,not_strong,False
5,720_0.62_1.27.png,2689,6096,easy_top25_by_p1_table_A0,43.707481384277344,40.511207580566406,3.5474319458007812,wdmamba_alpha0p5,40.32411193847656,36.349205017089844,-3.3833694458007812,-3.975811004638672,False,mid_by_A0_canary,not_strong,False
6,861_0.95_0.65.png,2845,6252,easy_top25_by_p1_table_A0,45.17694091796875,40.746341705322266,3.3704071044921875,wdmamba_alpha0p5,38.08341598510742,33.15850067138672,-7.093524932861328,-7.802616119384766,False,mid_by_A0_canary,not_strong,False
7,500_0.56_0.68.png,2445,5852,easy_top25_by_p1_table_A0,49.12939453125,41.64704895019531,3.3454208374023438,wdmamba_alpha0p5,38.3696403503418,33.22597122192383,-10.759754180908203,-11.665401458740234,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
8,290_0.6_1.14.png,2120,5527,easy_top25_by_p1_table_A0,47.962623596191406,41.84199523925781,3.2574462890625,wdmamba_alpha0p5,42.93360137939453,37.758033752441406,-5.029022216796875,-5.993232727050781,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
9,1291_0.62_0.59.png,322,3729,easy_top25_by_p1_table_A0,46.56904602050781,40.37653350830078,3.1837234497070312,wdmamba_alpha0p5,40.9654541015625,36.85647964477539,-5.6035919189453125,-6.071918487548828,False,mid_by_A0_canary,not_strong,False
10,1479_0.8_1.08.png,530,3937,hard_bottom25_by_p1_table_A0,46.20441818237305,32.12825393676758,7.58203125,wdmamba_alpha0p5,40.546417236328125,35.50814437866211,-5.658000946044922,-6.312095642089844,False,mid_by_A0_canary,not_strong,False
11,810_0.78_1.52.png,2789,6196,hard_bottom25_by_p1_table_A0,34.83762741088867,23.832725524902344,7.2195587158203125,wdmamba_alpha0p5,39.38853454589844,40.4755744934082,4.550907135009766,4.818767547607422,True,hard_bottom25_by_A0_canary,not_strong,False
12,490_0.83_1.67.png,2433,5840,hard_bottom25_by_p1_table_A0,43.381866455078125,30.70956802368164,6.896778106689453,wdmamba_alpha0p5,37.10797882080078,31.41353988647461,-6.273887634277344,-7.416149139404297,False,mid_by_A0_canary,not_strong,False
13,492_0.61_1.32.png,2435,5842,hard_bottom25_by_p1_table_A0,44.832725524902344,31.20379638671875,6.87872314453125,wdmamba_alpha0p5,32.738712310791016,27.221033096313477,-12.094013214111328,-12.877189636230469,False,mid_by_A0_canary,not_strong,False
14,453_0.76_1.67.png,2392,5799,hard_bottom25_by_p1_table_A0,42.701820373535156,30.915605545043945,6.709550857543945,wdmamba_alpha0p5,41.64592361450195,38.1444206237793,-1.0558967590332031,-0.9610023498535156,False,hard_bottom25_by_A0_canary,not_strong,False
15,518_0.95_1.66.png,2464,5871,hard_bottom25_by_p1_table_A0,41.973960876464844,29.37237548828125,6.694740295410156,wdmamba_alpha0p5,41.541481018066406,38.14011764526367,-0.4324798583984375,-0.42636871337890625,False,hard_bottom25_by_A0_canary,not_strong,False
16,628_0.64_1.31.png,2586,5993,hard_bottom25_by_p1_table_A0,44.41545486450195,32.15536880493164,6.634548187255859,wdmamba_alpha0p5,43.37944793701172,36.795684814453125,-1.0360069274902344,-1.1034469604492188,False,mid_by_A0_canary,not_strong,False
17,1197_0.84_0.85.png,217,3624,hard_bottom25_by_p1_table_A0,46.80088424682617,30.763004302978516,6.628547668457031,wdmamba_alpha0p5,46.47059631347656,42.7933349609375,-0.3302879333496094,-0.3772010803222656,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
18,907_0.73_1.72.png,2896,6303,hard_bottom25_by_p1_table_A0,43.37930679321289,31.08701515197754,6.59846305847168,wdmamba_alpha0p5,41.49254608154297,36.86814880371094,-1.8867607116699219,-2.14373779296875,False,hard_bottom25_by_A0_canary,not_strong,False
19,268_0.79_1.15.png,1875,5282,hard_bottom25_by_p1_table_A0,44.37815856933594,31.899532318115234,6.592899322509766,wdmamba_alpha0p5,44.68876266479492,41.50416564941406,0.3106040954589844,0.7648544311523438,True,mid_by_A0_canary,not_strong,False
20,126_0.75_1.47.png,298,3705,hard_bottom25_by_p1_table_A0,46.4830436706543,28.263137817382812,6.499267578125,wdmamba_alpha0p5,43.42140579223633,38.92703628540039,-3.0616378784179688,-3.5458335876464844,False,mid_by_A0_canary,not_strong,False
21,127_0.99_1.4.png,309,3716,hard_bottom25_by_p1_table_A0,42.97404479980469,27.430631637573242,6.256669998168945,wdmamba_alpha0p5,39.07560729980469,34.369300842285156,-3.8984375,-4.324916839599609,False,hard_bottom25_by_A0_canary,not_strong,False
22,812_0.59_0.82.png,2791,6198,mid_by_p1_table_A0,47.69620895385742,36.54083251953125,7.3967132568359375,wdmamba_alpha0p5,44.496578216552734,41.031192779541016,-3.1996307373046875,-3.493602752685547,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
23,467_0.75_1.41.png,2407,5814,mid_by_p1_table_A0,43.86064529418945,34.14467239379883,6.939128875732422,wdmamba_alpha0p5,42.39145278930664,37.045875549316406,-1.4691925048828125,-1.5533714294433594,False,mid_by_A0_canary,not_strong,False
24,1166_0.73_1.03.png,183,3590,mid_by_p1_table_A0,39.33611297607422,35.95402908325195,6.545047760009766,wdmamba_alpha0p5,44.776710510253906,42.137027740478516,5.4405975341796875,6.346042633056641,True,hard_bottom25_by_A0_canary,not_strong,False
25,355_0.85_0.53.png,2283,5690,mid_by_p1_table_A0,48.076786041259766,37.52004623413086,6.499736785888672,wdmamba_alpha0p5,47.03561782836914,43.1782112121582,-1.041168212890625,-0.9789924621582031,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
26,784_0.73_1.21.png,2759,6166,mid_by_p1_table_A0,46.70775604248047,34.54762268066406,6.417629241943359,wdmamba_alpha0p5,42.6783447265625,37.85976791381836,-4.029411315917969,-4.524082183837891,False,mid_by_A0_canary,not_strong,False
27,267_0.59_0.62.png,1864,5271,mid_by_p1_table_A0,47.152099609375,37.221290588378906,6.378898620605469,wdmamba_alpha0p5,43.20673370361328,39.51244354248047,-3.9453659057617188,-4.448108673095703,False,easy_top25_by_A0_canary,strong_top25_by_A0_canary,True
28,1397_0.94_0.79.png,439,3846,mid_by_p1_table_A0,44.697479248046875,36.07341003417969,6.265838623046875,wdmamba_alpha0p5,43.70537567138672,40.04307556152344,-0.9921035766601562,-0.9828071594238281,False,mid_by_A0_canary,not_strong,False
29,672_0.8_0.77.png,2635,6042,mid_by_p1_table_A0,43.36309814453125,35.12131118774414,6.2009735107421875,wdmamba_alpha0p5,45.50044250488281,40.32188415527344,2.1373443603515625,2.9438552856445312,True,hard_bottom25_by_A0_canary,not_strong,False
30,75_0.61_0.9.png,2732,6139,mid_by_p1_table_A0,46.40811538696289,36.99298095703125,6.147285461425781,wdmamba_alpha0p5,44.050498962402344,38.854278564453125,-2.357616424560547,-2.6306533813476562,False,mid_by_A0_canary,not_strong,False
31,1462_0.61_1.4.png,512,3919,mid_by_p1_table_A0,44.911094665527344,35.28401565551758,6.075420379638672,wdmamba_alpha0p5,41.25259780883789,36.521644592285156,-3.658496856689453,-4.104804992675781,False,mid_by_A0_canary,not_strong,False
