sample_name,sample_index,crop_seed,crop_top,crop_left,selection_source_bucket,table_A0_PSNR,table_a0p375_dPSNR,table_a0p5_dPSNR,v234_recorded_crop_direct_a0p5_dPSNR,full_recompute_A0_PSNR,crop_direct_A0_PSNR,crop_fullslice_A0_PSNR,crop_A0_context_gap_direct_minus_fullslice,full_recompute_a0p375_dPSNR,crop_direct_a0p375_dPSNR,crop_fullslice_a0p375_dPSNR,context_gap_direct_minus_fullslice_a0p375,location_gap_fullslice_minus_fullimage_a0p375,full_recompute_a0p5_dPSNR,crop_direct_a0p5_dPSNR,crop_fullslice_a0p5_dPSNR,context_gap_direct_minus_fullslice_a0p5,location_gap_fullslice_minus_fullimage_a0p5
1896_0.7_0.8.png,993,4400,5,301,easy_top25_by_p1_table_A0,41.113487243652344,3.586376190185547,4.894874572753906,1.9509124755859375,41.113487243652344,44.94287109375,45.21757125854492,-0.2747001647949219,3.586376190185547,1.8981819152832031,3.4289016723632812,-1.5307197570800781,-0.15747451782226562,4.894874572753906,1.9509124755859375,4.659450531005859,-2.708538055419922,-0.23542404174804688
2370_0.65_1.01.png,1521,4928,218,268,easy_top25_by_p1_table_A0,40.95262908935547,3.4858245849609375,4.462089538574219,1.8215103149414062,40.95262908935547,45.98817443847656,43.37511444091797,2.6130599975585938,3.4858245849609375,2.1801223754882812,2.4233474731445312,-0.24322509765625,-1.0624771118164062,4.462089538574219,1.8215103149414062,2.993316650390625,-1.1718063354492188,-1.4687728881835938
2397_0.64_0.76.png,1550,4957,212,173,easy_top25_by_p1_table_A0,40.67257308959961,3.208568572998047,4.23699951171875,-2.9277725219726562,40.67257308959961,51.14942932128906,51.46718978881836,-0.3177604675292969,3.208568572998047,-1.9328842163085938,0.6783943176269531,-2.611278533935547,-2.5301742553710938,4.23699951171875,-2.9277725219726562,0.4567604064941406,-3.384532928466797,-3.7802391052246094
627_0.51_0.54.png,2585,5992,112,43,easy_top25_by_p1_table_A0,40.79170608520508,3.1359024047851562,4.0458221435546875,-4.780342102050781,40.79170608520508,48.838829040527344,40.5860710144043,8.252758026123047,3.1359024047851562,-2.9703903198242188,3.253265380859375,-6.223655700683594,0.11736297607421875,4.0458221435546875,-4.780342102050781,4.428672790527344,-9.209014892578125,0.38285064697265625
1893_0.53_1.29.png,990,4397,140,7,easy_top25_by_p1_table_A0,42.14978790283203,2.978191375732422,3.8127899169921875,0.5752906799316406,42.14978790283203,37.32975387573242,42.84677505493164,-5.517021179199219,2.978191375732422,0.4479026794433594,2.2636680603027344,-1.815765380859375,-0.7145233154296875,3.8127899169921875,0.5752906799316406,2.918109893798828,-2.3428192138671875,-0.8946800231933594
720_0.62_1.27.png,2689,6096,133,35,easy_top25_by_p1_table_A0,40.511207580566406,2.8202857971191406,3.5474319458007812,-3.3833694458007812,40.511207580566406,43.707481384277344,42.267555236816406,1.4399261474609375,2.8202857971191406,-2.2767333984375,2.0960922241210938,-4.372825622558594,-0.7241935729980469,3.5474319458007812,-3.3833694458007812,2.454010009765625,-5.837379455566406,-1.0934219360351562
861_0.95_0.65.png,2845,6252,104,103,easy_top25_by_p1_table_A0,40.746341705322266,2.704479217529297,3.3704071044921875,-7.093524932861328,40.746341705322266,45.17694091796875,41.27394104003906,3.9029998779296875,2.704479217529297,-5.397037506103516,2.6370773315429688,-8.034114837646484,-0.06740188598632812,3.3704071044921875,-7.093524932861328,3.3234901428222656,-10.417015075683594,-0.046916961669921875
500_0.56_0.68.png,2445,5852,44,96,easy_top25_by_p1_table_A0,41.64704895019531,3.0434036254882812,3.3454208374023438,-10.759754180908203,41.64704895019531,49.12939453125,43.75728225708008,5.372112274169922,3.0434036254882812,-8.849838256835938,5.406730651855469,-14.256568908691406,2.3633270263671875,3.3454208374023438,-10.759754180908203,5.349220275878906,-16.10897445678711,2.0037994384765625
290_0.6_1.14.png,2120,5527,110,85,easy_top25_by_p1_table_A0,41.84199523925781,2.8734092712402344,3.2574462890625,-5.029022216796875,41.84199523925781,47.962623596191406,45.27008056640625,2.6925430297851562,2.8734092712402344,-3.3405990600585938,2.254852294921875,-5.595451354980469,-0.6185569763183594,3.2574462890625,-5.029022216796875,2.528076171875,-7.557098388671875,-0.7293701171875
1291_0.62_0.59.png,322,3729,54,104,easy_top25_by_p1_table_A0,40.37653350830078,2.5203933715820312,3.1837234497070312,-5.6035919189453125,40.37653350830078,46.56904602050781,40.64542770385742,5.923618316650391,2.5203933715820312,-4.290191650390625,2.9435462951660156,-7.233737945556641,0.4231529235839844,3.1837234497070312,-5.6035919189453125,3.951030731201172,-9.554622650146484,0.7673072814941406
