mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean,visual_group,strong_anchor_cut_psnr
v04d,mini_val,0,204,1185_0.94_1.35.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,39.97091293334961,37.88291931152344,42.49462127685547,-2.087993621826172,2.5237083435058594,-0.44148409366607666,1.0,1.0,0.28948575258255005,1.0,0.011989784426987171,0.011989784426987171,0.007994351908564568,severe,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,39.97091293334961,38.27214050292969,42.49462127685547,-1.6987724304199219,2.5237083435058594,-0.5871052145957947,1.0,1.0,0.28948575258255005,1.0,0.008972995914518833,0.008972995914518833,0.007994351908564568,severe,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,39.97091293334961,38.41268539428711,42.49462127685547,-1.5582275390625,2.5237083435058594,-0.5573041439056396,1.0,1.0,0.28948575258255005,1.0,0.008573179133236408,0.008573179133236408,0.007994351908564568,severe,39.136597633361816
v04d,mini_val,0,206,1187_0.82_1.57.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,40.15753936767578,38.6153450012207,42.45441436767578,-1.5421943664550781,2.296875,-0.449485182762146,1.0,1.0,0.270302951335907,1.0,0.011350063607096672,0.011350063607096672,0.007569419220089912,severe,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,39.97091293334961,38.50957489013672,42.49462127685547,-1.4613380432128906,2.5237083435058594,-0.5630690455436707,1.0,1.0,0.28948575258255005,1.0,0.007853543385863304,0.007853543385863304,0.007994351908564568,severe,39.136597633361816
v04d,mini_val,0,206,1187_0.82_1.57.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,40.15753936767578,38.976322174072266,42.45441436767578,-1.1812171936035156,2.296875,-0.5752792358398438,1.0,1.0,0.270302951335907,1.0,0.007597171235829592,0.007597171235829592,0.007569419220089912,severe,39.136597633361816
v04d,mini_val,0,206,1187_0.82_1.57.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,40.15753936767578,38.98086166381836,42.45441436767578,-1.1766777038574219,2.296875,-0.574616551399231,1.0,1.0,0.270302951335907,1.0,0.007564715575426817,0.007564715575426817,0.007569419220089912,severe,39.136597633361816
v04d,mini_val,0,206,1187_0.82_1.57.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,40.15753936767578,38.98291015625,42.45441436767578,-1.1746292114257812,2.296875,-0.5856441259384155,1.0,1.0,0.270302951335907,1.0,0.006193222478032112,0.006193222478032112,0.007569419220089912,severe,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,global_mean_coeff,16,1.0,global_mean,39.97091293334961,39.07077407836914,42.49462127685547,-0.9001388549804688,2.5237083435058594,-0.4056239426136017,1.0,1.0,0.28948575258255005,1.0,0.006135018542408943,0.006135018542408943,0.007994351908564568,severe,39.136597633361816
v04d,mini_val,0,247,1223_0.74_2.0.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,34.69511413574219,33.972618103027344,36.70764923095703,-0.7224960327148438,2.0125350952148438,-0.3146491050720215,1.0,1.0,0.25153017044067383,1.0,0.009885304607450962,0.009885304607450962,0.012882878072559834,severe,39.136597633361816
v04d,mini_val,0,247,1223_0.74_2.0.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,34.69511413574219,33.9768180847168,36.70764923095703,-0.7182960510253906,2.0125350952148438,-0.3118952810764313,1.0,1.0,0.25153017044067383,1.0,0.009841025806963444,0.009841025806963444,0.012882878072559834,severe,39.136597633361816
v04d,mini_val,0,246,1222_0.92_1.14.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,39.13396072387695,38.48068618774414,41.0251579284668,-0.6532745361328125,1.8911972045898438,-0.2685929834842682,1.0,0.9999992847442627,0.2275446653366089,1.0,0.008035820908844471,0.008035820908844471,0.007994233630597591,severe,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,39.97091293334961,37.88291931152344,42.49462127685547,-2.087993621826172,2.5237083435058594,-0.44148409366607666,1.0,1.0,0.28948575258255005,1.0,0.011989784426987171,0.011989784426987171,0.007994351908564568,strong,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,39.97091293334961,38.27214050292969,42.49462127685547,-1.6987724304199219,2.5237083435058594,-0.5871052145957947,1.0,1.0,0.28948575258255005,1.0,0.008972995914518833,0.008972995914518833,0.007994351908564568,strong,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,39.97091293334961,38.41268539428711,42.49462127685547,-1.5582275390625,2.5237083435058594,-0.5573041439056396,1.0,1.0,0.28948575258255005,1.0,0.008573179133236408,0.008573179133236408,0.007994351908564568,strong,39.136597633361816
v04d,mini_val,0,206,1187_0.82_1.57.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,40.15753936767578,38.6153450012207,42.45441436767578,-1.5421943664550781,2.296875,-0.449485182762146,1.0,1.0,0.270302951335907,1.0,0.011350063607096672,0.011350063607096672,0.007569419220089912,strong,39.136597633361816
v04d,mini_val,0,204,1185_0.94_1.35.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,39.97091293334961,38.50957489013672,42.49462127685547,-1.4613380432128906,2.5237083435058594,-0.5630690455436707,1.0,1.0,0.28948575258255005,1.0,0.007853543385863304,0.007853543385863304,0.007994351908564568,strong,39.136597633361816
v04d,mini_val,0,206,1187_0.82_1.57.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,40.15753936767578,38.976322174072266,42.45441436767578,-1.1812171936035156,2.296875,-0.5752792358398438,1.0,1.0,0.270302951335907,1.0,0.007597171235829592,0.007597171235829592,0.007569419220089912,strong,39.136597633361816
