checkpoint_label,present,score,pass_count,check_count,all_checks_pass,decision,regular_mean_psnr_delta,regular_hard_bottom25_psnr_delta,regular_easy_top25_psnr_delta,regular_mean_ssim_delta,regular_positive_ratio,regular_worst_count_delta_le_-0p20,regular_strong_regression_ratio,hard_mean_psnr_delta,hard_hard_bottom25_psnr_delta,hard_easy_top25_psnr_delta,hard_mean_ssim_delta,hard_positive_ratio,hard_worst_count_delta_le_-0p20,hard_strong_regression_ratio
model_5,True,-17.95269834582011,0,9,False,DIAGNOSTIC_ONLY,-1.159679724375407,-0.8098464711507162,-1.6323697916666666,-0.0011080267031987508,0.14,245.0,0.9333333333333333,-0.6631806691487631,-0.7692931365966796,-0.6132962036132813,-0.0012465546528498332,0.23,214.0,0.72
model_10,True,-26.09415074714025,0,9,False,DIAGNOSTIC_ONLY,-3.2812069829305015,-1.9174033864339193,-4.712870890299479,-0.0035394020875295002,0.05,278.0,1.0,-1.8332912890116373,-1.7380157216389973,-2.092751922607422,-0.003672788341840108,0.1,262.0,0.88
model_15,True,-32.92621969413758,0,9,False,DIAGNOSTIC_ONLY,-5.406799723307292,-3.175649871826172,-7.430390523274739,-0.007192528049151103,0.013333333333333334,295.0,1.0,-3.2460550753275554,-2.822796147664388,-3.8973351287841798,-0.0073328950007756554,0.056666666666666664,283.0,0.9466666666666667
model_20,True,-38.62279381132126,0,9,False,DIAGNOSTIC_ONLY,-7.323562596638998,-4.573643493652344,-9.601756795247395,-0.011881889899571736,0.01,297.0,1.0,-4.753003768920898,-4.033749974568685,-5.676606343587239,-0.01193565825621287,0.03333333333333333,290.0,0.96
Best,True,-5.951637485663095,0,9,False,DIAGNOSTIC_ONLY,-0.04786612828572591,-0.11403465270996094,-0.05246902465820313,-8.730947971343994e-05,0.4166666666666667,84.0,0.49333333333333335,-0.07898347218831381,-0.11298731486002604,-8.967081705729167e-05,-0.00011904040972391765,0.31,85.0,0.5066666666666667
Final,True,-38.622793712774914,0,9,False,DIAGNOSTIC_ONLY,-7.323562609354655,-4.573643519083659,-9.601756896972656,-0.011881884137789409,0.01,297.0,1.0,-4.753003762563069,-4.033749974568685,-5.6766062927246095,-0.011935656070709228,0.03333333333333333,290.0,0.96
