H_inherited_mean,H_intervention_mean,H_predecessor_positive_mean,H_total_cvar10,H_total_mean,H_total_median,H_total_p95,delta_psnr_p05,group_name,group_value,hard_count,new_250_psnr_mean,nonfinite_n,observed_n,old_250_psnr_mean,operator,planned_n,severe_count,split,support_normalized_total_mean
2.4575085433298227e-07,1.4267143768620372e-06,1.4460028836538186e-06,1.3776923879049718e-05,1.6724652311950194e-06,0.0,1.1441462265793226e-05,-0.21637548098274664,all,all,0,36.19445281596638,0,128,36.06113957685136,D_ref,128,8,update128,5.532341163651271e-06
2.90114727366956e-07,1.3268998431627668e-06,1.3331705450846423e-06,1.2395183148328215e-05,1.6170145705297228e-06,0.0,1.210684422403574e-05,-0.21847002378175873,haze_param_1,q1,0,36.70789775898717,0,31,36.59533456121041,D_ref,128,2,update128,7.506187366353145e-06
2.992535787358831e-07,1.7615283420462602e-06,1.7937464738344333e-06,1.6176465578610078e-05,2.0607819207821433e-06,0.0,9.094573761103666e-06,-0.1925248159581038,haze_param_1,q2,0,36.857605705889895,0,38,36.72055734669195,D_ref,128,2,update128,7.012271250847167e-06
1.246855845238315e-07,8.56721726449905e-07,8.744202659727307e-07,6.972919436520897e-06,9.814073109737365e-07,0.0,5.028583473176694e-06,-0.14892573591906774,haze_param_1,q3,0,34.960701545525225,0,32,34.79320220933359,D_ref,128,2,update128,2.584398747596175e-06
2.6299918924147886e-07,1.7456434391163014e-06,1.7635654701195933e-06,1.13076360624594e-05,2.00864262835778e-06,0.0,1.0663439752534032e-05,-0.18570652378444308,haze_param_1,q4,0,36.133839393869295,0,27,36.02247572468454,D_ref,128,2,update128,4.677066412412785e-06
1.1160850452583734e-07,6.236794874756456e-07,6.241083280077543e-07,5.09943492943421e-06,7.35287992001483e-07,0.0,3.847063635475934e-06,-0.1313844142276011,haze_param_2,q1,0,37.98619768865447,0,33,37.92768867630988,D_ref,128,1,update128,6.606126690941838e-06
4.4716658261937224e-07,2.5939011071126776e-06,2.600843669954754e-06,1.5934856492094696e-05,3.04106768973205e-06,0.0,1.2220340431667863e-05,-0.2756421975815936,haze_param_2,q2,0,37.28163499598022,0,28,37.24627513423473,D_ref,128,4,update128,9.921011487263572e-06
2.915910568624509e-07,1.6062337884002111e-06,1.6621318839800854e-06,1.4445349734160118e-05,1.897824845262662e-06,0.0,7.970156730152655e-06,-0.2058041009134172,haze_param_2,q3,0,35.291352592663415,0,33,35.11079249517017,D_ref,128,2,update128,4.477708884367595e-06
1.6558410339605282e-07,1.070678562802427e-06,1.0829064515693222e-06,1.0508232662687078e-05,1.2362626661984797e-06,0.0,1.1996005196124308e-05,-0.055582331380951186,haze_param_2,q4,0,34.436618272728246,0,34,34.19589068881061,D_ref,128,1,update128,1.8995521564344484e-06
4.404689836799382e-08,2.362260672201116e-07,2.3677036481855723e-07,2.212073013652116e-06,2.802729655881054e-07,0.0,1.5830173651920632e-06,-0.09706156438022084,old_step_l2,q1,0,37.82466085844649,0,26,37.81020782681858,D_ref,128,1,update128,6.128277312272895e-06
2.756197708159951e-07,1.4189753138842725e-06,1.425917876726349e-06,1.1435224829862515e-05,1.6945950847002678e-06,0.0,1.1155735410284248e-05,-0.1521237402883024,old_step_l2,q2,0,37.59593451622969,0,28,37.531639199439,D_ref,128,1,update128,7.89642521523968e-06
5.128317362894969e-07,2.680644891890032e-06,2.694470458664e-06,2.1790392565890215e-05,3.193476628179529e-06,0.0,1.6888421669136706e-05,-0.2860184261853511,old_step_l2,q3,0,35.389670988436734,0,35,35.22135679446918,D_ref,128,3,update128,7.5832742752146685e-06
1.190878370275291e-07,1.100607243223259e-06,1.1461582825853466e-06,1.014248664432671e-05,1.2196950802507881e-06,0.0,8.71261727297679e-06,-0.21828679980940108,old_step_l2,q4,0,34.823695566009505,0,39,34.59300197305072,D_ref,128,3,update128,1.5971782863857138e-06
4.404689836799382e-08,2.362260672201116e-07,2.3677036481855723e-07,2.212073013652116e-06,2.802729655881054e-07,0.0,1.5830173651920632e-06,-0.09706156438022084,support_fraction,q1,0,37.82466085844649,0,26,37.81020782681858,D_ref,128,1,update128,6.128277312272895e-06
4.920065262483369e-07,2.388199485220208e-06,2.3949026493435916e-06,1.633287320146337e-05,2.8802060114685446e-06,0.0,1.274761016247794e-05,-0.35185503355466063,support_fraction,q2,0,37.393201943843046,0,29,37.35789837524657,D_ref,128,3,update128,1.0990057243585025e-05
3.256650026222425e-07,1.8370312838149923e-06,1.8508568505889603e-06,1.6927733668126166e-05,2.1626962864372345e-06,0.0,1.0478915646672235e-05,-0.13818420681077298,support_fraction,q3,0,35.35067128876482,0,35,35.13323100702074,D_ref,128,1,update128,4.794367017007394e-06
1.2222172747562198e-07,1.1295705917291343e-06,1.176320342653382e-06,1.014248664432671e-05,1.2517923192047562e-06,0.0,8.834602340357375e-06,-0.22087855342691468,support_fraction,q4,0,34.94137964857554,0,38,34.72942958452145,D_ref,128,3,update128,1.63920929392218e-06
0.0,7.164073871783189e-08,9.559163709568962e-08,6.708178261760622e-07,7.164073871783189e-08,0.0,0.0,-0.004259382238644347,H_inherited,q1,0,35.83892994969602,0,103,35.63740224450778,D_ref,128,0,update128,9.590880814852603e-08
nan,nan,nan,nan,nan,nan,nan,nan,H_inherited,q2,0,nan,0,0,nan,D_ref,128,0,update128,nan
1.1350493878126144e-09,2.1693631424568594e-07,2.1792948246002197e-07,4.361427272669971e-07,2.1807136363349855e-07,2.1807136363349855e-07,4.1433559090364723e-07,-0.04826941083186256,H_inherited,q3,0,42.80025380209524,0,2,42.82551155175915,D_ref,128,0,update128,5.750921841561972e-07
1.367558228515048e-06,7.600285718344031e-06,7.600285718344031e-06,2.4984949656451743e-05,8.967843946859078e-06,8.09977063909173e-06,2.2704972070641803e-05,-0.3946344428576992,H_inherited,q4,0,37.21215947916587,0,23,37.37053963257195,D_ref,128,8,update128,3.0309168579989212e-05
1.565297983082322e-07,8.665371448538887e-07,8.915272297195365e-07,8.983590305433609e-06,1.0230669431621209e-06,0.0,4.023400833830237e-06,-0.07272613663021943,old_preclamp_fraction,q1,0,35.81620485460664,0,36,35.70900738495576,D_ref,128,1,update128,5.156137575431209e-06
2.416281353766357e-07,1.4224480461659066e-06,1.4267515729847623e-06,1.137730578193441e-05,1.6640761815425422e-06,0.0,1.130255259340629e-05,-0.09945241126082571,old_preclamp_fraction,q2,0,35.19951714138617,0,36,35.0791570956326,D_ref,128,0,update128,5.564194830379384e-06
1.35126944823081e-07,7.432954589603469e-07,7.490128636538216e-07,7.438946340698749e-06,8.784224037834278e-07,0.0,7.139537774492041e-06,-0.2184542391637162,old_preclamp_fraction,q3,0,36.694767217319026,0,34,36.47095135956897,D_ref,128,2,update128,3.4791062886337803e-06
5.694594371809878e-07,3.4065421707716515e-06,3.4619952202774584e-06,2.048531799421956e-05,3.9760016079526395e-06,0.0,1.449980118195526e-05,-0.2635751659187221,old_preclamp_fraction,q4,0,37.6682674181413,0,22,37.61089083229311,D_ref,128,5,update128,9.26900402384694e-06
2.4791302166704554e-07,1.4215389967375813e-06,1.4419982221625105e-06,1.3823657914494666e-05,1.6694520184046269e-06,0.0,1.1426094715716316e-05,-0.21577587160854783,all,all,0,36.19471081351665,0,128,36.06102510124303,D_rep,128,8,update128,5.535128632381848e-06
2.8783829146695715e-07,1.3228236639406532e-06,1.329463679388526e-06,1.2345710274530575e-05,1.6106619554076103e-06,0.0,1.2015043466817588e-05,-0.2177508968856685,haze_param_1,q1,0,36.70608156540609,0,31,36.5936577864477,D_rep,128,2,update128,7.5023293870363785e-06
2.910566859339413e-07,1.7350382557579953e-06,1.7780422288189202e-06,1.5999492461560294e-05,2.0260949416919367e-06,0.0,9.027875057654446e-06,-0.19026907409467525,haze_param_1,q2,0,36.85949385256837,0,38,36.721915578406865,D_rep,128,2,update128,6.998235549789596e-06
