bootstrap_replicates,bootstrap_seed,endpoint,estimate,key,kind,lower,max_statistic_critical,method,method_index,operator,schema_version,simultaneous_max_statistic,standard_error,upper,window,window_index
1000,3407,anchor,-2.3415869243592624e-10,0020:absolute:historical_sequential_gradient:shuffled16:D_ref:anchor,absolute,-6.207882187748149e-10,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,6.773913123997865e-11,1.5247083390296245e-10,shuffled16,1
1000,3407,harm,-6.354177739531508e-10,0021:absolute:historical_sequential_gradient:shuffled16:D_ref:harm,absolute,-1.4764831033789867e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.473582094747584e-10,2.056475554726851e-10,shuffled16,1
1000,3407,margin,-1.1319814963856034e-09,0022:absolute:historical_sequential_gradient:shuffled16:D_ref:margin,absolute,-1.8864705249521403e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.3218967472338122e-10,-3.774924678190664e-10,shuffled16,1
1000,3407,cvar25,-2.223257578037874e-09,0023:absolute:historical_sequential_gradient:shuffled16:D_ref:cvar25,absolute,-5.17252533542914e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,5.167242077229574e-10,7.26010179353393e-10,shuffled16,1
1000,3407,cvar10,-3.25315680595306e-09,0024:absolute:historical_sequential_gradient:shuffled16:D_ref:cvar10,absolute,-9.563752366992518e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.1056430815296517e-09,3.0574387550863987e-09,shuffled16,1
1000,3407,severe_rate,-3.0517578125e-05,0025:absolute:historical_sequential_gradient:shuffled16:D_ref:severe_rate,absolute,-0.0003316747023598262,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,5.276400422795521e-05,0.0002706395461098262,shuffled16,1
1000,3407,hard_rate,-3.0517578125e-05,0026:absolute:historical_sequential_gradient:shuffled16:D_ref:hard_rate,absolute,-0.00033582972527861115,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,5.34919818489763e-05,0.00027479456902861115,shuffled16,1
1000,3407,render_mse,-2.914051222546732e-10,0027:absolute:historical_sequential_gradient:shuffled16:D_ref:render_mse,absolute,-1.3145207089771403e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.7925418593590221e-10,7.317104644677939e-10,shuffled16,1
1000,3407,mean_psnr,1.0433889229943816e-05,0028:absolute:historical_sequential_gradient:shuffled16:D_ref:mean_psnr,absolute,-5.994961518711772e-06,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,2.878404263438855e-06,2.6862739978599403e-05,shuffled16,1
1000,3407,p05_psnr,-1.9354807591298595e-05,0029:absolute:historical_sequential_gradient:shuffled16:D_ref:p05_psnr,absolute,-0.00014362152586593096,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,2.1772055584260967e-05,0.00010491191068333377,shuffled16,1
1000,3407,anchor,-2.3388163628013103e-10,0030:absolute:historical_sequential_gradient:shuffled16:D_rep:anchor,absolute,-6.202458664325796e-10,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,6.769265022400218e-11,1.5248259387231755e-10,shuffled16,1
