feature_set,label,target_bucket,stage_set,sample_count,auroc,auprc,balanced_accuracy_at_lcb_threshold,false_safe_rate,false_block_rate,top_features,fold_std
bucket_stage_strength,is_unsafe,all,mixed,8730,0.5674940540694071,0.4344658246682788,0.559402584092447,0.38745731139397704,0.49373752042112906,bucket_stage_strength,0.03261136255090874
bucket_stage_strength,is_unsafe,hard_bottom25,mixed,2712,0.5018926332165002,0.33056208188675223,0.569977042768472,0.5789473684210527,0.28109854604200324,bucket_stage_strength,0.09010453534218316
bucket_stage_strength,is_unsafe,mid_50,mixed,4115,0.5521828603531169,0.40695064460178976,0.5536655881957816,0.41605839416058393,0.47661042944785276,bucket_stage_strength,0.033999375238210665
bucket_stage_strength,is_unsafe,easy_top25,mixed,1903,0.6842671019942105,0.6145963200204982,0.6467161985557474,0.3224679860302678,0.38409961685823757,bucket_stage_strength,0.05921979301655131
bucket_stage_strength,is_severe,all,mixed,8730,0.6060689373064562,0.37926151907433797,0.5878034263097256,0.33706965572457964,0.48732349165596917,bucket_stage_strength,0.027917778693882584
bucket_stage_strength,is_severe,hard_bottom25,mixed,2712,0.5075359993060374,0.2518711365125475,0.5242515118469318,0.711038961038961,0.24045801526717558,bucket_stage_strength,0.09796251608951957
bucket_stage_strength,is_severe,mid_50,mixed,4115,0.593188485437714,0.366118162605202,0.5872166096011047,0.3617886178861789,0.4637781629116118,bucket_stage_strength,0.06113746591249174
bucket_stage_strength,is_severe,easy_top25,mixed,1903,0.7485091681256222,0.5666905498986082,0.6927231221158043,0.23006134969325154,0.3844924060751399,bucket_stage_strength,0.06193962586150205
bucket_stage_strength,is_useful_gt_0p30,all,mixed,8730,0.47818534739285723,0.36779034739476363,0.5081872426148216,0.8429801127931137,0.14064540197724304,bucket_stage_strength,0.006730676445311878
bucket_stage_strength,is_useful_gt_0p30,hard_bottom25,mixed,2712,0.5226942900365888,0.486164630053093,0.5551184738249367,0.6110197368421053,0.2787433155080214,bucket_stage_strength,0.05452480864483659
bucket_stage_strength,is_useful_gt_0p30,mid_50,mixed,4115,0.4809968259901676,0.44607786661758275,0.5252123277645521,0.8049435787211177,0.14463176574977818,bucket_stage_strength,0.04679580653577692
bucket_stage_strength,is_useful_gt_0p30,easy_top25,mixed,1903,0.36750019132164996,0.12215269326827453,0.4905720942492964,0.07534246575342465,0.9435133457479826,bucket_stage_strength,0.057435087988444516
bucket_stage_strength,is_hard_to_easy_unsafe,all,mixed,8730,0.999251410802718,0.7833333333333333,0.999251410802718,0.0,0.0014971783945640907,bucket_stage_strength,0.000683900485969185
bucket_stage_strength,is_hard_to_easy_unsafe,hard_bottom25,mixed,2712,nan,nan,0.47879793510324486,nan,0.042404129793510326,bucket_stage_strength,nan
bucket_stage_strength,is_hard_to_easy_unsafe,mid_50,mixed,4115,nan,nan,0.47399756986634267,nan,0.052004860267314705,bucket_stage_strength,nan
