target_bucket,source_bucket,stage_set,compat_bin,strength,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,monotonicity_violation,safe_max_strength_lcb
easy_top25,all,S4_final_decoder,all_source_good,0.1,26,0.01753968458909255,-0.3329658508300781,-0.34723663330078125,0.3076923076923077,0.15384615384615385,1,0.0
easy_top25,all,S4_final_decoder,all_source_good,0.2,26,0.009734373826246995,-0.6857576370239258,-0.7152900695800781,0.3076923076923077,0.23076923076923078,1,0.0
easy_top25,all,S4_final_decoder,all_source_good,0.33,26,-0.015758807842548076,-1.0121612548828125,-1.1133174896240234,0.3076923076923077,0.2692307692307692,1,0.0
easy_top25,all,S4_final_decoder,all_source_weak,0.1,14,0.03102575029645647,-0.26818084716796875,-0.26818084716796875,0.2857142857142857,0.14285714285714285,1,0.0
easy_top25,all,S4_final_decoder,all_source_weak,0.2,14,0.03404072352818081,-0.4468217849731445,-0.56231689453125,0.2857142857142857,0.2857142857142857,1,0.0
easy_top25,all,S4_final_decoder,all_source_weak,0.33,14,0.023729869297572544,-0.723447036743164,-0.9735794067382812,0.42857142857142855,0.2857142857142857,1,0.0
easy_top25,all,S5_bottleneck_mid,all_source_borderline,0.1,8,0.03036022186279297,-0.1149139404296875,-0.1149139404296875,0.25,0.0,1,0.1
easy_top25,all,S5_bottleneck_mid,all_source_borderline,0.2,8,0.03952789306640625,-0.24468231201171875,-0.24468231201171875,0.5,0.25,1,0.1
easy_top25,all,S5_bottleneck_mid,all_source_borderline,0.33,8,0.018552780151367188,-0.43526458740234375,-0.43526458740234375,0.5,0.25,1,0.1
easy_top25,all,S5_bottleneck_mid,all_source_good,0.1,26,0.033996288592998795,-0.1902618408203125,-0.19567108154296875,0.23076923076923078,0.0,0,0.0
easy_top25,all,S5_bottleneck_mid,all_source_good,0.2,26,0.0559533926156851,-0.3953275680541992,-0.40776824951171875,0.3076923076923077,0.23076923076923078,0,0.0
easy_top25,all,S5_bottleneck_mid,all_source_good,0.33,26,0.06642943162184495,-0.6780529022216797,-0.7005157470703125,0.3076923076923077,0.23076923076923078,0,0.0
easy_top25,all,S5_bottleneck_mid,all_source_weak,0.1,6,0.13004938761393228,0.037784576416015625,0.037784576416015625,0.0,0.0,0,0.33
easy_top25,all,S5_bottleneck_mid,all_source_weak,0.2,6,0.2507464090983073,0.06819534301757812,0.06819534301757812,0.0,0.0,0,0.33
easy_top25,all,S5_bottleneck_mid,all_source_weak,0.33,6,0.3908856709798177,0.09520721435546875,0.09520721435546875,0.0,0.0,0,0.33
easy_top25,all,S6_early_mid_final,all_source_borderline,0.1,6,0.0850982666015625,-0.06671524047851562,-0.06671524047851562,0.3333333333333333,0.0,0,0.1
easy_top25,all,S6_early_mid_final,all_source_borderline,0.2,6,0.1358362833658854,-0.16193008422851562,-0.16193008422851562,0.3333333333333333,0.0,0,0.1
