variant,selected_mean,selected_hard,selected_easy,table_policy_mean,table_policy_hard,table_policy_easy,cross_bucket_unsafe,hard_to_easy_cross_severe,easy_noop_mild_rate,hard_medium_strong_rate,p05,cvar5,severe_rate,fold_tail_pass
no_firewall,0.8109956502914428,1.3742934226989747,0.30371532440185545,0.012051534652709962,0.048206138610839847,0.0,0.45,0.7166666666666667,1.0,0.75,0.0,0.0,0.0,5
forbid_hard_source_to_easy_target,0.8109956502914428,1.3742934226989747,0.30371532440185545,0.012051534652709962,0.048206138610839847,0.0,0.38333333333333336,0.0,1.0,0.75,0.0,0.0,0.0,5
forbid_opposite_bucket,0.8109956502914428,1.3742934226989747,0.30371532440185545,0.012051534652709962,0.048206138610839847,0.0,0.43333333333333335,0.0,1.0,0.75,0.0,0.0,0.0,5
allow_adjacent_bucket_only,0.8109956502914428,1.3742934226989747,0.30371532440185545,0.012051534652709962,0.048206138610839847,0.0,0.43333333333333335,0.0,1.0,0.75,0.0,0.0,0.0,5
same_bucket_only,0.8109956502914428,1.3742934226989747,0.30371532440185545,0.012051534652709962,0.048206138610839847,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,5
same_bucket_plus_mid_bridge,0.8109956502914428,1.3742934226989747,0.30371532440185545,0.012051534652709962,0.048206138610839847,0.0,0.43333333333333335,0.0,1.0,0.75,0.0,0.0,0.0,5
compatibility_distance_threshold,0.7488209962844848,1.2218750953674316,0.30371532440185545,0.014119386672973633,0.05647754669189453,0.0,0.3611111111111111,0.0,1.0,0.75,0.0,0.0,0.0,5
compatibility_distance_threshold_plus_energy_norm,0.5463810682296752,0.7970696449279785,0.1552295684814453,0.014119386672973633,0.05647754669189453,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,5
