variant,control_family,control_name,stage_set,source_bucket,target_bucket,pre_envelope_mean_dpsnr,pre_envelope_p05,pre_envelope_cvar5,pre_envelope_unsafe_rate,pre_envelope_severe_rate,post_envelope_accept_rate,post_envelope_mean_dpsnr,post_envelope_p05,post_envelope_cvar5,post_envelope_unsafe_rate,post_envelope_severe_rate,gate_interpretation
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,easy_top25,easy_top25,-0.3552547454833984,-0.9238628387451172,-0.9793167114257812,0.8,0.65,0.0,nan,nan,nan,0.0,0.0,PASS_PRE_SENSITIVITY_POST_ENVELOPE_BLOCK_OR_SAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,hard_bottom25,hard_bottom25,-1.0281590461730956,-1.810655117034912,-1.9365062713623047,0.9,0.8,1.0,-0.8129572868347168,-1.43202543258667,-1.5630950927734375,0.9,0.8,PASS_PRE_SENSITIVITY_POST_ACCEPTED_UNSAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,mid_50,mid_50,-0.7855264663696289,-1.672075080871582,-1.7247085571289062,0.875,0.825,1.0,-0.7369049072265625,-1.5293386459350586,-1.6931133270263672,0.875,0.825,PASS_PRE_SENSITIVITY_POST_ACCEPTED_UNSAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,all,easy_top25,-0.7266941070556641,-1.7309167861938477,-1.8268394470214844,0.75,0.75,0.0,nan,nan,nan,0.0,0.0,PASS_PRE_SENSITIVITY_POST_ENVELOPE_BLOCK_OR_SAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,all,hard_bottom25,-0.41350278854370115,-1.0103746414184571,-1.07159423828125,0.8,0.65,0.0,nan,nan,nan,0.0,0.0,PASS_PRE_SENSITIVITY_POST_ENVELOPE_BLOCK_OR_SAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,all,mid_50,-0.736385440826416,-1.4387733459472656,-1.5525779724121094,0.825,0.775,0.0,nan,nan,nan,0.0,0.0,PASS_PRE_SENSITIVITY_POST_ENVELOPE_BLOCK_OR_SAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,easy_top25,easy_top25,-0.4405525207519531,-1.1825098037719726,-1.2557754516601562,0.8,0.7,0.0,nan,nan,nan,0.0,0.0,PASS_PRE_SENSITIVITY_POST_ENVELOPE_BLOCK_OR_SAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,hard_bottom25,hard_bottom25,-0.9686443328857421,-1.828508186340332,-1.9133415222167969,0.85,0.75,1.0,-0.8348697662353516,-1.5483823776245118,-1.5752830505371094,0.85,0.75,PASS_PRE_SENSITIVITY_POST_ACCEPTED_UNSAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,mid_50,mid_50,-0.844021987915039,-1.7097486495971679,-1.7368030548095703,0.875,0.825,1.0,-0.7972527503967285,-1.6429450988769532,-1.7011127471923828,0.875,0.825,PASS_PRE_SENSITIVITY_POST_ACCEPTED_UNSAFE
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S4_final_decoder,all,easy_top25,-1.6713546752929687,-4.910252380371094,-5.448062896728516,0.75,0.75,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S4_final_decoder,all,hard_bottom25,0.44347314834594725,-0.7292947769165039,-0.8007049560546875,0.3,0.3,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S4_final_decoder,all,mid_50,0.26898965835571287,-2.05535945892334,-3.1468563079833984,0.4,0.4,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S4_final_decoder,easy_top25,easy_top25,-0.4101993560791016,-1.655479621887207,-1.8840827941894531,0.75,0.6,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S4_final_decoder,hard_bottom25,hard_bottom25,0.02888946533203125,-2.3768479347229006,-3.3238563537597656,0.4,0.4,0.85,0.37107568628647747,-0.26617774963378904,-0.2692432403564453,0.23529411764705882,0.17647058823529413,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S4_final_decoder,mid_50,mid_50,-0.13769731521606446,-3.124574661254883,-3.8756847381591797,0.45,0.425,0.8,0.23318445682525635,-0.5202079772949219,-0.6550788879394531,0.3125,0.25,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,all,easy_top25,-0.6736530303955078,-3.149492645263672,-3.6077499389648438,0.65,0.65,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,all,hard_bottom25,0.7280137062072753,-0.3988807678222656,-0.4878273010253906,0.2,0.15,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,all,mid_50,0.7000344276428223,-1.4989789962768554,-2.668973922729492,0.35,0.325,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,easy_top25,easy_top25,0.018123817443847657,-1.1516010284423828,-1.4013137817382812,0.45,0.35,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,hard_bottom25,hard_bottom25,0.8522773742675781,-2.004729652404785,-2.3818283081054688,0.35,0.35,1.0,0.6708539009094239,-0.4445355415344238,-0.4754352569580078,0.2,0.15,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,mid_50,mid_50,0.5735003471374511,-2.1195297241210938,-3.011089324951172,0.375,0.375,0.7,0.6332471030099052,-0.577975845336914,-0.6997661590576172,0.25,0.17857142857142858,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,all,easy_top25,-1.364466667175293,-4.3424030303955075,-4.762702941894531,0.65,0.65,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,all,hard_bottom25,0.5914142608642579,-0.6311360359191894,-0.7294197082519531,0.35,0.3,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,all,mid_50,0.49629640579223633,-2.0155710220336913,-3.237628936767578,0.4,0.35,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,easy_top25,easy_top25,-0.36168727874755857,-1.9043598175048828,-2.0450782775878906,0.6,0.55,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,hard_bottom25,hard_bottom25,0.4265451431274414,-2.4597290992736816,-3.2629966735839844,0.35,0.35,0.85,0.5865834180046531,-0.6912044525146483,-1.0225887298583984,0.29411764705882354,0.23529411764705882,PASS_POST_PLAUSIBLE_CONTROL
