low_size,K,split,index,name,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,target_abs_mean,pred_abs_mean,weighted_den,initial_l1_num,final_l1_num,weighted_field_l1,group
32,32,train,0,1000_0.74_1.6.png,36.89458465576172,38.49209976196289,38.789039611816406,1.5975151062011719,1.8944549560546875,0.8664041757583618,1.0,0.9999957084655762,0.2134159654378891,0.011313256807625294,0.010680532082915306,102439.65625,1149.40234375,366.24566650390625,0.003575233263279388,middle
32,32,train,1,1001_0.89_1.66.png,35.02743911743164,36.23776626586914,36.463478088378906,1.2103271484375,1.4360389709472656,0.8582229614257812,1.0,0.9999926090240479,0.15698379278182983,0.013404681347310543,0.013556472025811672,75352.2265625,1029.67919921875,368.5941162109375,0.004891615457510224,middle
32,32,train,2,1002_0.73_1.47.png,33.70071029663086,34.2972526550293,34.3560905456543,0.5965423583984375,0.6553802490234375,0.9588079452514648,1.0,0.9999188184738159,0.08550451695919037,0.014679329469799995,0.014026576653122902,41042.1640625,598.2980346679688,166.181640625,0.00404904674061374,open_hard
32,32,train,3,1003_0.9_1.06.png,38.71543502807617,39.140899658203125,39.21985626220703,0.4254646301269531,0.5044212341308594,0.8520007729530334,1.0,0.9999078512191772,0.05866250395774841,0.009056659415364265,0.00892090704292059,28158.00390625,258.23797607421875,94.74957275390625,0.0033649250518384744,middle
32,32,train,4,1004_0.91_1.17.png,37.05818557739258,37.62842559814453,37.72386169433594,0.5702400207519531,0.6656761169433594,0.8475632071495056,1.0,0.9999440908432007,0.07627230137586594,0.01114090345799923,0.011060069315135479,36610.703125,411.44879150390625,137.55828857421875,0.0037573244115130266,middle
32,32,train,5,1005_0.74_1.81.png,38.33662796020508,38.76576232910156,39.121376037597656,0.4291343688964844,0.7847480773925781,0.7735761404037476,1.0,0.9999839067459106,0.11804071068763733,0.007624668534845114,0.005802314728498459,56659.5390625,429.82769775390625,273.87353515625,0.004833670370211547,middle
32,32,train,6,1006_0.89_1.55.png,37.09894561767578,37.85441207885742,38.48366165161133,0.7554664611816406,1.3847160339355469,0.7884084582328796,1.0,0.9999990463256836,0.1934923231601715,0.008587831631302834,0.006449554581195116,92876.328125,792.3488159179688,516.29833984375,0.0055589874219497196,middle
32,32,train,7,1007_0.68_1.25.png,38.79450607299805,38.90060806274414,38.94744873046875,0.10610198974609375,0.15294265747070312,0.8025719523429871,1.0,0.9970719814300537,0.02106962539255619,0.007698973640799522,0.006550400983542204,10113.4208984375,77.68144226074219,40.50695037841797,0.004005266940356076,middle
32,32,train,8,1008_0.52_1.98.png,39.02428436279297,39.060062408447266,39.0996208190918,0.035778045654296875,0.07533645629882812,0.7131443023681641,1.0,0.997860848903656,0.01296052522957325,0.00647794408723712,0.00459590507671237,6221.052734375,40.291259765625,27.647666931152344,0.004444210346969511,middle
32,32,train,9,1009_0.84_0.56.png,44.44461441040039,44.44461441040039,44.44461441040039,0.0,0.0,,0.0,8.601648005424067e-05,4.93106635985896e-05,0.004470694810152054,412.4035949707031,0.0,0.0,0.0,0.0,closed_easy
32,32,train,10,100_0.65_1.43.png,36.16236114501953,36.96060562133789,37.09977722167969,0.7982444763183594,0.9374160766601562,0.9370837807655334,1.0,0.9997609257698059,0.11936704814434052,0.0106405820697546,0.00993004348129034,57296.1875,605.5733642578125,197.99151611328125,0.003455579240997165,middle
32,32,train,11,1010_0.91_1.13.png,39.185401916503906,39.271663665771484,39.29069900512695,0.08626174926757812,0.10529708862304688,0.8791239261627197,1.0,0.9999287128448486,0.01370201725512743,0.007629727479070425,0.006552242208272219,6576.96826171875,49.24357986450195,21.287595748901367,0.0032366882280405454,middle
