variant,stage_set,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,source_bucket,target_bucket,direction
absmax_clip,S4_final_decoder,20,0.0330998420715332,-0.08456411361694335,-0.08862113952636719,0.25,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
absmax_clip,S5_bottleneck_mid,20,0.08723745346069336,-0.09405803680419922,-0.10194015502929688,0.25,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
absmax_clip,S6_early_mid_final,20,0.04711494445800781,-0.14801979064941406,-0.16885757446289062,0.3,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
absmax_clip,S4_final_decoder,20,-1.647801399230957,-4.295394325256348,-5.201591491699219,0.8,0.75,hard_bottom25,easy_top25,hard_bottom25->easy_top25
absmax_clip,S5_bottleneck_mid,20,-0.5337661743164063,-2.815545654296875,-3.2118911743164062,0.6,0.6,hard_bottom25,easy_top25,hard_bottom25->easy_top25
absmax_clip,S6_early_mid_final,20,-1.4011823654174804,-4.213509941101075,-4.9586944580078125,0.8,0.75,hard_bottom25,easy_top25,hard_bottom25->easy_top25
absmax_clip,S4_final_decoder,40,0.13151235580444337,-2.1482875823974608,-2.4087371826171875,0.45,0.425,hard_bottom25,mid_50,hard_bottom25->mid_50
absmax_clip,S5_bottleneck_mid,40,0.5371282577514649,-1.420224380493164,-1.8988151550292969,0.3,0.275,hard_bottom25,mid_50,hard_bottom25->mid_50
absmax_clip,S6_early_mid_final,40,0.2598110198974609,-1.8216787338256837,-2.4035606384277344,0.425,0.4,hard_bottom25,mid_50,hard_bottom25->mid_50
absmax_clip,S4_final_decoder,20,-0.479364013671875,-2.5791257858276366,-2.6791725158691406,0.65,0.55,mid_50,easy_top25,mid_50->easy_top25
absmax_clip,S5_bottleneck_mid,20,0.0009065628051757813,-1.4938972473144532,-1.5713920593261719,0.6,0.5,mid_50,easy_top25,mid_50->easy_top25
absmax_clip,S6_early_mid_final,20,-0.31625900268554685,-2.178648567199707,-2.3433685302734375,0.65,0.55,mid_50,easy_top25,mid_50->easy_top25
absmax_clip,S4_final_decoder,20,0.322999095916748,-0.2892573356628418,-0.3526458740234375,0.3,0.15,mid_50,hard_bottom25,mid_50->hard_bottom25
absmax_clip,S5_bottleneck_mid,20,0.39122943878173827,-0.15252103805541994,-0.2187652587890625,0.15,0.05,mid_50,hard_bottom25,mid_50->hard_bottom25
absmax_clip,S6_early_mid_final,20,0.3883213996887207,-0.2599355697631836,-0.4046440124511719,0.35,0.2,mid_50,hard_bottom25,mid_50->hard_bottom25
alignment_gate,S4_final_decoder,20,0.0330998420715332,-0.08456411361694335,-0.08862113952636719,0.25,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
alignment_gate,S5_bottleneck_mid,20,0.08723745346069336,-0.09405803680419922,-0.10194015502929688,0.25,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
alignment_gate,S6_early_mid_final,20,0.04711494445800781,-0.14801979064941406,-0.16885757446289062,0.3,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
alignment_gate,S4_final_decoder,40,0.13106536865234375,-2.1482852935791015,-2.408651351928711,0.45,0.425,hard_bottom25,mid_50,hard_bottom25->mid_50
alignment_gate,S5_bottleneck_mid,40,0.4970828056335449,-1.4987215042114257,-1.894540786743164,0.325,0.275,hard_bottom25,mid_50,hard_bottom25->mid_50
alignment_gate,S6_early_mid_final,40,0.24196386337280273,-1.8225780487060548,-2.3961868286132812,0.425,0.4,hard_bottom25,mid_50,hard_bottom25->mid_50
alignment_gate,S4_final_decoder,20,-0.4815820693969727,-2.5816104888916014,-2.68218994140625,0.65,0.55,mid_50,easy_top25,mid_50->easy_top25
alignment_gate,S5_bottleneck_mid,20,-0.007235527038574219,-1.5015893936157227,-1.6579742431640625,0.6,0.5,mid_50,easy_top25,mid_50->easy_top25
alignment_gate,S6_early_mid_final,20,-0.3171438217163086,-2.191658592224121,-2.3433685302734375,0.65,0.55,mid_50,easy_top25,mid_50->easy_top25
alignment_gate,S4_final_decoder,20,0.322999095916748,-0.2892573356628418,-0.3526458740234375,0.3,0.15,mid_50,hard_bottom25,mid_50->hard_bottom25
alignment_gate,S5_bottleneck_mid,20,0.39122943878173827,-0.15252103805541994,-0.2187652587890625,0.15,0.05,mid_50,hard_bottom25,mid_50->hard_bottom25
alignment_gate,S6_early_mid_final,20,0.3883213996887207,-0.2599355697631836,-0.4046440124511719,0.35,0.2,mid_50,hard_bottom25,mid_50->hard_bottom25
bucket_strength_grid,S4_final_decoder,20,0.0330998420715332,-0.08456411361694335,-0.08862113952636719,0.25,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
bucket_strength_grid,S5_bottleneck_mid,20,0.08723745346069336,-0.09405803680419922,-0.10194015502929688,0.25,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
bucket_strength_grid,S6_early_mid_final,20,0.04711494445800781,-0.14801979064941406,-0.16885757446289062,0.3,0.0,easy_top25,hard_bottom25,easy_top25->hard_bottom25
bucket_strength_grid,S4_final_decoder,20,-2.001568412780762,-4.555234146118164,-5.88604736328125,0.85,0.8,hard_bottom25,easy_top25,hard_bottom25->easy_top25
bucket_strength_grid,S5_bottleneck_mid,20,-0.8925029754638671,-3.4130388259887696,-4.201007843017578,0.6,0.6,hard_bottom25,easy_top25,hard_bottom25->easy_top25
bucket_strength_grid,S6_early_mid_final,20,-1.696812057495117,-4.677119255065918,-5.469879150390625,0.85,0.75,hard_bottom25,easy_top25,hard_bottom25->easy_top25
bucket_strength_grid,S4_final_decoder,40,0.13106536865234375,-2.1482852935791015,-2.408651351928711,0.45,0.425,hard_bottom25,mid_50,hard_bottom25->mid_50
