variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
absmax_clip,S4_final_decoder,medium,40,-0.10138731002807617,-1.9890111923217773,-2.192005157470703,0.525,0.35,easy_top25
absmax_clip,S4_final_decoder,medium,40,0.32478699684143064,-0.6736217498779297,-1.0240345001220703,0.275,0.175,hard_bottom25
absmax_clip,S4_final_decoder,medium,80,0.3541860580444336,-0.949155616760254,-1.4585466384887695,0.325,0.25,mid_50
absmax_clip,S4_final_decoder,mild,40,0.019886875152587892,-0.9184162139892578,-1.043252944946289,0.325,0.15,easy_top25
absmax_clip,S4_final_decoder,mild,40,0.2013167381286621,-0.2515460968017578,-0.4350271224975586,0.225,0.075,hard_bottom25
absmax_clip,S4_final_decoder,mild,80,0.2260876178741455,-0.3902679443359375,-0.7072381973266602,0.2375,0.15,mid_50
absmax_clip,S4_final_decoder,strong,40,-0.5522348403930664,-3.6250967025756835,-3.959779739379883,0.6,0.575,easy_top25
absmax_clip,S4_final_decoder,strong,40,0.3281567096710205,-1.558497428894043,-2.1887168884277344,0.325,0.3,hard_bottom25
absmax_clip,S4_final_decoder,strong,80,0.3049166679382324,-2.045557403564453,-2.743880271911621,0.3875,0.3625,mid_50
absmax_clip,S5_bottleneck_mid,medium,40,0.10497817993164063,-1.1219051361083985,-1.3561382293701172,0.375,0.25,easy_top25
absmax_clip,S5_bottleneck_mid,medium,40,0.5356453418731689,-0.4672440528869629,-0.7242822647094727,0.225,0.075,hard_bottom25
absmax_clip,S5_bottleneck_mid,medium,80,0.4940026760101318,-0.7673240661621094,-1.2657194137573242,0.2625,0.2125,mid_50
absmax_clip,S5_bottleneck_mid,mild,40,0.10266227722167968,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
absmax_clip,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
absmax_clip,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
absmax_clip,S5_bottleneck_mid,strong,40,-0.05803394317626953,-1.933670997619629,-2.4269542694091797,0.525,0.475,easy_top25
absmax_clip,S5_bottleneck_mid,strong,40,0.7970913887023926,-0.9891617774963379,-1.438934326171875,0.225,0.225,hard_bottom25
absmax_clip,S5_bottleneck_mid,strong,80,0.6862458705902099,-1.633815383911133,-2.291217803955078,0.3375,0.2875,mid_50
absmax_clip,S6_early_mid_final,medium,40,-0.06022319793701172,-1.6582008361816407,-2.2259902954101562,0.525,0.425,easy_top25
