target_fold,policy_variant,target_bucket,stage_set,chosen_source_bucket,chosen_action,chosen_strength,selection_reason,sample_count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate
0,raw_v228_baseline,hard_bottom25,mixed,table,mild_0.33,mixed,fold_oof_table_policy,4,0.22508716583251953,0.07152442932128907,0.070037841796875,0.0,0.0
0,raw_v228_baseline,mid_50,mixed,table,noop,mixed,fold_oof_table_policy,7,0.0,0.0,0.0,0.0,0.0
0,raw_v228_baseline,easy_top25,mixed,table,noop,mixed,fold_oof_table_policy,5,0.0,0.0,0.0,0.0,0.0
1,raw_v228_baseline,hard_bottom25,mixed,table,mild_0.33,mixed,fold_oof_table_policy,2,0.2324352264404297,-0.009330940246582028,-0.03619384765625,0.0,0.0
1,raw_v228_baseline,mid_50,mixed,table,mild_0.33,mixed,fold_oof_table_policy,8,0.1257953643798828,-0.6280961990356445,-0.7674064636230469,0.375,0.25
1,raw_v228_baseline,easy_top25,mixed,table,noop,mixed,fold_oof_table_policy,6,0.0,0.0,0.0,0.0,0.0
2,raw_v228_baseline,hard_bottom25,mixed,table,mild_0.33,mixed,fold_oof_table_policy,4,0.30776166915893555,0.20064659118652345,0.19549560546875,0.0,0.0
2,raw_v228_baseline,mid_50,mixed,table,noop,mixed,fold_oof_table_policy,9,0.0,0.0,0.0,0.0,0.0
2,raw_v228_baseline,easy_top25,mixed,table,mild_0.33,mixed,fold_oof_table_policy,3,0.09254709879557292,-0.18140945434570313,-0.212615966796875,0.3333333333333333,0.3333333333333333
3,raw_v228_baseline,hard_bottom25,mixed,table,medium_0.67,mixed,fold_oof_table_policy,5,0.028486251831054688,-0.8100261688232422,-0.8489837646484375,0.6,0.6
3,raw_v228_baseline,mid_50,mixed,table,noop,mixed,fold_oof_table_policy,7,0.0,0.0,0.0,0.0,0.0
3,raw_v228_baseline,easy_top25,mixed,table,noop,mixed,fold_oof_table_policy,4,0.0,0.0,0.0,0.0,0.0
4,raw_v228_baseline,hard_bottom25,mixed,table,medium_0.67,mixed,fold_oof_table_policy,5,0.2567798614501953,-0.08925323486328125,-0.09081649780273438,0.4,0.0
4,raw_v228_baseline,mid_50,mixed,table,noop,mixed,fold_oof_table_policy,9,0.0,0.0,0.0,0.0,0.0
4,raw_v228_baseline,easy_top25,mixed,table,noop,mixed,fold_oof_table_policy,2,0.0,0.0,0.0,0.0,0.0
0,energy_norm,hard_bottom25,mixed,table,mild_0.33,mixed,fold_oof_table_policy,4,0.22508716583251953,0.07152442932128907,0.070037841796875,0.0,0.0
0,energy_norm,mid_50,mixed,table,noop,mixed,fold_oof_table_policy,7,0.0,0.0,0.0,0.0,0.0
