variant,target_fold,sample_count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,severe_rate,tail_gate_pass
raw_v228_baseline,0,16,1.25385320186615,0.0,0.0,0.0,1
raw_v228_baseline,1,16,0.7718853950500488,0.0,0.0,0.0,1
raw_v228_baseline,2,16,1.3469375371932983,0.0,0.0,0.0,1
raw_v228_baseline,3,16,1.115384817123413,0.0,0.0,0.0,1
raw_v228_baseline,4,16,1.191056251525879,0.0,0.0,0.0,1
energy_norm,0,16,0.8469499349594116,0.0,0.0,0.0,1
energy_norm,1,16,0.5395481586456299,0.0,0.0,0.0,1
energy_norm,2,16,0.927420973777771,0.0,0.0,0.0,1
energy_norm,3,16,0.7325745820999146,0.0,0.0,0.0,1
energy_norm,4,16,0.8445568084716797,0.0,0.0,0.0,1
rms_clip,0,16,1.0116323232650757,0.0,0.0,0.0,1
rms_clip,1,16,0.671196460723877,0.0,0.0,0.0,1
rms_clip,2,16,1.183484435081482,0.0,0.0,0.0,1
rms_clip,3,16,0.9701040983200073,0.0,0.0,0.0,1
rms_clip,4,16,1.0854172706604004,0.0,0.0,0.0,1
absmax_clip,0,16,1.2489567995071411,0.0,0.0,0.0,1
absmax_clip,1,16,0.7893421649932861,0.0,0.0,0.0,1
absmax_clip,2,16,1.3254464864730835,0.0,0.0,0.0,1
absmax_clip,3,16,1.0963456630706787,0.0,0.0,0.0,1
absmax_clip,4,16,1.1919418573379517,0.0,0.0,0.0,1
alignment_gate,0,16,1.2505592107772827,0.0,0.0,0.0,1
alignment_gate,1,16,0.7718853950500488,0.0,0.0,0.0,1
alignment_gate,2,16,1.1742359399795532,0.0,0.0,0.0,1
alignment_gate,3,16,0.9816758632659912,0.0,0.0,0.0,1
alignment_gate,4,16,1.1071290969848633,0.0,0.0,0.0,1
bucket_strength_grid,0,16,0.87730872631073,0.0,0.0,0.0,1
bucket_strength_grid,1,16,0.5330228805541992,0.0,0.0,0.0,1
bucket_strength_grid,2,16,1.077379822731018,0.0,0.0,0.0,1
bucket_strength_grid,3,16,0.7544269561767578,0.0,0.0,0.0,1
bucket_strength_grid,4,16,0.923654317855835,0.0,0.0,0.0,1
s5_only,0,16,1.2057989835739136,0.0,0.0,0.0,1
s5_only,1,16,0.7342202663421631,0.0,0.0,0.0,1
s5_only,2,16,1.191170573234558,0.0,0.0,0.0,1
s5_only,3,16,1.0321154594421387,0.0,0.0,0.0,1
s5_only,4,16,1.0510990619659424,0.0,0.0,0.0,1
s5_plus_s6_hard_only,0,16,1.2070623636245728,0.0,0.0,0.0,1
s5_plus_s6_hard_only,1,16,0.737506628036499,0.0,0.0,0.0,1
s5_plus_s6_hard_only,2,16,1.264945149421692,0.0,0.0,0.0,1
s5_plus_s6_hard_only,3,16,1.0321154594421387,0.0,0.0,0.0,1
s5_plus_s6_hard_only,4,16,1.0510990619659424,0.0,0.0,0.0,1
s5_plus_s4_mild_only,0,16,1.2057989835739136,0.0,0.0,0.0,1
s5_plus_s4_mild_only,1,16,0.7342202663421631,0.0,0.0,0.0,1
s5_plus_s4_mild_only,2,16,1.1976653337478638,0.0,0.0,0.0,1
s5_plus_s4_mild_only,3,16,1.0321154594421387,0.0,0.0,0.0,1
s5_plus_s4_mild_only,4,16,1.0510990619659424,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength,0,16,0.6915842294692993,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength,1,16,0.502068281173706,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength,2,16,0.8275645971298218,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength,3,16,0.6362062692642212,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength,4,16,0.7545160055160522,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength_plus_alignment_gate,0,16,0.6794263124465942,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength_plus_alignment_gate,1,16,0.502068281173706,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength_plus_alignment_gate,2,16,0.7658373117446899,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength_plus_alignment_gate,3,16,0.6001061201095581,0.0,0.0,0.0,1
energy_norm_plus_bucket_strength_plus_alignment_gate,4,16,0.7108029127120972,0.0,0.0,0.0,1
