variant,stage_set,action_name,action_strength,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket,source_bucket,strong_reference_regression_rate
absmax_clip,S5_bottleneck_mid,mild_0.33,0.33,20,0.1028665542602539,-0.14811305999755858,-0.212615966796875,0.2,0.05,easy_top25,easy_top25,0.2
absmax_clip,S5_bottleneck_mid,strong_1.25,1.25,20,0.09329051971435547,-0.8170101165771484,-1.0128707885742188,0.4,0.35,easy_top25,easy_top25,0.4
absmax_clip,S6_early_mid_final,medium_0.67,0.67,20,0.076593017578125,-0.6814723968505859,-0.8551254272460938,0.4,0.25,easy_top25,easy_top25,0.4
absmax_clip,S6_early_mid_final,mild_0.33,0.33,20,0.09395866394042969,-0.297227668762207,-0.3703193664550781,0.25,0.15,easy_top25,easy_top25,0.25
absmax_clip,S6_early_mid_final,strong_1.25,1.25,20,-0.20638504028320312,-1.6085693359375,-1.7899703979492188,0.5,0.5,easy_top25,easy_top25,0.5
absmax_clip,S4_final_decoder,medium_0.67,0.67,20,0.24219074249267578,-0.20178003311157228,-0.2679119110107422,0.2,0.05,hard_bottom25,all,0.0
absmax_clip,S4_final_decoder,mild_0.33,0.33,20,0.12849349975585939,-0.08480358123779297,-0.124359130859375,0.2,0.0,hard_bottom25,all,0.0
absmax_clip,S4_final_decoder,strong_1.25,1.25,20,0.38779726028442385,-0.47516584396362305,-0.5443019866943359,0.25,0.2,hard_bottom25,all,0.0
absmax_clip,S5_bottleneck_mid,medium_0.67,0.67,20,0.3609294891357422,-0.09198455810546875,-0.11417770385742188,0.15,0.0,hard_bottom25,all,0.0
absmax_clip,S5_bottleneck_mid,mild_0.33,0.33,20,0.1856321334838867,-0.03531866073608399,-0.03619384765625,0.0,0.0,hard_bottom25,all,0.0
absmax_clip,S5_bottleneck_mid,strong_1.25,1.25,20,0.6163811683654785,-0.2333441734313965,-0.3355598449707031,0.15,0.15,hard_bottom25,all,0.0
absmax_clip,S6_early_mid_final,medium_0.67,0.67,20,0.34763422012329104,-0.25006351470947263,-0.2663459777832031,0.25,0.15,hard_bottom25,all,0.0
absmax_clip,S6_early_mid_final,mild_0.33,0.33,20,0.18549365997314454,-0.10192689895629883,-0.10892295837402344,0.2,0.0,hard_bottom25,all,0.0
absmax_clip,S6_early_mid_final,strong_1.25,1.25,20,0.5471711158752441,-0.5522934913635253,-0.6676025390625,0.3,0.3,hard_bottom25,all,0.0
absmax_clip,S4_final_decoder,medium_0.67,0.67,20,0.40738325119018554,-0.726203727722168,-1.3549575805664062,0.35,0.3,hard_bottom25,hard_bottom25,0.0
absmax_clip,S4_final_decoder,mild_0.33,0.33,20,0.2741399765014648,-0.3033448219299317,-0.5813407897949219,0.25,0.15,hard_bottom25,hard_bottom25,0.0
absmax_clip,S4_final_decoder,strong_1.25,1.25,20,0.26851615905761717,-1.6496177673339845,-2.7877159118652344,0.4,0.4,hard_bottom25,hard_bottom25,0.0
absmax_clip,S5_bottleneck_mid,medium_0.67,0.67,20,0.7103611946105957,-0.629556941986084,-0.8295326232910156,0.3,0.15,hard_bottom25,hard_bottom25,0.0
absmax_clip,S5_bottleneck_mid,mild_0.33,0.33,20,0.3935080528259277,-0.26449947357177733,-0.3519783020019531,0.15,0.1,hard_bottom25,hard_bottom25,0.0
absmax_clip,S5_bottleneck_mid,strong_1.25,1.25,20,0.9778016090393067,-1.183018112182617,-1.7232856750488281,0.3,0.3,hard_bottom25,hard_bottom25,0.0
absmax_clip,S6_early_mid_final,medium_0.67,0.67,20,0.5898691177368164,-0.7979369163513184,-1.2428054809570312,0.3,0.25,hard_bottom25,hard_bottom25,0.0
absmax_clip,S6_early_mid_final,mild_0.33,0.33,20,0.36705322265625,-0.31342382431030275,-0.5217781066894531,0.25,0.1,hard_bottom25,hard_bottom25,0.0
absmax_clip,S6_early_mid_final,strong_1.25,1.25,20,0.5831936836242676,-1.6852815628051758,-2.540170669555664,0.35,0.35,hard_bottom25,hard_bottom25,0.0
absmax_clip,S4_final_decoder,medium_0.67,0.67,40,0.3499384880065918,-0.8009971618652344,-1.222513198852539,0.275,0.225,mid_50,all,0.0
absmax_clip,S4_final_decoder,mild_0.33,0.33,40,0.20860252380371094,-0.36757469177246094,-0.5868263244628906,0.225,0.1,mid_50,all,0.0
absmax_clip,S4_final_decoder,strong_1.25,1.25,40,0.39551315307617185,-1.528554916381836,-2.3778648376464844,0.35,0.325,mid_50,all,0.0
absmax_clip,S5_bottleneck_mid,medium_0.67,0.67,40,0.48140621185302734,-0.5868362426757813,-1.1665420532226562,0.25,0.2,mid_50,all,0.0
absmax_clip,S5_bottleneck_mid,mild_0.33,0.33,40,0.2619930267333984,-0.2765493392944336,-0.5683917999267578,0.2,0.075,mid_50,all,0.0
absmax_clip,S5_bottleneck_mid,strong_1.25,1.25,40,0.7034951210021972,-1.1559198379516602,-2.1754302978515625,0.3,0.25,mid_50,all,0.0
absmax_clip,S6_early_mid_final,medium_0.67,0.67,40,0.4870017051696777,-0.9550012588500977,-1.5829639434814453,0.25,0.25,mid_50,all,0.0
absmax_clip,S6_early_mid_final,mild_0.33,0.33,40,0.29018821716308596,-0.4561269760131836,-0.7704849243164062,0.25,0.15,mid_50,all,0.0
absmax_clip,S6_early_mid_final,strong_1.25,1.25,40,0.5342401504516602,-1.8335638046264648,-2.936288833618164,0.35,0.35,mid_50,all,0.0
absmax_clip,S4_final_decoder,medium_0.67,0.67,40,0.3584336280822754,-0.979984474182129,-1.6484107971191406,0.375,0.275,mid_50,mid_50,0.0
absmax_clip,S4_final_decoder,mild_0.33,0.33,40,0.24357271194458008,-0.4212972640991211,-0.8187713623046875,0.25,0.2,mid_50,mid_50,0.0
absmax_clip,S4_final_decoder,strong_1.25,1.25,40,0.21432018280029297,-2.1550458908081054,-2.9811649322509766,0.425,0.4,mid_50,mid_50,0.0
absmax_clip,S5_bottleneck_mid,medium_0.67,0.67,40,0.5065991401672363,-0.7784152984619142,-1.3648967742919922,0.275,0.225,mid_50,mid_50,0.0
absmax_clip,S5_bottleneck_mid,mild_0.33,0.33,40,0.287188720703125,-0.33742580413818357,-0.6839408874511719,0.225,0.125,mid_50,mid_50,0.0
absmax_clip,S5_bottleneck_mid,strong_1.25,1.25,40,0.6689966201782227,-1.6443357467651367,-2.4070053100585938,0.375,0.325,mid_50,mid_50,0.0
absmax_clip,S6_early_mid_final,medium_0.67,0.67,40,0.49990339279174806,-1.1993289947509767,-1.7557487487792969,0.35,0.275,mid_50,mid_50,0.0
absmax_clip,S6_early_mid_final,mild_0.33,0.33,40,0.31221418380737304,-0.5317108154296875,-0.8841209411621094,0.25,0.15,mid_50,mid_50,0.0
absmax_clip,S6_early_mid_final,strong_1.25,1.25,40,0.44948930740356446,-2.4632205963134766,-3.124237060546875,0.375,0.375,mid_50,mid_50,0.0
alignment_gate,S4_final_decoder,medium_0.67,0.67,13,-0.24676865797776443,-2.148423767089844,-2.3874244689941406,0.6153846153846154,0.46153846153846156,easy_top25,all,0.6153846153846154
alignment_gate,S4_final_decoder,mild_0.33,0.33,20,-0.009952545166015625,-0.9517282485961914,-1.1449470520019531,0.35,0.25,easy_top25,all,0.35
alignment_gate,S4_final_decoder,strong_1.25,1.25,13,-0.9952254662146935,-3.9793724060058593,-4.364967346191406,0.6923076923076923,0.6923076923076923,easy_top25,all,0.6923076923076923
alignment_gate,S5_bottleneck_mid,medium_0.67,0.67,17,-0.03984787884880515,-1.3245979309082032,-1.4187355041503906,0.5882352941176471,0.35294117647058826,easy_top25,all,0.5882352941176471
alignment_gate,S5_bottleneck_mid,mild_0.33,0.33,20,0.10245800018310547,-0.6070041656494141,-0.6503829956054688,0.3,0.2,easy_top25,all,0.3
alignment_gate,S5_bottleneck_mid,strong_1.25,1.25,17,-0.5037897895364201,-2.5855377197265623,-2.7853240966796875,0.7058823529411765,0.7058823529411765,easy_top25,all,0.7058823529411765
alignment_gate,S6_early_mid_final,medium_0.67,0.67,12,-0.3336677551269531,-2.2124515533447267,-2.3622169494628906,0.75,0.6666666666666666,easy_top25,all,0.75
alignment_gate,S6_early_mid_final,mild_0.33,0.33,20,0.03497772216796875,-0.9953317642211914,-1.1257400512695312,0.3,0.3,easy_top25,all,0.3
alignment_gate,S6_early_mid_final,strong_1.25,1.25,12,-1.2850697835286458,-4.1121721267700195,-4.356525421142578,0.75,0.75,easy_top25,all,0.75
alignment_gate,S4_final_decoder,medium_0.67,0.67,11,0.0920011346990412,-0.19349288940429688,-0.20186996459960938,0.36363636363636365,0.09090909090909091,easy_top25,easy_top25,0.36363636363636365
alignment_gate,S4_final_decoder,mild_0.33,0.33,20,0.04972629547119141,-0.19109230041503905,-0.2406463623046875,0.3,0.05,easy_top25,easy_top25,0.3
alignment_gate,S4_final_decoder,strong_1.25,1.25,11,-0.057333512739701706,-0.4917621612548828,-0.5065040588378906,0.45454545454545453,0.36363636363636365,easy_top25,easy_top25,0.45454545454545453
alignment_gate,S5_bottleneck_mid,medium_0.67,0.67,19,0.161540382786801,-0.3646652221679687,-0.4900054931640625,0.21052631578947367,0.21052631578947367,easy_top25,easy_top25,0.21052631578947367
alignment_gate,S5_bottleneck_mid,mild_0.33,0.33,20,0.1028665542602539,-0.14811305999755858,-0.212615966796875,0.2,0.05,easy_top25,easy_top25,0.2
alignment_gate,S5_bottleneck_mid,strong_1.25,1.25,19,0.09712781404194079,-0.9383056640625,-1.061187744140625,0.3684210526315789,0.3157894736842105,easy_top25,easy_top25,0.3684210526315789
alignment_gate,S6_early_mid_final,medium_0.67,0.67,15,0.18949483235677084,-0.3984813690185547,-0.672332763671875,0.3333333333333333,0.13333333333333333,easy_top25,easy_top25,0.3333333333333333
alignment_gate,S6_early_mid_final,mild_0.33,0.33,20,0.09395866394042969,-0.297227668762207,-0.3703193664550781,0.25,0.15,easy_top25,easy_top25,0.25
alignment_gate,S6_early_mid_final,strong_1.25,1.25,15,-0.01264190673828125,-0.941790771484375,-1.4316444396972656,0.4,0.4,easy_top25,easy_top25,0.4
alignment_gate,S4_final_decoder,medium_0.67,0.67,18,0.20165570576985678,-0.20874128341674805,-0.2679119110107422,0.2222222222222222,0.05555555555555555,hard_bottom25,all,0.0
alignment_gate,S4_final_decoder,mild_0.33,0.33,20,0.12849349975585939,-0.08480358123779297,-0.124359130859375,0.2,0.0,hard_bottom25,all,0.0
alignment_gate,S4_final_decoder,strong_1.25,1.25,18,0.31140995025634766,-0.48244333267211914,-0.5443019866943359,0.2777777777777778,0.2222222222222222,hard_bottom25,all,0.0
alignment_gate,S5_bottleneck_mid,medium_0.67,0.67,19,0.34086347881116363,-0.09315261840820313,-0.11417770385742188,0.15789473684210525,0.0,hard_bottom25,all,0.0
alignment_gate,S5_bottleneck_mid,mild_0.33,0.33,20,0.1856321334838867,-0.03531866073608399,-0.03619384765625,0.0,0.0,hard_bottom25,all,0.0
alignment_gate,S5_bottleneck_mid,strong_1.25,1.25,19,0.5762372267873663,-0.2387239456176758,-0.3355598449707031,0.15789473684210525,0.15789473684210525,hard_bottom25,all,0.0
alignment_gate,S6_early_mid_final,medium_0.67,0.67,18,0.3047740724351671,-0.25177745819091796,-0.2663459777832031,0.2777777777777778,0.16666666666666666,hard_bottom25,all,0.0
