variant,control_family,action_name,stage_set,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,source_bucket,target_bucket,is_impossible_sanity_control,is_plausible_miscalibration,is_plausible_routing_error,gate_role
absmax_clip,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,20,0.748202133178711,-2.2456482887268066,-3.2270336151123047,0.45,0.45,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S5_bottleneck_mid,40,0.25829010009765624,-3.4443290710449217,-4.224790573120117,0.425,0.425,mid_50,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S6_early_mid_final,20,-3.8225120544433593,-7.050988006591797,-7.500663757324219,0.95,0.9,all,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S6_early_mid_final,20,0.4402573585510254,-2.006102752685547,-2.3591346740722656,0.5,0.45,all,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S6_early_mid_final,40,-1.1589600563049316,-4.841751480102539,-6.135015487670898,0.65,0.6,all,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S6_early_mid_final,20,-1.7362588882446288,-4.039901351928711,-4.259723663330078,0.9,0.9,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S6_early_mid_final,20,-1.1043532371520997,-4.699353408813477,-5.4665679931640625,0.65,0.65,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,overstrong_3.0,S6_early_mid_final,40,-1.6382437705993653,-5.357608222961426,-6.265871047973633,0.725,0.7,mid_50,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S4_final_decoder,20,-0.6193164825439453,-1.6451364517211915,-1.9038619995117188,0.75,0.7,all,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S4_final_decoder,20,-0.3096616744995117,-0.8288267135620118,-0.8686866760253906,0.8,0.5,all,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S4_final_decoder,40,-0.599855613708496,-1.282777976989746,-1.4167976379394531,0.85,0.75,all,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S4_final_decoder,20,-0.2998964309692383,-0.8256973266601563,-0.914093017578125,0.75,0.6,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S4_final_decoder,20,-0.9032907485961914,-1.6934303283691405,-1.7871894836425781,0.9,0.8,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S4_final_decoder,40,-0.8101082801818847,-1.6993730545043946,-1.804086685180664,0.875,0.825,mid_50,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.5978391647338868,-1.4957096099853515,-1.5184898376464844,0.75,0.75,all,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.4163158416748047,-0.8597957611083984,-1.0229682922363281,0.9,0.7,all,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S5_bottleneck_mid,40,-0.6436189651489258,-1.330662727355957,-1.3913249969482422,0.825,0.775,all,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.37003154754638673,-1.0059125900268555,-1.0238113403320312,0.85,0.6,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.9686951637268066,-1.833540439605713,-1.9209232330322266,0.9,0.85,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S5_bottleneck_mid,40,-0.7501930236816406,-1.5969457626342773,-1.616302490234375,0.875,0.85,mid_50,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S6_early_mid_final,20,-0.8249412536621094,-1.8802156448364258,-2.0302658081054688,0.75,0.75,all,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S6_early_mid_final,20,-0.44986495971679685,-1.0817079544067383,-1.155364990234375,0.85,0.65,all,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S6_early_mid_final,40,-0.8134113311767578,-1.5627798080444335,-1.6670970916748047,0.85,0.775,all,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S6_early_mid_final,20,-0.49242115020751953,-1.2591421127319335,-1.3060760498046875,0.8,0.75,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S6_early_mid_final,20,-1.0681396484375,-1.997060203552246,-1.9973030090332031,0.9,0.75,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
absmax_clip,impossible_sanity,sign_flip,S6_early_mid_final,40,-0.9239760398864746,-1.8272108078002929,-1.8707809448242188,0.875,0.85,mid_50,mid_50,1,0,0,sensitivity_lower_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S4_final_decoder,20,-1.2989051818847657,-4.2838842391967775,-4.872745513916016,0.7,0.7,all,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S4_final_decoder,20,0.43015403747558595,-0.6302552223205566,-0.6740055084228516,0.35,0.25,all,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S4_final_decoder,40,0.33611717224121096,-1.8388254165649414,-2.877948760986328,0.4,0.375,all,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S4_final_decoder,20,-0.28320674896240233,-1.3807607650756837,-1.53131103515625,0.65,0.5,easy_top25,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S4_final_decoder,20,0.1412327766418457,-2.098789405822754,-3.223236083984375,0.4,0.4,hard_bottom25,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S4_final_decoder,40,0.056296157836914065,-2.662582015991211,-3.467327117919922,0.425,0.425,mid_50,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,20,-0.35126552581787107,-2.7062374114990235,-2.8682212829589844,0.65,0.65,all,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,20,0.7073734283447266,-0.3102411270141602,-0.4612770080566406,0.2,0.15,all,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,40,0.7305302619934082,-1.3880626678466799,-2.5708885192871094,0.325,0.275,all,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,20,0.051008415222167966,-1.030280876159668,-1.2014007568359375,0.4,0.35,easy_top25,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,20,1.0127445220947267,-1.3596913337707521,-2.022907257080078,0.35,0.3,hard_bottom25,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S5_bottleneck_mid,40,0.6614678382873536,-1.998509979248047,-2.789478302001953,0.375,0.375,mid_50,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,20,-1.523810577392578,-4.552316093444825,-4.990840911865234,0.7,0.65,all,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,20,0.5997954368591308,-0.7027209281921387,-0.8783798217773438,0.35,0.3,all,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,40,0.43380203247070315,-2.229435157775879,-3.481790542602539,0.4,0.375,all,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,20,-0.4093915939331055,-2.0625640869140627,-2.204681396484375,0.65,0.5,easy_top25,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,20,0.4484387397766113,-2.013485145568848,-3.0541458129882812,0.4,0.4,hard_bottom25,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,40,0.281020450592041,-2.9999792098999025,-3.64959716796875,0.4,0.4,mid_50,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S4_final_decoder,20,-1.9583726882934571,-5.217670822143555,-5.821647644042969,0.8,0.75,all,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S4_final_decoder,20,0.47524824142456057,-0.9511757850646972,-0.9897003173828125,0.4,0.3,all,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S4_final_decoder,40,0.09980030059814453,-2.6301774978637695,-3.815906524658203,0.45,0.45,all,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S4_final_decoder,20,-0.5619937896728515,-1.9412933349609376,-2.033588409423828,0.8,0.6,easy_top25,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S4_final_decoder,20,-0.15901565551757812,-2.890029048919678,-3.9122238159179688,0.45,0.45,hard_bottom25,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S4_final_decoder,40,-0.37144174575805666,-3.5830217361450196,-4.288843154907227,0.45,0.45,mid_50,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,20,-0.6310276031494141,-3.217645835876465,-3.4218597412109375,0.65,0.65,all,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,20,0.841655158996582,-0.498459529876709,-0.7584190368652344,0.25,0.2,all,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,40,0.7091121673583984,-1.8275938034057617,-3.214773178100586,0.375,0.325,all,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,20,-0.05472774505615234,-1.427273941040039,-1.5494232177734375,0.45,0.4,easy_top25,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,20,0.9986438751220703,-1.6873835563659667,-2.5097312927246094,0.4,0.35,hard_bottom25,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,40,0.573087501525879,-2.583648109436035,-3.3783817291259766,0.375,0.375,mid_50,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,20,-2.4079402923583983,-5.639882659912109,-6.055580139160156,0.8,0.8,all,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,20,0.637756061553955,-1.0885659217834474,-1.347463607788086,0.45,0.4,all,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,40,0.0417933464050293,-3.1782302856445312,-4.494016647338867,0.45,0.45,all,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,20,-0.874041748046875,-2.9260990142822267,-2.942646026611328,0.85,0.75,easy_top25,easy_top25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,20,0.011882686614990234,-2.7833345413208006,-4.021892547607422,0.45,0.45,hard_bottom25,hard_bottom25,0,1,0,safety_upper_bound
absmax_clip,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,40,-0.26060075759887696,-3.940272331237793,-4.641551971435547,0.475,0.475,mid_50,mid_50,0,1,0,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,20,0.0330998420715332,-0.08456411361694335,-0.08862113952636719,0.25,0.0,easy_top25,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,20,-1.647801399230957,-4.295394325256348,-5.201591491699219,0.8,0.75,hard_bottom25,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,40,0.13151235580444337,-2.1482875823974608,-2.4087371826171875,0.45,0.425,hard_bottom25,mid_50,0,0,1,safety_upper_bound
