variant,selected_mean,selected_hard,selected_easy,p05,cvar5,severe_rate,fold_tail_pass,deployable_mild_unsafe,deployable_medium_unsafe,deployable_strong_unsafe,deployable_strong_easy_unsafe,cross_bucket_unsafe,hard_to_easy_cross_severe,overstrong_1p5_unsafe,overstrong_2p0_unsafe,overstrong_3p0_unsafe,sign_flip_unsafe,wrong_stage_unsafe,noop_rate,easy_noop_mild_rate,hard_medium_strong_rate,pass
raw_v228_baseline,1.1358234405517578,1.3729700088500976,0.7034374237060547,0.0,0.0,0.0,5,0.23125,0.33125,0.3958333333333333,0.575,0.45555555555555555,0.7166666666666667,0.44166666666666665,0.5145833333333333,0.7,0.8416666666666667,0.2125,0.2375,0.4,0.7,0
energy_norm,0.7782100915908814,0.8978201866149902,0.4941059112548828,0.0,0.0,0.0,5,0.22916666666666666,0.28541666666666665,0.29791666666666666,0.3416666666666667,0.31666666666666665,0.31666666666666665,0.3,0.30833333333333335,0.3104166666666667,0.8166666666666667,0.171875,0.225,0.4,0.75,0
rms_clip,0.9843669176101685,1.094972515106201,0.567266845703125,0.0,0.0,0.0,5,0.23125,0.32916666666666666,0.36666666666666664,0.5083333333333333,0.41388888888888886,0.5333333333333333,0.38125,0.39791666666666664,0.40208333333333335,0.8375,0.178125,0.2375,0.45,0.7,0
absmax_clip,1.1304065942764283,1.3711371421813965,0.6888942718505859,0.0,0.0,0.0,5,0.23125,0.33125,0.3958333333333333,0.5666666666666667,0.44722222222222224,0.7,0.4354166666666667,0.49583333333333335,0.6125,0.8416666666666667,0.2125,0.2375,0.4,0.7,0
alignment_gate,1.0570971012115478,1.3363622665405273,0.6681196212768554,0.0,0.0,0.0,5,0.23125,0.3133159268929504,0.3838120104438642,0.5517241379310345,0.3933333333333333,nan,0.43342036553524804,0.5143603133159269,0.6971279373368147,0.8416666666666667,0.2125,0.2375,0.4,0.7,0
bucket_strength_grid,0.833158540725708,1.375279998779297,0.33424015045166017,0.0,0.0,0.0,5,0.215625,0.2625,0.2833333333333333,nan,0.45555555555555555,0.7166666666666667,0.44166666666666665,0.5145833333333333,0.7,0.8416666666666667,0.2125,0.2375,1.0,0.7,0
s5_only,1.0428808689117433,1.3000389099121095,0.6697683334350586,0.0,0.0,0.0,5,0.1875,0.28125,0.35,0.525,0.375,0.6,0.38125,0.425,0.61875,0.85,0.25625,0.275,0.4,0.7,0
s5_plus_s6_hard_only,1.0585457324981689,1.3626983642578125,0.6697683334350586,0.0,0.0,0.0,5,0.195,0.28,0.345,0.525,0.3625,0.6,0.38,0.435,0.615,0.855,0.22,0.2625,0.4,0.7,0
s5_plus_s4_mild_only,1.0441798210144042,1.3000389099121095,0.6697683334350586,0.0,0.0,0.0,5,0.20714285714285716,0.28125,0.35,0.525,0.375,0.6,0.38125,0.425,0.61875,0.85,0.25625,0.275,0.4,0.7,0
energy_norm_plus_bucket_strength,0.6823878765106202,0.8987476348876953,0.3265714645385742,0.0,0.0,0.0,5,0.21458333333333332,0.25277777777777777,0.225,nan,0.31666666666666665,0.31666666666666665,0.3,0.30833333333333335,0.3104166666666667,0.8166666666666667,0.171875,0.225,1.0,0.75,0
energy_norm_plus_bucket_strength_plus_alignment_gate,0.6516481876373291,0.872376823425293,0.3265714645385742,0.0,0.0,0.0,5,0.21458333333333332,0.23310810810810811,0.23148148148148148,nan,0.2966666666666667,nan,0.28720626631853785,0.29765013054830286,0.3002610966057441,0.8166666666666667,0.171875,0.225,1.0,0.7,0
