strategy,split,domain_group,count,a0_psnr_mean,udp_delta_psnr_mean,oracle_best_alpha_delta_psnr_mean,luma_mean,sky_proxy_ratio_mean,gradient_mean
sky_tertiles,train_inner,sky_high,800,37.264501960277556,-0.08923325777053832,0.869151873588562,0.6543515039980412,0.5183572255859376,0.021066274075419642
sky_tertiles,train_inner,sky_low,800,42.397790853977206,-0.611727637052536,0.8172654724121093,0.4630360540747642,0.10445737483723959,0.024861558934208005
sky_tertiles,train_inner,sky_mid,800,40.399147005081176,-0.2569369912147522,0.8812946391105652,0.5530616257339716,0.2862215701497396,0.026691821279237048
sky_tertiles,val_hard,sky_high,179,33.808665760402576,0.22011772880341088,0.8534691347090225,0.6746046759562785,0.5371942853817505,0.021623033405848723
sky_tertiles,val_hard,sky_low,31,35.19126061470278,0.6510510598459551,1.2702805303758191,0.5206547100697795,0.0963523185483871,0.02587524726386032
sky_tertiles,val_hard,sky_mid,90,34.79197023179796,0.7580556445651584,1.1942827436659071,0.5641506678528256,0.29804729745370373,0.02735331606430312
sky_tertiles,val_regular,sky_high,105,36.91877119881766,-0.29849688212076825,0.7440990811302548,0.6572847826140268,0.5162826822916666,0.02060234992809239
sky_tertiles,val_regular,sky_low,99,42.123199790415136,-0.557678126325511,0.8774650072810626,0.46694244233646776,0.10471922348484848,0.026233663989437953
sky_tertiles,val_regular,sky_mid,96,39.52177353700002,-0.04222273826599121,0.916421631971995,0.5598443349202474,0.29336583658854165,0.02542950932790215
sky_tertiles,train_inner,sky_high,800,37.264501960277556,-0.08923325777053832,0.869151873588562,0.6543515039980412,0.5183572255859376,0.021066274075419642
sky_tertiles,train_inner,sky_low,800,42.397790853977206,-0.611727637052536,0.8172654724121093,0.4630360540747642,0.10445737483723959,0.024861558934208005
sky_tertiles,train_inner,sky_mid,800,40.399147005081176,-0.2569369912147522,0.8812946391105652,0.5530616257339716,0.2862215701497396,0.026691821279237048
sky_tertiles,val_hard,sky_high,179,33.808665760402576,0.22011772880341088,0.8534691347090225,0.6746046759562785,0.5371942853817505,0.021623033405848723
sky_tertiles,val_hard,sky_low,31,35.19126061470278,0.6510510598459551,1.2702805303758191,0.5206547100697795,0.0963523185483871,0.02587524726386032
sky_tertiles,val_hard,sky_mid,90,34.79197023179796,0.7580556445651584,1.1942827436659071,0.5641506678528256,0.29804729745370373,0.02735331606430312
sky_tertiles,val_regular,sky_high,105,36.91877119881766,-0.29849688212076825,0.7440990811302548,0.6572847826140268,0.5162826822916666,0.02060234992809239
sky_tertiles,val_regular,sky_low,99,42.123199790415136,-0.557678126325511,0.8774650072810626,0.46694244233646776,0.10471922348484848,0.026233663989437953
sky_tertiles,val_regular,sky_mid,96,39.52177353700002,-0.04222273826599121,0.916421631971995,0.5598443349202474,0.29336583658854165,0.02542950932790215
sky_tertiles,train_inner,sky_high,800,37.264501960277556,-0.08923325777053832,0.869151873588562,0.6543515039980412,0.5183572255859376,0.021066274075419642
sky_tertiles,train_inner,sky_low,800,42.397790853977206,-0.611727637052536,0.8172654724121093,0.4630360540747642,0.10445737483723959,0.024861558934208005
sky_tertiles,train_inner,sky_mid,800,40.399147005081176,-0.2569369912147522,0.8812946391105652,0.5530616257339716,0.2862215701497396,0.026691821279237048
sky_tertiles,val_hard,sky_high,179,33.808665760402576,0.22011772880341088,0.8534691347090225,0.6746046759562785,0.5371942853817505,0.021623033405848723
sky_tertiles,val_hard,sky_low,31,35.19126061470278,0.6510510598459551,1.2702805303758191,0.5206547100697795,0.0963523185483871,0.02587524726386032
sky_tertiles,val_hard,sky_mid,90,34.79197023179796,0.7580556445651584,1.1942827436659071,0.5641506678528256,0.29804729745370373,0.02735331606430312
sky_tertiles,val_regular,sky_high,105,36.91877119881766,-0.29849688212076825,0.7440990811302548,0.6572847826140268,0.5162826822916666,0.02060234992809239
sky_tertiles,val_regular,sky_low,99,42.123199790415136,-0.557678126325511,0.8774650072810626,0.46694244233646776,0.10471922348484848,0.026233663989437953
sky_tertiles,val_regular,sky_mid,96,39.52177353700002,-0.04222273826599121,0.916421631971995,0.5598443349202474,0.29336583658854165,0.02542950932790215
luma_sky_2x2,train_inner,luma_high__sky_high,1021,37.83279215507246,-0.12942400268196008,0.8553325585823919,0.6448346238061566,0.4765013928848351,0.022232514388775354
luma_sky_2x2,train_inner,luma_high__sky_low,179,39.574295320990366,-0.34383546839879214,0.8735051501396648,0.5861267364224908,0.21024286691108007,0.02804459095542324
luma_sky_2x2,train_inner,luma_low__sky_high,179,40.31802584472315,-0.254206066025036,0.9995529025626582,0.5267624002595187,0.3484109127676909,0.02344954099672633
luma_sky_2x2,train_inner,luma_low__sky_low,1021,42.23422681339574,-0.5162849827914934,0.8282053421573471,0.46892854130583345,0.13782760799257265,0.02564042764027164
luma_sky_2x2,val_hard,luma_high__sky_high,210,33.97906063624791,0.3331460771106538,0.9096199217296782,0.666469696306047,0.5049146403769841,0.022200956973912462
luma_sky_2x2,val_hard,luma_high__sky_low,20,33.7904577255249,0.5085776329040528,0.9679300308227539,0.5913636684417725,0.1857604296875,0.027885211957618596
