strategy,min_group_size,score,oof_gate_pass,heldout_gate_pass,oof_mean_delta,oof_hard_bottom25_delta,oof_easy_top25_delta,oof_worst_ratio,oof_strong_ratio,heldout_mean_delta,heldout_hard_bottom25_delta,heldout_easy_top25_delta,heldout_worst_ratio,heldout_strong_ratio
sky_tertiles,40,0.3884229334041255,False,False,0.419203782081604,0.2620038344906623,0.5223916268664712,0.13625,0.12076583210603829,0.37060434341430665,0.36132629024941204,0.5518655911297865,0.17333333333333334,0.1267605633802817
sky_tertiles,80,0.3884229334041255,False,False,0.419203782081604,0.2620038344906623,0.5223916268664712,0.13625,0.12076583210603829,0.37060434341430665,0.36132629024941204,0.5518655911297865,0.17333333333333334,0.1267605633802817
sky_tertiles,120,0.3884229334041255,False,False,0.419203782081604,0.2620038344906623,0.5223916268664712,0.13625,0.12076583210603829,0.37060434341430665,0.36132629024941204,0.5518655911297865,0.17333333333333334,0.1267605633802817
edge_sky_2x2,40,0.378221848923873,False,False,0.43245673418045044,0.2930133637533788,0.5203150494987027,0.14958333333333335,0.13549337260677466,0.4152206293741862,0.4177828726059013,0.5434775016677211,0.195,0.14084507042253522
edge_sky_2x2,80,0.378221848923873,False,False,0.43245673418045044,0.2930133637533788,0.5203150494987027,0.14958333333333335,0.13549337260677466,0.4152206293741862,0.4177828726059013,0.5434775016677211,0.195,0.14084507042253522
edge_sky_2x2,120,0.378221848923873,False,False,0.43245673418045044,0.2930133637533788,0.5203150494987027,0.14958333333333335,0.13549337260677466,0.4152206293741862,0.4177828726059013,0.5434775016677211,0.195,0.14084507042253522
luma_sky_2x2,40,0.3738546925986106,False,False,0.434747219880422,0.3001057217281449,0.5191210324002296,0.15416666666666667,0.13696612665684832,0.4152206293741862,0.4177828726059013,0.5434775016677211,0.195,0.14084507042253522
luma_sky_2x2,80,0.3738546925986106,False,False,0.434747219880422,0.3001057217281449,0.5191210324002296,0.15416666666666667,0.13696612665684832,0.4152206293741862,0.4177828726059013,0.5434775016677211,0.195,0.14084507042253522
luma_sky_2x2,120,0.3738546925986106,False,False,0.434747219880422,0.3001057217281449,0.5191210324002296,0.15416666666666667,0.13696612665684832,0.4152206293741862,0.4177828726059013,0.5434775016677211,0.195,0.14084507042253522
bright_low_sat_2x2,40,0.3134794736582926,False,False,0.4299440741539001,0.31127791497815976,0.5325551152404875,0.1725,0.14285714285714285,0.4371778933207194,0.4423370757317461,0.5571098864918024,0.20666666666666667,0.14084507042253522
bright_low_sat_2x2,80,0.3134794736582926,False,False,0.4299440741539001,0.31127791497815976,0.5325551152404875,0.1725,0.14285714285714285,0.4371778933207194,0.4423370757317461,0.5571098864918024,0.20666666666666667,0.14084507042253522
bright_low_sat_2x2,120,0.3134794736582926,False,False,0.4299440741539001,0.31127791497815976,0.5325551152404875,0.1725,0.14285714285714285,0.4371778933207194,0.4423370757317461,0.5571098864918024,0.20666666666666667,0.14084507042253522
filename_haze_2x2,40,0.22594132923458504,False,False,0.41212596972783405,0.29522330642005107,0.5214887627445721,0.17541666666666667,0.16789396170839468,0.4187278938293457,0.4209562123440541,0.5682476204885564,0.215,0.16901408450704225
filename_haze_2x2,80,0.22594132923458504,False,False,0.41212596972783405,0.29522330642005107,0.5214887627445721,0.17541666666666667,0.16789396170839468,0.4187278938293457,0.4209562123440541,0.5682476204885564,0.215,0.16901408450704225
filename_haze_2x2,120,0.22594132923458504,False,False,0.41212596972783405,0.29522330642005107,0.5214887627445721,0.17541666666666667,0.16789396170839468,0.4187278938293457,0.4209562123440541,0.5682476204885564,0.215,0.16901408450704225
