name,a0_psnr,candidate_psnr,delta_psnr,a0_ssim,candidate_ssim,delta_ssim,input_gt_l1,a0_gt_l1,candidate_gt_l1
1000_0.74_1.6.png,36.9222412109375,36.951026916503906,0.02878570556640625,0.9977827072143555,0.9977892637252808,6.556510925292969e-06,0.1719251573085785,0.011689144186675549,0.011774216778576374
1001_0.89_1.66.png,35.00823211669922,34.8025016784668,-0.20573043823242188,0.975281834602356,0.9744583368301392,-0.0008234977722167969,0.14484916627407074,0.013822163455188274,0.014176430180668831
1002_0.73_1.47.png,33.58782196044922,33.50692367553711,-0.08089828491210938,0.9880730509757996,0.9874035716056824,-0.0006694793701171875,0.10804958641529083,0.015833182260394096,0.01608002372086048
1003_0.9_1.06.png,38.65223693847656,38.325077056884766,-0.3271598815917969,0.986864447593689,0.9861271381378174,-0.000737309455871582,0.10155312716960907,0.009373323991894722,0.009724513627588749
1004_0.91_1.17.png,37.140499114990234,36.86763000488281,-0.2728691101074219,0.9887340068817139,0.9880555868148804,-0.0006784200668334961,0.11183138936758041,0.01123181451112032,0.011591757647693157
1005_0.74_1.81.png,38.30308532714844,38.24184799194336,-0.061237335205078125,0.9964064359664917,0.9963446855545044,-6.175041198730469e-05,0.2641885578632355,0.009219735860824585,0.009313496761023998
1006_0.89_1.55.png,37.09952926635742,37.136871337890625,0.037342071533203125,0.9955921173095703,0.9955496191978455,-4.2498111724853516e-05,0.3046744763851166,0.010160733945667744,0.010154732502996922
1007_0.68_1.25.png,38.78367614746094,38.74153518676758,-0.042140960693359375,0.9977482557296753,0.9977235794067383,-2.467632293701172e-05,0.1885557919740677,0.00869210995733738,0.008771367371082306
1008_0.52_1.98.png,39.091495513916016,38.96277618408203,-0.12871932983398438,0.9969046115875244,0.9968575835227966,-4.70280647277832e-05,0.18886955082416534,0.008125781081616879,0.008256366476416588
1009_0.84_0.56.png,44.452667236328125,44.694435119628906,0.24176788330078125,0.9891738891601562,0.9897987842559814,0.0006248950958251953,0.1712237149477005,0.004787243902683258,0.004608453251421452
100_0.65_1.43.png,36.1766471862793,36.558570861816406,0.3819236755371094,0.9961955547332764,0.9962906837463379,9.512901306152344e-05,0.13408933579921722,0.011469827964901924,0.01089624222368002
1010_0.91_1.13.png,39.22648620605469,39.10536193847656,-0.121124267578125,0.9720039367675781,0.972144365310669,0.0001404285430908203,0.3192366361618042,0.008179513737559319,0.008249417878687382
1011_0.79_0.66.png,43.75776290893555,43.98795700073242,0.230194091796875,0.9900333285331726,0.9904438853263855,0.0004105567932128906,0.18511520326137543,0.005343304481357336,0.005154340527951717
1012_0.85_1.28.png,38.416282653808594,38.254791259765625,-0.16149139404296875,0.9647232890129089,0.9640059471130371,-0.0007173418998718262,0.3288431763648987,0.00917636975646019,0.009319780394434929
1013_0.63_1.83.png,39.767333984375,39.565364837646484,-0.20196914672851562,0.9964033961296082,0.996376633644104,-2.676248550415039e-05,0.24103744328022003,0.007720543537288904,0.007985305972397327
1014_0.74_1.61.png,40.07816696166992,40.00699996948242,-0.0711669921875,0.9961068630218506,0.9961254000663757,1.8537044525146484e-05,0.24040751159191132,0.00709902448579669,0.007174164522439241
1015_0.7_1.92.png,39.58008575439453,39.500823974609375,-0.07926177978515625,0.9959384799003601,0.9959704279899597,3.1948089599609375e-05,0.267574280500412,0.007905540987849236,0.008043225854635239
1016_0.8_1.72.png,39.61763381958008,39.548797607421875,-0.06883621215820312,0.9955521821975708,0.9955745935440063,2.2411346435546875e-05,0.26698946952819824,0.007633436005562544,0.007724314462393522
1017_0.91_1.44.png,33.62205123901367,33.705833435058594,0.08378219604492188,0.9940270185470581,0.9940394163131714,1.239776611328125e-05,0.13726261258125305,0.013086038641631603,0.012941431254148483
1018_0.88_0.54.png,38.6190071105957,38.725868225097656,0.10686111450195312,0.9982120990753174,0.9982477426528931,3.5643577575683594e-05,0.053826168179512024,0.007308926898986101,0.007215461693704128
1019_0.82_1.87.png,32.74661636352539,32.832183837890625,0.08556747436523438,0.9916027784347534,0.9915265440940857,-7.623434066772461e-05,0.12832783162593842,0.0159510038793087,0.015691835433244705
101_0.78_1.87.png,31.260887145996094,31.175317764282227,-0.08556938171386719,0.9864507913589478,0.98619544506073,-0.00025534629821777344,0.2516942024230957,0.021850265562534332,0.022128751501441002
1020_0.5_0.98.png,41.36661911010742,40.85673522949219,-0.5098838806152344,0.9977430105209351,0.9977182149887085,-2.47955322265625e-05,0.08811573684215546,0.006906288210302591,0.007450498174875975
1021_0.73_0.84.png,38.976966857910156,38.95985794067383,-0.017108917236328125,0.9988964796066284,0.9988836050033569,-1.2874603271484375e-05,0.06076648458838463,0.006520458497107029,0.006622896529734135
1022_0.66_1.05.png,40.141082763671875,40.09514236450195,-0.045940399169921875,0.9988166689872742,0.9987927675247192,-2.390146255493164e-05,0.07492316514253616,0.006343092769384384,0.006453484762459993
1023_0.5_1.87.png,37.465614318847656,36.858604431152344,-0.6070098876953125,0.9968034625053406,0.9966953992843628,-0.0001080632209777832,0.12346778064966202,0.009749505668878555,0.010365051217377186
1024_0.69_1.66.png,35.46369171142578,35.57573699951172,0.1120452880859375,0.996813178062439,0.9967474341392517,-6.574392318725586e-05,0.11658330261707306,0.010981318540871143,0.01093712355941534
1025_0.95_1.79.png,34.59271240234375,34.50336456298828,-0.08934783935546875,0.9947078227996826,0.9946126341819763,-9.518861770629883e-05,0.20233726501464844,0.014065497554838657,0.014331539161503315
1026_0.77_0.89.png,35.755924224853516,35.80381774902344,0.047893524169921875,0.9987044334411621,0.9987050294876099,5.960464477539062e-07,0.08034074306488037,0.013477577827870846,0.013263611122965813
1027_0.57_1.77.png,33.522281646728516,33.2724609375,-0.24982070922851562,0.995832622051239,0.9957400560379028,-9.256601333618164e-05,0.13587109744548798,0.015885569155216217,0.016515349969267845
1028_0.97_1.41.png,36.6344108581543,36.58684158325195,-0.04756927490234375,0.9965917468070984,0.996538519859314,-5.322694778442383e-05,0.17105677723884583,0.010821972973644733,0.010896101593971252
1029_0.71_0.56.png,44.240779876708984,44.12809371948242,-0.1126861572265625,0.9988982081413269,0.9988982081413269,0.0,0.09387777000665665,0.004368677269667387,0.004401037935167551
102_0.94_1.18.png,32.18922424316406,32.16817855834961,-0.021045684814453125,0.9894636869430542,0.9893498420715332,-0.0001138448715209961,0.1903287172317505,0.01835700124502182,0.01842939481139183
1030_0.75_1.69.png,38.21989059448242,38.14171600341797,-0.07817459106445312,0.9896572828292847,0.9889746904373169,-0.0006825923919677734,0.2475557029247284,0.00943535566329956,0.009574984200298786
1031_0.76_0.7.png,42.84375762939453,42.7977180480957,-0.046039581298828125,0.9985350370407104,0.9985365867614746,1.5497207641601562e-06,0.1190052181482315,0.005159166641533375,0.00517214136198163
1032_0.6_0.6.png,43.00468444824219,42.75430679321289,-0.2503776550292969,0.9986781477928162,0.998653769493103,-2.4378299713134766e-05,0.09206140041351318,0.00499763386324048,0.005125054158270359
1033_0.52_1.2.png,34.245323181152344,34.20975112915039,-0.035572052001953125,0.9937106370925903,0.9934965968132019,-0.00021404027938842773,0.14140410721302032,0.01663968339562416,0.01676272042095661
