rule_id,gate_pass,eligible_count,hard_count,hard_eligible_rate,base_negative_count,base_severe_count,negative_preservation_rate,severe_preservation_rate,fold_pass_count,fold_pass,mean,hard,easy,mid,p05,CVaR5,negative_count,severe_count,severe_rate,strong_reference_count,strong_reference_regression_count,strong_reference_regression_rate,sample_count,severe_threshold_dB,strong_reference_regression_threshold_dB
M0_oracle_positive,True,570,150,1.0,30,21,1.0,1.0,5,5/5,3.2670767347017926,4.909109910329183,1.2569342931111653,3.4511313676834106,0.01061367988586425,0.0,0,0,0.0,150,0,0.0,600,-0.3,-0.05
M1_margin_positive,True,569,150,1.0,30,21,1.0,1.0,5,5/5,3.2670581142107644,4.909109910329183,1.2568598111470541,3.4511313676834106,0.0,0.0,0,0,0.0,150,0,0.0,600,-0.3,-0.05
M2_strong_margin,True,567,150,1.0,30,21,1.0,1.0,5,5/5,3.2668206453323365,4.909109910329183,1.2564873059590658,3.4508426825205487,0.0,0.0,0,0,0.0,150,0,0.0,600,-0.3,-0.05
M3_hard_mid_positive,True,448,150,1.0,30,21,1.0,1.0,5,5/5,2.952843161424001,4.909109910329183,0.0,3.4511313676834106,0.0,0.0,0,0,0.0,150,0,0.0,600,-0.3,-0.05
M4_preserve_strong_reference,True,448,150,1.0,30,21,1.0,1.0,5,5/5,2.952843161424001,4.909109910329183,0.0,3.4511313676834106,0.0,0.0,0,0,0.0,150,0,0.0,600,-0.3,-0.05
M5_soft_easy_veto,True,546,150,1.0,30,21,1.0,1.0,5,5/5,3.2563049594561257,4.909109910329183,1.2138471921284995,3.4511313676834106,0.0,0.0,0,0,0.0,150,0,0.0,600,-0.3,-0.05
M6_alpha_bucketed,False,592,150,1.0,30,21,0.26666666666666666,0.38095238095238093,0,0/5,3.2064192652702332,4.909109910329183,1.0143044153849283,3.4511313676834106,0.4083108901977539,0.19187053044637045,0,0,0.0,150,0,0.0,600,-0.3,-0.05
