heldout_fold_id,selected_rule,selected_train_gate_pass,heldout_gate_pass,train_mean,train_hard,train_eligible_count,heldout_eligible_count,heldout_hard_count,heldout_hard_eligible_rate,heldout_base_negative_count,heldout_base_severe_count,heldout_negative_preservation_rate,heldout_severe_preservation_rate,heldout_mean,heldout_hard,heldout_easy,heldout_mid,heldout_p05,heldout_CVaR5,heldout_negative_count,heldout_severe_count,heldout_severe_rate,heldout_strong_reference_count,heldout_strong_reference_regression_count,heldout_strong_reference_regression_rate,heldout_sample_count,heldout_severe_threshold_dB,heldout_strong_reference_regression_threshold_dB
0,M0_oracle_positive,True,True,3.2363125334183374,4.882147021915602,456,114,35,1.0,6,4,1.0,1.0,3.390133539835612,4.997702257973807,1.1187068621317546,3.6060952706770464,0.101729154586792,0.0,0,0,0.0,30,0,0.0,120,-0.3,-0.05
1,M0_oracle_positive,True,True,3.313852295279503,4.93297613733183,456,114,27,1.0,6,4,1.0,1.0,3.0799744923909507,4.800385987317121,1.5628855368670296,3.166922189421573,0.18608593940734866,0.0,0,0,0.0,34,0,0.0,120,-0.3,-0.05
2,M0_oracle_positive,True,True,3.2809344430764518,4.930951866677137,457,113,27,1.0,7,6,1.0,1.0,3.2116459012031555,4.8096076647440595,1.2242777594204606,3.4380319714546204,0.0,0.0,0,0,0.0,29,0,0.0,120,-0.3,-0.05
3,M0_oracle_positive,True,True,3.264391521612803,4.898114167726957,456,114,20,1.0,6,4,1.0,1.0,3.2778175870577493,4.980582237243652,1.2949479327482336,3.7833066058881357,0.13528704643249514,0.0,0,0,0.0,34,0,0.0,120,-0.3,-0.05
4,M0_oracle_positive,True,True,3.2398928801218667,4.89909222366613,455,115,41,1.0,5,3,1.0,1.0,3.3758121530214944,4.9357422968236415,0.9699367440265158,3.2218478407178606,0.24565899372100833,0.014434258143107096,0,0,0.0,23,0,0.0,120,-0.3,-0.05
