variant,rank,name,split,A0_PSNR,dPSNR,teacher_margin,residual_energy,color_shift,clip_ratio,haze_param_t,haze_param_beta
a5_a4sweep_s025,1,611_0.99_1.33.png,val_regular,36.197845458984375,-0.5925827026367188,2.7406158447265625,0.006182973738759756,0.0015445451717823744,0.00018958334112539887,0.99,1.33
a5_a4sweep_s025,2,210_0.87_0.81.png,val_regular,40.07377624511719,-0.5519866943359375,0.9747123718261719,0.005132362712174654,0.0012776355724781752,0.0,0.87,0.81
a5_a4sweep_s025,3,778_0.99_1.06.png,val_regular,33.92321014404297,-0.5358619689941406,3.4009017944335938,0.006180608179420233,0.0015445351600646973,3.333333370392211e-05,0.99,1.06
a5_a4sweep_s025,4,533_0.96_1.51.png,val_hard,36.9848747253418,-0.4807472229003906,2.4628067016601562,0.008380234241485596,0.0020948550663888454,3.958333400078118e-05,0.96,1.51
a5_a4sweep_s025,5,612_0.78_0.9.png,val_hard,34.34458923339844,-0.4752693176269531,3.1274032592773438,0.004395177587866783,0.0011193156242370605,0.015908334404230118,0.78,0.9
a5_a4sweep_s025,6,332_0.74_1.24.png,val_hard,34.3131103515625,-0.4677276611328125,3.4483909606933594,0.006953503470867872,0.001738091348670423,2.0833333564951317e-06,0.74,1.24
a5_a4sweep_s025,7,501_0.99_0.7.png,val_regular,39.12370300292969,-0.46671295166015625,1.4937362670898438,0.0047921487130224705,0.001197775243781507,2.9166667445679195e-05,0.99,0.7
a5_a4sweep_s025,8,1413_0.65_1.47.png,val_regular,40.02935791015625,-0.4601783752441406,1.8968772888183594,0.004734986461699009,0.001181741594336927,9.791666525416076e-05,0.65,1.47
a5_a4sweep_s025,9,219_0.84_1.07.png,val_hard,37.29166793823242,-0.45664215087890625,4.102813720703125,0.0035261670127511024,0.0008778373594395816,1.0416666555101983e-05,0.84,1.07
a5_a4sweep_s025,10,1031_0.76_0.7.png,val_regular,42.83445358276367,-0.4552459716796875,1.8991661071777344,0.0030817242804914713,0.0007501344080083072,0.01067916676402092,0.76,0.7
a5_a4sweep_s025,11,610_0.58_0.89.png,val_hard,36.79851150512695,-0.4538383483886719,3.5601577758789062,0.0033478226978331804,0.000936359167098999,0.03186666592955589,0.58,0.89
a5_a4sweep_s025,12,330_0.59_1.02.png,val_regular,38.7113037109375,-0.4200172424316406,3.3923912048339844,0.0046959370374679565,0.0011735459556803107,0.0,0.59,1.02
a5_a4sweep_s025,13,1223_0.74_2.0.png,val_hard,34.76206970214844,-0.40459442138671875,2.548717498779297,0.005918846931308508,0.0014736354351043701,0.00020416667393874377,0.74,2.0
a5_a4sweep_s025,14,1467_0.61_1.24.png,val_regular,40.423423767089844,-0.39434814453125,2.0028152465820312,0.004299620166420937,0.0012140473118051887,0.04869375005364418,0.61,1.24
a5_a4sweep_s025,15,2170_0.98_1.62.png,val_regular,36.96137237548828,-0.376922607421875,0.4524078369140625,0.005515375640243292,0.0014607509365305305,0.034665800631046295,0.98,1.62
a5_a4sweep_s025,16,863_0.87_0.58.png,val_regular,36.93707275390625,-0.35036468505859375,2.9139251708984375,0.003746824339032173,0.0009365479345433414,2.0833333564951317e-06,0.87,0.58
a5_a4sweep_s025,17,474_0.56_1.28.png,val_hard,34.1060791015625,-0.3379631042480469,3.183826446533203,0.004360607825219631,0.001088559627532959,1.2500000593718141e-05,0.56,1.28
a5_a4sweep_s025,18,221_0.88_1.44.png,val_regular,36.879722595214844,-0.3314666748046875,2.2801513671875,0.005498015321791172,0.0013745427131652832,1.0416666555101983e-05,0.88,1.44
a5_a4sweep_s025,19,1333_0.79_1.62.png,val_regular,33.56443786621094,-0.3231239318847656,3.0402984619140625,0.005750986747443676,0.0014341871719807386,0.00039166666101664305,0.79,1.62
a5_a4sweep_s025,20,2435_0.72_0.78.png,val_regular,44.469749450683594,-0.3048820495605469,2.577747344970703,0.00197906163521111,0.000599940656684339,0.0506749153137207,0.72,0.78
a5_a4sweep_s030,1,611_0.99_1.33.png,val_regular,36.197845458984375,-0.7133560180664062,2.7406158447265625,0.006182973738759756,0.0018532674293965101,0.0001875000016298145,0.99,1.33
a5_a4sweep_s030,2,210_0.87_0.81.png,val_regular,40.07377624511719,-0.67181396484375,0.9747123718261719,0.005132362712174654,0.0015332003822550178,0.0,0.87,0.81
a5_a4sweep_s030,3,778_0.99_1.06.png,val_regular,33.92321014404297,-0.6410484313964844,3.4009017944335938,0.006180608179420233,0.0018534064292907715,2.9166667445679195e-05,0.99,1.06
a5_a4sweep_s030,4,533_0.96_1.51.png,val_hard,36.9848747253418,-0.5926780700683594,2.4628067016601562,0.008380234241485596,0.002513845916837454,3.7500001781154424e-05,0.96,1.51
a5_a4sweep_s030,5,612_0.78_0.9.png,val_hard,34.34458923339844,-0.5684318542480469,3.1274032592773438,0.004395177587866783,0.001338144182227552,0.015904167667031288,0.78,0.9
a5_a4sweep_s030,6,501_0.99_0.7.png,val_regular,39.12370300292969,-0.5666542053222656,1.4937362670898438,0.0047921487130224705,0.0014373462181538343,2.5000001187436283e-05,0.99,0.7
a5_a4sweep_s030,7,332_0.74_1.24.png,val_hard,34.3131103515625,-0.5641136169433594,3.4483909606933594,0.006953503470867872,0.0020856857299804688,2.0833333564951317e-06,0.74,1.24
a5_a4sweep_s030,8,1413_0.65_1.47.png,val_regular,40.02935791015625,-0.5620803833007812,1.8968772888183594,0.004734986461699009,0.0014180243015289307,9.791666525416076e-05,0.65,1.47
a5_a4sweep_s030,9,1031_0.76_0.7.png,val_regular,42.83445358276367,-0.5549201965332031,1.8991661071777344,0.0030817242804914713,0.0009031494846567512,0.01087083388119936,0.76,0.7
a5_a4sweep_s030,10,219_0.84_1.07.png,val_hard,37.29166793823242,-0.5473175048828125,4.102813720703125,0.0035261670127511024,0.0010533928871154785,1.0416666555101983e-05,0.84,1.07
a5_a4sweep_s030,11,610_0.58_0.89.png,val_hard,36.79851150512695,-0.5457305908203125,3.5601577758789062,0.0033478226978331804,0.0010966460686177015,0.03192500025033951,0.58,0.89
a5_a4sweep_s030,12,330_0.59_1.02.png,val_regular,38.7113037109375,-0.5104217529296875,3.3923912048339844,0.0046959370374679565,0.0014082491397857666,0.0,0.59,1.02
a5_a4sweep_s030,13,1467_0.61_1.24.png,val_regular,40.423423767089844,-0.4971046447753906,2.0028152465820312,0.004299620166420937,0.0014142792206257582,0.049143750220537186,0.61,1.24
a5_a4sweep_s030,14,1223_0.74_2.0.png,val_hard,34.76206970214844,-0.4885368347167969,2.548717498779297,0.005918846931308508,0.0017682512989267707,0.00020416667393874377,0.74,2.0
a5_a4sweep_s030,15,2170_0.98_1.62.png,val_regular,36.96137237548828,-0.46167755126953125,0.4524078369140625,0.005515375640243292,0.0017316937446594238,0.0335579439997673,0.98,1.62
a5_a4sweep_s030,16,863_0.87_0.58.png,val_regular,36.93707275390625,-0.422210693359375,2.9139251708984375,0.003746824339032173,0.001123875379562378,2.0833333564951317e-06,0.87,0.58
a5_a4sweep_s030,17,474_0.56_1.28.png,val_hard,34.1060791015625,-0.4058265686035156,3.183826446533203,0.004360607825219631,0.0013062854995951056,1.2500000593718141e-05,0.56,1.28
