count,mean_dPSNR,median_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,p05_dPSNR,p95_dPSNR,variant,group
150,0.11892780303955078,0.0921478271484375,0.14815206785459775,0.1681868063436972,6.572604179382324e-05,0.7466666666666667,0.7466666666666667,7,28.0,-0.17063522338867188,0.51458740234375,a5_a4sweep_s025,teacher_margin_q1
150,0.24102308909098308,0.28482818603515625,0.19142712773503484,0.27666978578309753,0.00012273192405700683,0.7733333333333333,0.7733333333333333,16,64.0,-0.2971210479736328,0.7060012817382812,a5_a4sweep_s025,teacher_margin_q2
150,0.2275276819864909,0.2758445739746094,0.36527484172099345,0.20098083083694046,0.0002302678426106771,0.74,0.74,13,52.0,-0.3046722412109375,0.7117710113525391,a5_a4sweep_s025,teacher_margin_q3
150,0.29295230865478517,0.3021087646484375,0.2588067441373258,0.30348504556191935,0.00023105820020039876,0.7733333333333333,0.7733333333333333,6,24.0,-0.18665313720703125,0.8176994323730469,a5_a4sweep_s025,teacher_margin_q4
150,0.11751649220784505,0.095245361328125,0.16767321406184016,0.16117219667176944,6.432493527730306e-05,0.6933333333333334,0.6933333333333334,9,36.0,-0.22026443481445312,0.5916213989257812,a5_a4sweep_s030,teacher_margin_q1
150,0.2757127253214518,0.31670379638671875,0.22278270205935916,0.30922503084749786,0.0001345225175221761,0.7666666666666667,0.7666666666666667,18,72.0,-0.3588676452636719,0.8449668884277344,a5_a4sweep_s030,teacher_margin_q2
150,0.2689501063028971,0.3270835876464844,0.43801854107830973,0.23304810395111908,0.0002701266606648763,0.74,0.74,20,80.0,-0.3653106689453125,0.8590011596679688,a5_a4sweep_s030,teacher_margin_q3
150,0.3500542958577474,0.3610115051269531,0.3103418607969542,0.36031537442593964,0.00027095953623453776,0.7733333333333333,0.7733333333333333,10,40.0,-0.22599411010742188,0.9827041625976562,a5_a4sweep_s030,teacher_margin_q4
150,0.057718391418457034,0.027950286865234375,0.21151346773714633,0.061793250006598396,2.631505330403646e-05,0.5266666666666666,0.5266666666666666,42,168.00000000000003,-0.5554580688476562,0.9639625549316406,c13a2_directzero256,teacher_margin_q1
150,0.377726567586263,0.4501762390136719,0.3126983642578125,0.39554657807221283,0.00016568978627522787,0.7466666666666667,0.7466666666666667,30,120.0,-0.74530029296875,1.3132553100585938,c13a2_directzero256,teacher_margin_q2
150,0.4176772944132487,0.479644775390625,0.7144525373304212,0.347274264773807,0.00043066183725992837,0.7133333333333334,0.7133333333333334,33,132.0,-0.6572914123535156,1.4366912841796875,c13a2_directzero256,teacher_margin_q3
150,0.5724057388305664,0.6069602966308594,0.5056609076422613,0.5877868033744194,0.0004277618726094564,0.7533333333333333,0.7533333333333333,19,76.0,-0.4319725036621094,1.6070556640625,c13a2_directzero256,teacher_margin_q4
150,0.07642069498697916,0.05591583251953125,0.028204015783361486,0.1427153510016364,5.232095718383789e-05,0.9133333333333333,0.9133333333333333,0,0.0,-0.008609771728515625,0.21897506713867188,c13a3_adaptive050,teacher_margin_q1
150,0.04916408538818359,0.045398712158203125,0.019707396223738387,0.08639897526921453,5.8333873748779294e-05,0.78,0.78,0,0.0,-0.03702545166015625,0.1564178466796875,c13a3_adaptive050,teacher_margin_q2
150,0.025353215535481772,0.03250885009765625,0.03110442290434966,0.03663728043839738,5.4968992869059246e-05,0.7466666666666667,0.7466666666666667,0,0.0,-0.044918060302734375,0.07983779907226562,c13a3_adaptive050,teacher_margin_q3
150,0.027953465779622395,0.035099029541015625,0.021042591816670186,0.034648173564189186,4.948894182840983e-05,0.76,0.76,0,0.0,-0.02873992919921875,0.07134246826171875,c13a3_adaptive050,teacher_margin_q4
150,0.0713555653889974,0.04880523681640625,0.21772054723791173,0.0833434027594489,3.9664109547932945e-05,0.5466666666666666,0.5466666666666666,37,148.0,-0.5078697204589844,0.8865966796875,c13a4_scale050,teacher_margin_q1
150,0.38048703511555987,0.45143890380859375,0.32447113861908783,0.39484879777238174,0.00016587456067403158,0.7533333333333333,0.7533333333333333,29,116.0,-0.6791305541992188,1.2432708740234375,c13a4_scale050,teacher_margin_q2
150,0.42175398508707684,0.5002422332763672,0.7277886158711201,0.3389582247347445,0.0004160706202189128,0.72,0.72,31,124.0,-0.6273422241210938,1.4552154541015625,c13a4_scale050,teacher_margin_q3
150,0.5732542037963867,0.5908317565917969,0.5157352653709618,0.5754454329207137,0.00041864832242329914,0.7666666666666667,0.7666666666666667,18,72.0,-0.4141120910644531,1.6126556396484375,c13a4_scale050,teacher_margin_q4
150,0.8140345891316731,0.9179229736328125,1.1606442735001847,0.43939559524123734,0.0008277479807535808,0.8933333333333333,0.8933333333333333,11,44.0,-0.51007080078125,1.5848617553710938,wd0375_teacher,teacher_margin_q1
150,2.2042811203002928,2.2124557495117188,2.337690559593407,2.0445130837930217,0.0011075687408447265,1.0,1.0,0,0.0,1.7397193908691406,2.6620101928710938,wd0375_teacher,teacher_margin_q2
150,3.0939179102579755,3.1392669677734375,3.1332518603350663,3.0689769435573266,0.002255101203918457,1.0,1.0,0,0.0,2.7202301025390625,3.4009017944335938,wd0375_teacher,teacher_margin_q3
150,3.9365745798746743,3.882678985595703,4.033835333746833,3.8821398760821366,0.002502930164337158,1.0,1.0,0,0.0,3.474355697631836,4.651527404785156,wd0375_teacher,teacher_margin_q4
