variant,eval_scope,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,severe_loss_per_600,quick_gate_pass
c13a4_scale050,quick_val128,0.3179215341806412,0.6048173308372498,0.08856630325317383,0.0001675584353506565,0.71875,131.25,False
c13a4_scale055,quick_val128,0.31798338890075684,0.6063382625579834,0.08684730529785156,0.0001667155884206295,0.71875,131.25,False
