count,mean_dPSNR,median_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,p05_dPSNR,p95_dPSNR,variant,group
150,0.28667772928873697,0.29150390625,0.27169433799949855,0.25493611516179265,0.00028832236925760906,0.8066666666666666,0.8066666666666666,2,8.0,-0.12528610229492188,0.7338638305664062,a5_a4sweep_s025,A0_PSNR_q1
150,0.24424891153971354,0.26973724365234375,0.2196141835805532,0.24908210135794975,0.00014271100362141928,0.74,0.74,12,48.0,-0.2980613708496094,0.7705955505371094,a5_a4sweep_s025,A0_PSNR_q2
150,0.1958324940999349,0.16662216186523438,0.22863120001715584,0.19696385151631124,0.00014265616734822592,0.76,0.76,16,64.0,-0.3314666748046875,0.7005577087402344,a5_a4sweep_s025,A0_PSNR_q3
150,0.15367174784342447,0.14569854736328125,0.16142891548775337,0.15365878955737963,7.60944684346517e-05,0.7266666666666667,0.7266666666666667,12,48.0,-0.2848091125488281,0.5838623046875,a5_a4sweep_s025,A0_PSNR_q4
150,0.3430111312866211,0.3498268127441406,0.3259690258954022,0.3037871283453864,0.00033922314643859865,0.8066666666666666,0.8066666666666666,6,24.0,-0.15213775634765625,0.8843593597412109,a5_a4sweep_s030,A0_PSNR_q1
150,0.2883386739095052,0.31670379638671875,0.260696926632443,0.2932279432142103,0.00016720771789550782,0.7333333333333333,0.7333333333333333,18,72.0,-0.3617897033691406,0.9266510009765625,a5_a4sweep_s030,A0_PSNR_q2
150,0.22492340087890625,0.19759750366210938,0.2685596362964527,0.22274914303341428,0.00016129771868387857,0.76,0.76,19,76.0,-0.4046592712402344,0.8367080688476562,a5_a4sweep_s030,A0_PSNR_q3
150,0.15596041361490887,0.14666366577148438,0.1729595081226246,0.1435144785288218,7.220506668090821e-05,0.6733333333333333,0.6733333333333333,14,56.0,-0.35665130615234375,0.6862831115722656,a5_a4sweep_s030,A0_PSNR_q4
150,0.5578474807739258,0.5935592651367188,0.530504948384053,0.4886257068530933,0.0005390608310699463,0.78,0.78,16,64.0,-0.2894287109375,1.4580650329589844,c13a2_directzero256,A0_PSNR_q1
150,0.4413721974690755,0.479644775390625,0.4105267911343961,0.4449376286687078,0.0002594780921936035,0.72,0.72,30,120.0,-0.6548118591308594,1.5573844909667969,c13a2_directzero256,A0_PSNR_q2
150,0.3182606506347656,0.2577552795410156,0.41995074297930746,0.30281427744272593,0.00022936582565307617,0.7066666666666667,0.7066666666666667,32,128.0,-0.7581062316894531,1.3132553100585938,c13a2_directzero256,A0_PSNR_q3
150,0.10804766337076822,0.04708099365234375,0.1747743761217272,0.026086652601087414,2.252380053202311e-05,0.5333333333333333,0.5333333333333333,46,184.0,-0.74530029296875,1.0715103149414062,c13a2_directzero256,A0_PSNR_q4
150,0.025461158752441405,0.03295135498046875,0.021493293143607473,0.023850209004170186,5.730271339416504e-05,0.7666666666666667,0.7666666666666667,0,0.0,-0.02088165283203125,0.058940887451171875,c13a3_adaptive050,A0_PSNR_q1
150,0.025595703125,0.03277587890625,0.02258187371331292,0.029102840939083614,2.823948860168457e-05,0.7333333333333333,0.7333333333333333,0,0.0,-0.040679931640625,0.07563018798828125,c13a3_adaptive050,A0_PSNR_q2
150,0.03658620198567708,0.034633636474609375,0.03027281890044341,0.05208494856550887,5.527695020039876e-05,0.7866666666666666,0.7866666666666666,0,0.0,-0.044330596923828125,0.13946914672851562,c13a3_adaptive050,A0_PSNR_q3
150,0.09124839782714844,0.07983779907226562,0.06294508238096495,0.13969823476430532,7.42936134338379e-05,0.9133333333333333,0.9133333333333333,0,0.0,-0.012599945068359375,0.22463607788085938,c13a3_adaptive050,A0_PSNR_q4
150,0.5649709574381511,0.5762672424316406,0.5429514807623785,0.49224729795713684,0.0005287102858225505,0.7933333333333333,0.7933333333333333,13,52.0,-0.26424407958984375,1.4982357025146484,c13a4_scale050,A0_PSNR_q1
150,0.4473565928141276,0.4580497741699219,0.41561085469013936,0.448999868856894,0.00025292476018269855,0.7333333333333333,0.7333333333333333,29,116.0,-0.6066055297851562,1.5528717041015625,c13a4_scale050,A0_PSNR_q2
150,0.3147643280029297,0.2765998840332031,0.4102777017129434,0.2959084381928315,0.00022095163663228353,0.72,0.72,31,124.0,-0.7139511108398438,1.2432708740234375,c13a4_scale050,A0_PSNR_q3
150,0.1197589111328125,0.0542144775390625,0.17477056142446157,0.05222722646352407,3.767093022664388e-05,0.54,0.54,42,168.00000000000003,-0.6791305541992188,1.0445327758789062,c13a4_scale050,A0_PSNR_q4
150,3.5056149673461916,3.5289878845214844,3.7616582818933435,3.2545520679370776,0.00324133038520813,1.0,1.0,0,0.0,2.412322998046875,4.612762451171875,wd0375_teacher,A0_PSNR_q1
150,3.027662658691406,3.1271896362304688,3.342834575756176,2.804871327168233,0.0015434503555297851,1.0,1.0,0,0.0,1.6639747619628906,4.253643035888672,wd0375_teacher,A0_PSNR_q2
150,2.3260470326741536,2.3555946350097656,2.656039469950908,1.944429552232897,0.0012673985958099364,0.9866666666666667,0.9866666666666667,1,4.0,0.7056159973144531,3.9757957458496094,wd0375_teacher,A0_PSNR_q3
150,1.1894835408528646,1.1345787048339844,1.8067351676322319,0.5152835330447635,0.000641168753306071,0.9066666666666666,0.9066666666666666,10,40.0,-0.45940399169921875,2.8202857971191406,wd0375_teacher,A0_PSNR_q4
