artifact,val_count,mean,hard,easy,positive,severe600,dSSIM
v25_c13_eval_c13a2_directzero256_Best_summary.json,128,0.3108939677476883,0.5986083149909973,0.07037055492401123,0.6953125,131.25,0.00016294606029987335
v25_c13_scale_c13a2_directzero256_s0p25_summary.json,128,0.14207196235656738,0.15396952629089355,0.15116703510284424,0.828125,14.0625,8.880998939275742e-05
v25_c13_scale_c13a2_directzero256_s0p5_summary.json,128,0.2207546979188919,0.30497902631759644,0.16364061832427979,0.78125,60.9375,0.0001247776672244072
v25_c13_eval_c13a3_adaptive025_Best_summary.json,128,0.05646362900733948,0.017318367958068848,0.11070382595062256,0.890625,0.0,5.316454917192459e-05
v25_c13_eval_c13a3_adaptive050_Best_summary.json,128,0.06469468772411346,0.025805771350860596,0.11930382251739502,0.84375,0.0,5.7489145547151566e-05
v25_c13_eval_c13a4_scale050_Best_summary.json,128,0.3179215341806412,0.6048173308372498,0.08856630325317383,0.71875,131.25,0.0001675584353506565
v25_c13_eval_c13a4_scale055_Best_summary.json,128,0.31798338890075684,0.6063382625579834,0.08684730529785156,0.71875,131.25,0.0001667155884206295
v25_c13_eval_a5_a4sweep_s025_Best_summary.json,128,0.22104009985923767,0.3078254461288452,0.16352534294128418,0.796875,51.5625,0.00012394040822982788
v25_c13_eval_a5_a4sweep_s030_Best_summary.json,128,0.24716190993785858,0.36820727586746216,0.15960288047790527,0.78125,75.0,0.00013577379286289215
v25_c13_eval_a5_a4sweep_s035_Best_summary.json,128,0.2699349671602249,0.4281584620475769,0.1500798463821411,0.78125,84.375,0.00014606770128011703
v25_c13_eval_a5_a4sweep_s040_Best_summary.json,128,0.28932881355285645,0.48761963844299316,0.1350080966949463,0.7578125,98.4375,0.0001548142172396183
v25_c13_eval_a5_a4sweep_s045_Best_summary.json,128,0.3053256720304489,0.5465289950370789,0.11446726322174072,0.734375,121.875,0.00016198260709643364
