variant,val_count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_loss_per_600,dSSIM,quick_gate_pass,summary_json,per_image_csv
wd0375_teacher,600,2.512202049891154,3.5056149673461916,1.1894835408528646,0.9733333333333334,11.0,0.0016733370224634807,True,v25_c13_f0_wd0375_teacher_full600_summary.json,v25_c13_f0_wd0375_teacher_full600_per_image.csv
c13a4_scale050,600,0.36171269734700523,0.5649709574381511,0.1197589111328125,0.6966666666666667,115.00000000000001,0.0002600644032160441,False,v25_c13_f0_c13a4_scale050_full600_summary.json,v25_c13_f0_c13a4_scale050_full600_per_image.csv
c13a2_directzero256,600,0.3563819980621338,0.5578474807739258,0.10804766337076822,0.685,124.0,0.00026260713736216227,False,v25_c13_f0_c13a2_directzero256_full600_summary.json,v25_c13_f0_c13a2_directzero256_full600_per_image.csv
a5_a4sweep_s030,600,0.2530584049224853,0.3430111312866211,0.15596041361490887,0.7433333333333333,57.0,0.0001849834124247233,False,v25_c13_f0_a5_a4sweep_s030_full600_summary.json,v25_c13_f0_a5_a4sweep_s030_full600_per_image.csv
a5_a4sweep_s025,600,0.22010772069295248,0.28667772928873697,0.15367174784342447,0.7583333333333333,42.00000000000001,0.0001624460021654765,False,v25_c13_f0_a5_a4sweep_s025_full600_summary.json,v25_c13_f0_a5_a4sweep_s025_full600_per_image.csv
c13a3_adaptive050,600,0.04472286542256673,0.025461158752441405,0.09124839782714844,0.8,0.0,5.3778191407521566e-05,False,v25_c13_f0_c13a3_adaptive050_full600_summary.json,v25_c13_f0_c13a3_adaptive050_full600_per_image.csv
