variant,eval_scope,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,severe_loss_per_600,quick_gate_pass
c13a3_adaptive025,quick_val128,0.05646362900733948,0.017318367958068848,0.11070382595062256,5.316454917192459e-05,0.890625,0.0,False
c13a3_adaptive050,quick_val128,0.06469468772411346,0.025805771350860596,0.11930382251739502,5.7489145547151566e-05,0.84375,0.0,False
