tag,variant,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,severe_loss_per_600,quick_gate_pass
s025,a5_a4sweep_s025,0.22104009985923767,0.3078254461288452,0.16352534294128418,0.00012394040822982788,0.796875,51.5625,False
s030,a5_a4sweep_s030,0.24716190993785858,0.36820727586746216,0.15960288047790527,0.00013577379286289215,0.78125,75.0,False
s035,a5_a4sweep_s035,0.2699349671602249,0.4281584620475769,0.1500798463821411,0.00014606770128011703,0.78125,84.375,False
s040,a5_a4sweep_s040,0.28932881355285645,0.48761963844299316,0.1350080966949463,0.0001548142172396183,0.7578125,98.4375,False
s045,a5_a4sweep_s045,0.3053256720304489,0.5465289950370789,0.11446726322174072,0.00016198260709643364,0.734375,121.875,False
