fold,image,a0_mse,pred_mse,a0_psnr,pred_psnr,delta_psnr,residual_energy
0,1943_0.86_0.57.png,3.117911910521798e-05,2.8965188903384842e-05,45.061361589722964,45.38123634800687,0.319874758283909,4.977048888576974e-07
0,2392_0.93_1.96.png,0.0001778360310709104,0.00018648682453203946,37.49980242747421,37.29351846081355,-0.2062839666606564,9.469806059314578e-07
0,2009_0.82_1.34.png,0.00013623799895867705,0.00014038229710422456,38.65701743844536,38.52687655416277,-0.1301408842825893,3.435188773437403e-07
0,2354_0.59_1.78.png,4.489767161430791e-05,4.899897976429202e-05,43.477761808514174,43.098129625704864,-0.3796321828093099,7.288442702702014e-07
0,2753_0.9_1.03.png,5.009677624912001e-05,5.1786075346171856e-05,43.001902202857366,42.85787001128972,-0.14403219156764635,2.3355926259682747e-07
0,2091_0.7_0.84.png,3.2301981264026836e-05,3.056967398151755e-05,44.907708391040266,45.147091928991294,0.23938353795102785,2.820805207193189e-07
0,1169_0.58_1.98.png,0.0005702427006326616,0.0005767478724010289,32.43940265183704,32.39013998898238,-0.04926266285466596,8.653004783809592e-07
0,2818_0.7_1.02.png,5.950191189185716e-05,6.0409412981243804e-05,42.25469079469037,42.188953844368186,-0.06573695032218296,7.288575716302148e-07
0,2779_0.73_0.56.png,2.9085122150718234e-05,2.8875068892375566e-05,45.36329107926419,45.39476970925155,0.03147862998736173,7.861083872739982e-08
0,118_0.72_0.71.png,9.867188055068254e-05,0.00010084448149427772,40.05806594661759,39.963478626684534,-0.09458731993305491,6.451814442698378e-07
0,271_0.75_1.92.png,0.00043390237260609865,0.0004213399370200932,33.62607975114118,33.75367373995815,0.12759398881697592,8.019478627829812e-07
0,688_0.72_0.52.png,4.5140965085010976e-05,4.745971455122344e-05,43.454291602202765,43.23674878196247,-0.21754282024029692,2.62321748323302e-07
0,2695_0.53_1.16.png,2.0745723304571584e-05,2.0390931240399368e-05,46.83071418790754,46.90562939826002,0.07491521035247928,8.237145721068373e-08
0,198_0.7_0.56.png,4.412903217598796e-05,4.494673339650035e-05,43.55275597257929,43.473018660981744,-0.07973731159754749,1.0751293899602388e-07
0,2715_0.89_1.78.png,0.00010980326624121517,0.00010955919424304739,39.59384741038583,39.603511704403935,0.009664294018108421,3.946839228774479e-07
0,2993_0.97_1.09.png,7.110536535037681e-05,7.498537161154673e-05,41.48097627763231,41.2502345191535,-0.23074175847880696,8.086267939688696e-07
0,1272_0.62_0.57.png,8.526921010343358e-05,9.525714267510921e-05,40.69207760111681,40.21102449688214,-0.4810531042346682,1.2115972367610084e-06
0,1266_0.96_1.34.png,0.0002899104729294777,0.00026139887631870806,35.37736095602826,35.826962836630244,0.4496018806019819,2.1519301753869513e-06
0,70_0.78_1.4.png,0.00010254030348733068,0.00010360665328335017,39.891054015174454,39.84612354711762,-0.044930468056833206,9.874765964923427e-07
0,348_0.85_0.6.png,0.00019917239842470735,0.00021816919615957886,37.00770846848088,36.61206568515338,-0.3956427833274958,6.852331466689066e-07
0,388_0.82_1.27.png,0.00016290693019982427,0.00015664863167330623,37.880604400406455,38.05073394330491,0.17012954289845794,3.650559392553987e-07
0,386_0.91_1.27.png,0.0002264325594296679,0.0002236557484138757,36.45061124462805,36.50419935084246,0.05358810621441279,3.3487341966065287e-07
0,760_0.93_0.78.png,0.00017416084301657975,0.00017862216918729246,37.590494817818296,37.48064640866222,-0.10984840915607919,5.440004429146938e-07
0,2859_0.64_1.61.png,5.872190013178624e-05,5.9123234677826986e-05,42.311998999005986,42.28241813376739,-0.029580865238592935,1.430327500884232e-07
0,483_0.88_1.16.png,0.0001495925389463082,0.0001473902229918167,38.250900667339394,38.31531324085727,0.06441257351787755,6.928142397555348e-07
0,2957_0.86_1.61.png,0.0003537638986017555,0.0003431775257922709,34.51286488662071,34.644811612195824,0.1319467255751121,1.32324646529014e-06
0,1187_0.82_1.57.png,9.739655070006847e-05,0.00010625691356835887,40.114564233929705,39.73642803142053,-0.37813620250917523,1.4185881127559696e-06
0,1618_0.97_1.32.png,5.81023923587054e-05,5.859736120328307e-05,42.358059852207866,42.32121940989703,-0.036840442310833055,2.4402564235970203e-07
0,1776_0.86_1.11.png,5.4672866099281237e-05,5.661537215928547e-05,42.622281586221476,42.47065633519615,-0.15162525102532243,1.456835576618687e-07
0,2896_0.84_0.74.png,3.1340263376478106e-05,2.7502959710545838e-05,45.038973581395894,45.60620567377276,0.5672320923768694,5.538486220757477e-07
0,1669_0.52_1.31.png,6.489518273156136e-05,6.310643948381767e-05,41.87787540345227,41.99926322378734,0.12138782033506601,3.2911083280851017e-07
0,1138_0.86_1.95.png,0.0008354808087460697,0.0008342279470525682,30.7806352153529,30.787152651645926,0.006517436293027146,1.773373554669888e-07
1,582_0.98_0.77.png,0.00023644686734769493,0.00022275009541772306,36.26266435518812,36.52182101255704,0.25915665736891924,1.415959218320495e-06
1,123_0.94_1.22.png,0.00034911464899778366,0.00031908004893921316,34.570319276240184,34.96100350010464,0.39068422386445434,1.265492755919695e-06
1,84_0.89_1.11.png,0.00011334208102198318,0.0001141928878496401,39.45608817739458,39.42360943934662,-0.03247873804795631,8.629860985820414e-07
1,893_0.65_1.08.png,5.616795169771649e-05,5.615125337499194e-05,42.505114134498136,42.5064054523035,0.0012913178053608476,1.343538684750456e-07
1,1075_0.76_1.99.png,0.0011184554314240813,0.001040410716086626,29.513813171303667,29.82795183279969,0.314138661496024,2.2387262106349226e-06
1,963_0.81_0.99.png,0.00016210497415158898,0.00016397183935623616,37.90203658726787,37.852307316006495,-0.04972927126137705,1.9186791178071871e-07
1,2951_0.89_1.67.png,0.00038983995909802616,0.0003906601050402969,34.09113647192898,34.0820093749678,-0.00912709696117986,8.96352673862566e-07
1,1452_0.81_1.88.png,0.00015491078374907374,0.00015839567640796304,38.09918348801776,38.00256677151769,-0.09661671650006554,9.818506896408508e-07
1,2863_0.96_0.62.png,4.4144773710286245e-05,4.401038313517347e-05,43.55120705067969,43.56444850642522,0.013241455745529151,2.1522163251574966e-07
1,68_0.75_1.58.png,0.00018676948093343526,0.0001852895802585408,37.28694088197196,37.321490025022264,0.034549143050305986,6.08233051480056e-07
1,1176_0.65_1.07.png,0.00014397830818779767,0.00014811362780164927,38.41702933904501,38.294049805957975,-0.12297953308703313,8.820335324344342e-07
1,1302_0.53_1.14.png,0.0002976373361889273,0.0003012145170941949,35.26312590989835,35.21124101057089,-0.05188489932746165,4.4861778292215604e-07
1,94_0.62_1.46.png,0.0003326524165458977,0.0003003668680321425,34.78009317284108,35.223479738795106,0.4433865659540288,1.8531138721300522e-06
1,723_0.77_1.08.png,0.00020096520893275738,0.00020519521785899997,36.968791210687186,36.87832764815819,-0.09046356252899557,6.434401029764558e-07
1,1116_0.63_1.62.png,0.0003483860054984689,0.0003247004351578653,34.57939298718508,34.885171293397114,0.3057783062120336,9.623192909202771e-07
1,2719_0.8_1.91.png,7.270002970471978e-05,7.214034849312156e-05,41.384654116912614,41.41821764037698,0.033563523464366085,3.349016708398267e-07
1,1568_0.8_1.8.png,0.00010387596557848155,0.00010010934784077108,39.8348492620704,39.99525367814207,0.1604044160716711,2.1638358305153815e-07
1,1067_0.62_1.35.png,0.00011032374459318817,0.00010878738248720765,39.57331005819161,39.63421472596905,0.06090466777744297,4.1960689145525976e-07
1,1576_0.98_0.73.png,0.00011204886686755344,0.00011312778224237263,39.50592531058033,39.46430726702531,-0.04161804355501886,2.2950078459871293e-07
1,381_0.57_0.52.png,9.702745592221618e-05,0.00010829023085534573,40.13105355751382,39.65410720447463,-0.47694635303919597,6.076186878090084e-07
1,2388_0.93_0.77.png,3.834074595943093e-05,3.932733670808375e-05,44.1633944172105,44.05305463510085,-0.1103397821096479,1.1288135937093102e-07
1,1926_0.82_0.54.png,5.037461960455403e-05,4.781012830790132e-05,42.97788220340003,43.20480090787817,0.22691870447814466,1.7873314561711595e-07
