fold,count,mean_delta,hard_delta,easy_delta,p05_delta,cvar5_delta,worst_delta,severe_count,strong_reference_regression_count,residual_energy_hard_mean,residual_energy_easy_mean,residual_energy_easy_to_hard_ratio,gate_pass,best_checkpoint,final_checkpoint
0,32,-0.026800905543221565,0.014757340582336465,0.06949648928806162,-0.38683695304249355,-0.438347943781082,-0.4810531042346682,7,3,9.108561886961297e-07,3.2416191064754685e-07,0.35588703757019796,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_0/Best.pkl,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_0/Final.pkl
1,32,0.06122257334975667,0.24940230120777684,0.045467553180549736,-0.11602767004947126,-0.29996294306311455,-0.47694635303919597,1,2,1.0962721717078239e-06,2.141295283308864e-07,0.19532515177987728,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_1/Best.pkl,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_1/Final.pkl
2,32,-0.0873209496733961,-0.04721426650183558,-0.13972468746196132,-0.3771190006839884,-0.5307901187624395,-0.5612966802599928,3,6,4.942271623065153e-07,1.7956278153263838e-07,0.3633203417931027,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_2/Best.pkl,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_2/Final.pkl
3,32,-0.06521586483691233,0.05836973442658788,-0.16961921974487737,-0.290594847658144,-0.3684905609663929,-0.44434557441917377,8,6,5.793168309509156e-07,3.137283615117781e-07,0.5415488464176171,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_3/Best.pkl,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_3/Final.pkl
4,32,-0.020575500482889142,0.08138044883128082,-0.1367984710151502,-0.5181664547969984,-0.9219049026509083,-1.2664571422798758,8,5,2.0487811269731537e-06,8.512028344398459e-07,0.4154679205276571,False,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_4/Best.pkl,/sda/home/wangyuxin/ConvIR-B/repos/ConvIR-B-haze4k-v2-41-a0-proximal-supervised-residual/Dehazing/ITS/results/ConvIR-Haze4K-v2.41-a0prox-canary32-oof-20260706/fold_4/Final.pkl
