threshold,pred_high_coverage,target_high_recall,target_high_precision,low_context_false_strong_global,low_context_false_strong_per_image_mean,low_context_false_strong_per_image_p90,low_context_false_strong_per_image_p95,high_need_recall_in_low_density_regions,AUPRC_high,AUROC_high_vs_low,AUROC_high_vs_hard_negative,hard_negative_top5_mean
0.04051057994365692,1.0,1.0,0.337926025390625,1.0,1.0,1.0,1.0,1.0,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.05,0.9998075358072916,1.0,0.33799107657031974,0.9987295293674173,0.9995366847063416,1.0,1.0,1.0,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.1,0.9915401204427083,0.9998819969487782,0.3407690139030182,0.9450654082957544,0.969226539913366,1.0,1.0,0.9994802412105076,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.10102943039188783,0.99125732421875,0.9998711599338701,0.34086253763165436,0.9432616192218019,0.9680859793842514,1.0,1.0,0.9994325082604522,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.13259426976243655,0.9828515625,0.99956411117814,0.34367216790535615,0.897016488195792,0.9374751427525198,1.0,1.0,0.9980800746755485,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.15,0.97751220703125,0.999310043384183,0.3454615386536593,0.8742624987783936,0.9211314916964006,1.0,1.0,0.9970193424520947,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.15805844627320767,0.974881591796875,0.9991763868669828,0.346347400463047,0.8636659360297094,0.9126905883594197,1.0,1.0,0.996473065357016,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.1778170461455981,0.9671435546875,0.9986935376471877,0.3489497873658099,0.8345177098021695,0.8885408134667971,1.0,1.0,0.994738768171669,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.19427123169104257,0.9591910807291667,0.9978639039503328,0.35155058227435704,0.805271755064431,0.8615518221158767,1.0,1.0,0.9917262886570599,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.2,0.9561918131510416,0.9975315688264837,0.35253583393937793,0.7946361009116674,0.8506562880962516,1.0,1.0,0.9904958392778535,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.20853372514247895,0.9514229329427083,0.9969463700214453,0.3540950219761468,0.7784718053248076,0.8350685030251784,1.0,1.0,0.9884061967976494,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.221249966075023,0.943377685546875,0.9954773524450112,0.3565885755323072,0.753193628101135,0.8117852347369396,1.0,1.0,0.9835586505364653,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.23255208532015484,0.935301513671875,0.9936157941063496,0.3589950739516322,0.7293255336674718,0.7870070904528084,1.0,1.0,0.9770563620066932,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.24281097538769245,0.9272151692708334,0.9911160560008766,0.36121487288500054,0.7076102587013278,0.7632183369781818,1.0,1.0,0.967949975868342,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.25,0.92126953125,0.9890654519577068,0.3627938900549089,0.6928672148770715,0.7466550641357153,1.0,1.0,0.9610233944491883,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.25241070489088696,0.9191975911458333,0.9883068609141383,0.363332772618215,0.6878132547782261,0.7412030070844143,1.0,1.0,0.958673872574238,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.26142852678894996,0.9110111490885416,0.9850244495097454,0.36538015749691477,0.6682368380638586,0.7197643307164628,1.0,1.0,0.9497955438639293,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.26987776160240173,0.902608642578125,0.9812483518706494,0.36736780463527346,0.6489452301506415,0.6975122397546517,1.0,1.0,0.9392995985128534,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
0.27763344869017603,0.8942683919270833,0.9771555725736827,0.36924742259597754,0.6308012341714716,0.676010076715783,1.0,1.0,0.9280399259608908,0.4177657672483847,0.6924581272980781,0.7852460943462984,0.5312637090682983
