variant,need_pearson,need_spearman,need_auroc_high_vs_low,need_auprc_high,safe_global_points,safe_p90_points,selected_threshold,selected_coverage,selected_recall,selected_precision,selected_false_global,selected_false_p90,selected_false_p95,selected_low_density_high_recall,raw66_coverage,raw66_false_global,hard_negative_top5_mean
d7a_hn_ordinal,0.34848131373214775,0.30237372407215046,0.698270071761254,0.4141673372401014,8,0,0.4734673961997033,0.268055419921875,0.3324952708471054,0.41916259470257583,0.09878956259511078,0.26798748696558916,0.44370860927152317,0.16847079539005777,1.46484375e-05,0.0,0.53640216588974
d7b_topk_hn_ordinal,0.33993126006655594,0.2950190961205471,0.6924581272980781,0.4177657672483847,7,0,0.477384477853775,0.25293172200520836,0.3182024522960624,0.42513010673981066,0.09923073701257906,0.2537313432835821,0.4507042253521127,0.17576863308742025,0.0,0.0,0.5312637090682983
d7s_shuffled_topk,0.3072478057787324,0.2991964029526075,0.6900644034655854,0.43087092650432895,24,0,0.44165197014808655,0.3031034342447917,0.3939555947293576,0.439215902119325,0.05260306867522024,0.4423076923076923,0.6416666666666667,0.26109393314204793,0.0,0.0,0.4524550139904022
