variant,name,need_pearson,need_mae,need_target_mean,need_pred_mean,need_target_max,need_pred_max,hard_negative_pixels,false_strong_pixels,low_context_false_strong_rate
d7a_hn_ordinal,1002_0.73_1.47.png,0.0506544090700775,0.3274214267730713,0.7083120942115784,0.4229182004928589,0.9978981614112854,0.5611237287521362,77,0,0.0
d7a_hn_ordinal,1007_0.68_1.25.png,0.25102473794831615,0.20715683698654175,0.5543233752250671,0.43121373653411865,0.9816531538963318,0.5525689721107483,39,0,0.0
d7a_hn_ordinal,1012_0.85_1.28.png,-0.26445837141876316,0.23318885266780853,0.5695059299468994,0.4314149022102356,0.9817138910293579,0.5653062462806702,0,0,nan
d7a_hn_ordinal,1016_0.8_1.72.png,0.16649529892654702,0.17820954322814941,0.5156025886535645,0.46663403511047363,0.9905511140823364,0.5885033011436462,127,0,0.0
d7a_hn_ordinal,1022_0.66_1.05.png,-0.22625707785193977,0.22879818081855774,0.4004470705986023,0.3847552537918091,0.984836757183075,0.538263201713562,919,0,0.0
d7a_hn_ordinal,1023_0.5_1.87.png,0.07575074243166638,0.23752373456954956,0.5677728056907654,0.4244803190231323,0.9814285039901733,0.5485319495201111,283,0,0.0
d7a_hn_ordinal,1029_0.71_0.56.png,-0.4109007779068366,0.25492197275161743,0.3038506507873535,0.3535100817680359,0.9062855839729309,0.5208811163902283,681,0,0.0
d7a_hn_ordinal,103_0.75_1.59.png,-0.31157820321220875,0.39520642161369324,0.8088023662567139,0.445223867893219,0.9980001449584961,0.5885084271430969,0,0,nan
d7a_hn_ordinal,1042_0.91_0.56.png,-0.06096146544467551,0.20938090980052948,0.39309799671173096,0.402294784784317,0.9774486422538757,0.5503080487251282,285,0,0.0
d7a_hn_ordinal,1045_0.58_1.58.png,-0.0018987422538101967,0.3316693603992462,0.7688980102539062,0.4624835252761841,0.9990004897117615,0.5699272751808167,3,0,0.0
d7a_hn_ordinal,1060_0.94_1.09.png,0.5775815437312484,0.18618997931480408,0.3832567632198334,0.366451621055603,0.9743672013282776,0.6035532355308533,1111,0,0.0
d7a_hn_ordinal,1064_0.54_0.97.png,-0.04886080306242275,0.26233047246932983,0.5983052849769592,0.4395737648010254,0.9715511202812195,0.5661347508430481,104,0,0.0
d7a_hn_ordinal,1072_0.58_0.58.png,0.492027951199588,0.2950866222381592,0.6682977676391602,0.39575427770614624,0.9741224050521851,0.5619357228279114,321,0,0.0
d7a_hn_ordinal,1073_0.51_0.98.png,-0.18515092175581352,0.26318514347076416,0.5279417037963867,0.3964047431945801,0.9165509939193726,0.5079833269119263,377,0,0.0
d7a_hn_ordinal,1075_0.76_1.99.png,-0.31315982186002533,0.39532482624053955,0.8100170493125916,0.43952512741088867,0.9990004897117615,0.5530561208724976,15,0,0.0
d7a_hn_ordinal,1080_0.59_1.22.png,-0.11726854959785613,0.1787475049495697,0.5225061178207397,0.42367956042289734,0.9802040457725525,0.5161669850349426,39,0,0.0
d7a_hn_ordinal,1083_0.67_0.81.png,-0.13074946037710333,0.32635748386383057,0.7041569948196411,0.3970779776573181,0.9844899773597717,0.4801296889781952,2,0,0.0
d7a_hn_ordinal,1090_0.54_0.58.png,0.037686137275005444,0.22287333011627197,0.43463000655174255,0.3851627707481384,0.9823266267776489,0.5221239924430847,369,0,0.0
