bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant,selected_threshold
0,0.0,0.2,488540,0.10343905538320541,0.2791079580783844,d7_0_d6c_identity,0.3974299574891726
1,0.2,0.33,329794,0.26498743891716003,0.3210502862930298,d7_0_d6c_identity,0.3974299574891726
2,0.33,0.66,808789,0.49360188841819763,0.34660330414772034,d7_0_d6c_identity,0.3974299574891726
3,0.66,0.8,330583,0.7297492623329163,0.36291491985321045,d7_0_d6c_identity,0.3974299574891726
4,0.8,1.000001,499894,0.9029604196548462,0.3691771924495697,d7_0_d6c_identity,0.3974299574891726
