selected_threshold,name,hard_negative_pixels,false_strong_pixels,false_strong_rate,pred_mean,pred_max,target_mean
0.3974299574891726,1002_0.73_1.47.png,77,0,0.0,0.34668368101119995,0.4760960638523102,0.7083120942115784
0.3974299574891726,1007_0.68_1.25.png,39,0,0.0,0.34033310413360596,0.44168969988822937,0.5543233752250671
0.3974299574891726,1012_0.85_1.28.png,0,0,nan,0.3385385274887085,0.45180946588516235,0.5695059299468994
0.3974299574891726,1016_0.8_1.72.png,127,0,0.0,0.38977736234664917,0.4963299632072449,0.5156025886535645
0.3974299574891726,1022_0.66_1.05.png,919,48,0.05223068552774755,0.3196619153022766,0.44260355830192566,0.4004470705986023
0.3974299574891726,1023_0.5_1.87.png,283,31,0.10954063604240283,0.35710859298706055,0.45234033465385437,0.5677728056907654
0.3974299574891726,1029_0.71_0.56.png,681,0,0.0,0.26791390776634216,0.40868258476257324,0.3038506507873535
0.3974299574891726,103_0.75_1.59.png,0,0,nan,0.3742606043815613,0.500332772731781,0.8088023662567139
0.3974299574891726,1042_0.91_0.56.png,285,0,0.0,0.3130456209182739,0.4508133828639984,0.39309799671173096
0.3974299574891726,1045_0.58_1.58.png,3,0,0.0,0.3744586110115051,0.4625827372074127,0.7688980102539062
0.3974299574891726,1060_0.94_1.09.png,1111,0,0.0,0.3285956382751465,0.5015381574630737,0.3832567632198334
0.3974299574891726,1064_0.54_0.97.png,104,6,0.057692307692307696,0.35015738010406494,0.46278098225593567,0.5983052849769592
0.3974299574891726,1072_0.58_0.58.png,321,0,0.0,0.3073945641517639,0.4460534155368805,0.6682977676391602
0.3974299574891726,1073_0.51_0.98.png,377,0,0.0,0.31583720445632935,0.40836086869239807,0.5279417037963867
0.3974299574891726,1075_0.76_1.99.png,15,0,0.0,0.3701528310775757,0.4621334969997406,0.8100170493125916
0.3974299574891726,1080_0.59_1.22.png,39,0,0.0,0.3239341378211975,0.4071209132671356,0.5225061178207397
0.3974299574891726,1083_0.67_0.81.png,2,0,0.0,0.3244497776031494,0.40158072113990784,0.7041569948196411
0.3974299574891726,1090_0.54_0.58.png,369,0,0.0,0.30854904651641846,0.42031189799308777,0.43463000655174255
0.3974299574891726,1096_0.72_0.86.png,39,0,0.0,0.3472101092338562,0.44151827692985535,0.7342609167098999
0.3974299574891726,1098_0.8_0.51.png,865,0,0.0,0.2966553270816803,0.3855285048484802,0.6939414739608765
0.3974299574891726,1099_0.54_1.76.png,120,0,0.0,0.3094659745693207,0.38450688123703003,0.7936299443244934
0.3974299574891726,1102_0.65_0.94.png,33,0,0.0,0.31741607189178467,0.38678351044654846,0.8373527526855469
0.3974299574891726,110_0.55_1.08.png,0,0,nan,0.3526618778705597,0.46893349289894104,0.6273527145385742
0.3974299574891726,1113_0.9_0.52.png,725,0,0.0,0.25605788826942444,0.3831869065761566,0.3588222861289978
0.3974299574891726,1122_0.94_0.53.png,582,0,0.0,0.2885875701904297,0.40083423256874084,0.4339447617530823
0.3974299574891726,1124_0.74_1.17.png,123,21,0.17073170731707318,0.3233027160167694,0.42161133885383606,0.5574418306350708
0.3974299574891726,1134_0.69_1.2.png,1,0,0.0,0.3400501012802124,0.4315524399280548,0.6945447325706482
0.3974299574891726,1140_0.67_1.42.png,186,0,0.0,0.37962067127227783,0.4617469906806946,0.7617408037185669
0.3974299574891726,1143_0.73_1.33.png,45,0,0.0,0.3702887296676636,0.4465438425540924,0.6186282634735107
0.3974299574891726,1145_0.9_1.2.png,206,0,0.0,0.3370111584663391,0.45975250005722046,0.757874608039856
