variant,epoch,steps,loss_mean,smooth_l1_mean,ordinal_bce_sum_mean,hard_negative_loss_mean,positive_response_loss_mean,pairwise_loss_mean,topk_loss_mean,elapsed_sec
d7a_hn_ordinal,1,300,0.5463947052756946,0.02613586572309335,1.8423579756418864,0.0001613858255642834,0.043945532763997715,0.07592682130013903,0.0,20.110891819000244
d7a_hn_ordinal,2,300,0.5512149270375569,0.0265949911562105,1.859942215681076,0.0001504271671446584,0.04359561776742339,0.07744695292785764,0.0,19.07388973236084
d7a_hn_ordinal,3,300,0.5452315578858058,0.02610913721844554,1.8406224862734477,0.00011700221899767864,0.04339970444639524,0.0752244349072377,0.0,19.123916149139404
d7a_hn_ordinal,4,300,0.5451446093122164,0.026142938857277233,1.8412781564394634,0.00018011013271973297,0.04297307897980014,0.07558293085855743,0.0,19.06089735031128
d7a_hn_ordinal,5,300,0.5464936367670695,0.02630904346704483,1.8469232217470806,0.00013154661874276977,0.04303457614655296,0.07428101162736614,0.0,19.096640825271606
d7a_hn_ordinal,6,300,0.5435994051893552,0.026058739138146242,1.8378373539447785,0.0001802032704517842,0.042567251908282436,0.07450098192319274,0.0,19.20213007926941
d7a_hn_ordinal,7,300,0.5441002278526624,0.026058567098031442,1.8368738261858621,0.00015441698198249772,0.04340303564444184,0.0741423392125095,0.0,19.0993492603302
d7a_hn_ordinal,8,300,0.547232539653778,0.026327508824567,1.8487022793293,0.0001749822391693101,0.04279051548490922,0.07664796207721035,0.0,19.18971037864685
d7b_topk_hn_ordinal,1,300,0.5519539109865824,0.026363513680795828,1.8539187860488893,7.495992010905302e-05,0.04490573971842726,0.0788138939626515,0.001011086457941417,19.616632223129272
d7b_topk_hn_ordinal,2,300,0.5483460356791814,0.026048478788385787,1.840936118364334,7.732637212107819e-05,0.04487256649881601,0.07806003142148256,0.0011305708999983228,19.551177740097046
d7b_topk_hn_ordinal,3,300,0.548385140299797,0.02612928219139576,1.846356451511383,6.680173737578935e-05,0.04396077413111925,0.07622040312426785,0.0010184611134316413,19.50509262084961
d7b_topk_hn_ordinal,4,300,0.5455491757392883,0.02571810350442926,1.829984841744105,6.40254772050497e-05,0.0458028415342172,0.07555225232616067,0.0009771424618952552,19.451414823532104
d7b_topk_hn_ordinal,5,300,0.5459507646163305,0.026044009756296872,1.8369677186012268,7.411940682397736e-05,0.044425240717828274,0.07311082703992725,0.0011568050062677078,19.500760555267334
d7b_topk_hn_ordinal,6,300,0.5454253582159678,0.02581000345448653,1.8326880117257436,6.5746190153817e-05,0.04504322290420532,0.07484061452870568,0.0009740900882074281,19.598114490509033
d7b_topk_hn_ordinal,7,300,0.5465172688166301,0.026097702868282793,1.8416777221361795,7.87470309656868e-05,0.04380078836033741,0.07284178838133812,0.0011624932278645399,19.58648133277893
d7b_topk_hn_ordinal,8,300,0.5441608132918676,0.025711149952063958,1.8308244061470031,6.766925324302046e-05,0.04455129104976853,0.07355265841819346,0.001020700608522347,19.599146604537964
d7s_shuffled_topk,1,300,0.6356147877375284,0.030027323874334495,2.1095558615525563,2.8769124669342228e-12,0.0488297792027394,0.14644250983993212,5.753046844469978e-11,19.525970220565796
d7s_shuffled_topk,2,300,0.6054797027508417,0.02978999258329471,1.982051024834315,0.0,0.05081807910154263,0.14650878796974817,0.0,19.460670709609985
d7s_shuffled_topk,3,300,0.6039565523465474,0.029543590700874724,1.9753765614827474,0.0,0.05151662909736236,0.14498991822203,0.0,19.529966115951538
d7s_shuffled_topk,4,300,0.6045279971758525,0.02977469955260555,1.980499076048533,0.0,0.050990576557815075,0.14287587493658066,0.0,19.557030200958252
d7s_shuffled_topk,5,300,0.6034208897749583,0.029684254061430694,1.9775055118401845,1.0868739368234132e-09,0.05120608861247698,0.14041334040462972,2.1732104829976297e-08,19.61758303642273
d7s_shuffled_topk,6,300,0.6019654554128647,0.0296060796516637,1.9740182673931121,2.929186558233604e-08,0.050750029099484284,0.14014126675824323,5.857305380392628e-07,19.52582621574402
d7s_shuffled_topk,7,300,0.6043307050069173,0.030096262072523434,1.9898858324686686,2.2535070474902825e-07,0.048768674234549204,0.13950858724613985,4.506211904306768e-06,19.474170923233032
d7s_shuffled_topk,8,300,0.6007867439587911,0.02967035962889592,1.975343500773112,1.0872102897478442e-06,0.04976652065912882,0.1369230440010627,2.174001079205311e-05,19.541106700897217
