variant,fold_id,sample_count,unsafe_count,unsafe_AUROC,unsafe_AUPRC,fold_pass
proxy15_replay,0,120,6,0.9122807017543859,0.42104377104377105,False
proxy15_replay,1,120,6,0.9181286549707602,0.3823968586116923,False
proxy15_replay,2,120,7,0.8584070796460177,0.21068209182589062,False
proxy15_replay,3,120,6,0.7690058479532164,0.12889050901864088,False
proxy15_replay,4,120,5,0.8765217391304347,0.4886363636363636,False
proxy_plus_residual,0,120,6,0.9137426900584795,0.40253831417624514,False
proxy_plus_residual,1,120,6,0.8976608187134503,0.31403793574846206,False
proxy_plus_residual,2,120,7,0.8824273072060683,0.25359506085312533,False
proxy_plus_residual,3,120,6,0.8538011695906432,0.2356150793650794,False
proxy_plus_residual,4,120,5,0.8991304347826087,0.3806766917293233,False
proxy_plus_internal,0,120,6,0.9195906432748538,0.3997815050446629,False
proxy_plus_internal,1,120,6,0.9137426900584795,0.37900536282889224,False
proxy_plus_internal,2,120,7,0.8824273072060683,0.3554748267336188,False
proxy_plus_internal,3,120,6,0.8654970760233918,0.343349358974359,False
proxy_plus_internal,4,120,5,0.9147826086956522,0.3951282051282051,False
all_rich_target_only,0,120,6,0.9166666666666666,0.40511063011063014,False
all_rich_target_only,1,120,6,0.9049707602339181,0.3321599453178401,False
all_rich_target_only,2,120,7,0.8584070796460177,0.38702996610830714,False
all_rich_target_only,3,120,6,0.8801169590643275,0.2544329573934837,False
all_rich_target_only,4,120,5,0.9060869565217391,0.3709947299077733,False
