feature_group,alpha,feature,gain_auc,gain_direction,gain_positive_count,risk_auc,risk_direction,risk_positive_count,fold
pre_router,0.25,filename_param_1,0.5348693760732685,high,1747,0.43507330433381664,low,303,0
pre_router,0.25,filename_param_2,0.43135981682884944,low,1747,0.5466799700753062,high,303,0
pre_router,0.25,input_luma_mean,0.4357788208357184,low,1747,0.5142341687044489,high,303,0
pre_router,0.25,input_luma_std,0.5152824270177447,high,1747,0.498035593796209,low,303,0
pre_router,0.25,input_luma_min,0.48141270749856896,low,1747,0.48559435450553273,low,303,0
pre_router,0.25,input_luma_max,0.6017616485403549,high,1747,0.451938644806965,low,303,0
pre_router,0.25,input_luma_range,0.5726044647967945,high,1747,0.4768498357810648,low,303,0
pre_router,0.25,input_saturation_mean,0.6136297653119633,high,1747,0.459816208783759,low,303,0
pre_router,0.25,input_saturation_std,0.6334443045220378,high,1747,0.42186161583775583,low,303,0
pre_router,0.25,input_saturation_min,0.5,high,1747,0.5,high,303,0
pre_router,0.25,input_saturation_max,0.5043287922152261,high,1747,0.4951420226604584,low,303,0
pre_router,0.25,input_saturation_range,0.5043287922152261,high,1747,0.4951420226604584,low,303,0
pre_router,0.25,dark_channel_mean,0.4281378362907842,low,1747,0.5138210292754747,high,303,0
pre_router,0.25,dark_channel_std,0.5251919862621637,high,1747,0.491884761216576,low,303,0
pre_router,0.25,dark_channel_min,0.5,high,1747,0.5,high,303,0
pre_router,0.25,dark_channel_max,0.6070635374928449,high,1747,0.4535098507434117,low,303,0
pre_router,0.25,dark_channel_range,0.6070635374928449,high,1747,0.4535098507434117,low,303,0
pre_router,0.25,bright_channel_mean,0.45506399542072123,low,1747,0.5046793224513365,high,303,0
pre_router,0.25,bright_channel_std,0.5079354321694333,high,1747,0.5006835144606776,high,303,0
pre_router,0.25,bright_channel_min,0.47952833428734976,low,1747,0.48480954910377455,low,303,0
pre_router,0.25,bright_channel_max,0.5,high,1747,0.5,high,303,0
pre_router,0.25,bright_channel_range,0.5204716657126502,high,1747,0.5151904508962254,high,303,0
pre_router,0.25,depth_mean,0.5020913566113338,high,1747,0.5019085765512269,high,303,0
pre_router,0.25,depth_std,0.43667727532913564,low,1747,0.5185490032811885,high,303,0
pre_router,0.25,depth_min,0.5,high,1747,0.5,high,303,0
pre_router,0.25,depth_max,0.5,high,1747,0.5,high,303,0
pre_router,0.25,depth_range,0.5,high,1747,0.5,high,303,0
pre_router,0.25,input_luma_contrast,0.5152824270177447,high,1747,0.498035593796209,low,303,0
pre_router,0.25,input_highfreq_energy,0.6609648540354894,high,1747,0.3514699947520127,low,303,0
pre_router,0.25,input_edge_mean,0.5440389238694906,high,1747,0.3732196322580542,low,303,0
pre_router,0.25,depth_grad_mean,0.5428634230108758,high,1747,0.40045333677882045,low,303,0
pre_router,0.25,depth_near_ratio_gt_0_66,0.4487139095592444,low,1747,0.516075749672599,high,303,0
pre_router,0.25,depth_far_ratio_lt_0_33,0.5051635947338294,high,1747,0.48486537875633867,low,303,0
pre_router,0.25,depth_image_edge_mismatch,0.5385250143102461,high,1747,0.4735822059731348,low,303,0
pre_router,0.25,depth_luma_std_ratio,0.44171631368059533,low,1747,0.516087713169577,high,303,0
pre_router,0.25,filename_param_1,0.5278466061210563,high,1772,0.43993480210227415,low,304,1
pre_router,0.25,filename_param_2,0.433180219434091,low,1772,0.5522143622188458,high,304,1
pre_router,0.25,input_luma_mean,0.43354156823630285,low,1772,0.5123577104142277,high,304,1
pre_router,0.25,input_luma_std,0.5262568463786376,high,1772,0.4877014471816076,low,304,1
pre_router,0.25,input_luma_min,0.46678259576180725,low,1772,0.4942570428674621,low,304,1
pre_router,0.25,input_luma_max,0.594531646455632,high,1772,0.44280394550028646,low,304,1
pre_router,0.25,input_luma_range,0.5784223143822073,high,1772,0.4625804854659128,low,304,1
pre_router,0.25,input_saturation_mean,0.6008233153096401,high,1772,0.463783097118091,low,304,1
pre_router,0.25,input_saturation_std,0.6297320944231544,high,1772,0.41541709218621564,low,304,1
pre_router,0.25,input_saturation_min,0.5,high,1772,0.5,high,304,1
pre_router,0.25,input_saturation_max,0.5072549740143839,high,1772,0.49417764714673573,low,304,1
pre_router,0.25,input_saturation_range,0.5072549740143839,high,1772,0.49417764714673573,low,304,1
pre_router,0.25,dark_channel_mean,0.43073652160218384,low,1772,0.5109332577776671,high,304,1
pre_router,0.25,dark_channel_std,0.5350482090048472,high,1772,0.48199273918350066,low,304,1
