feature_group,alpha,feature,direction,threshold,coverage_target,label,count,coverage,mean_delta,median_delta,hard_bottom25_delta,easy_top25_delta,worst10pct_delta,mean_ssim_delta,positive_ratio,worst_regression_ratio,strong_regression_ratio,alpha_1p00_count,alpha_0p75_count,alpha_0p50_count,alpha_0p25_count,alpha_0p00_count,score,fold
pre_router,1.0,dark_channel_max,low,0.9372549057006836,0.1,fold_2,594,0.10437710437710437,0.012970542265509918,0.0,0.04970332554408482,0.0,-0.6129869364075742,-6.743944453872013e-05,0.05218855218855219,0.050505050505050504,0.0,62,0,0,0,532,-349.6643523243426,2
pre_router,1.0,dark_channel_max,low,0.9529411792755127,0.15,fold_3,578,0.18685121107266436,-0.006675763113688432,0.0,0.1002986060248481,-0.03159533909388951,-1.4141534838760108,-2.6513032847209787e-05,0.08304498269896193,0.09688581314878893,0.02142857142857143,108,0,0,0,470,-0.08077864258229231,3
pre_router,1.0,input_luma_max,low,0.9628667235374451,0.1,fold_4,617,0.10210696920583469,-0.020997657961358513,0.0,0.2064523306506419,-0.11767409752155172,-0.97207766673604,3.578288048940501e-05,0.04862236628849271,0.050243111831442464,0.034482758620689655,63,0,0,0,554,0.026412599640893014,4
post_expert,0.25,udp_a0_absdiff_min,low,0.0,0.05,fold_0,628,0.9713375796178344,0.3618348844491752,0.35154056549072266,0.21273925456594914,0.45175703977927184,-0.5961684565390309,0.00020387465027487203,0.7643312101910829,0.11624203821656051,0.12179487179487179,0,0,0,610,18,0.45531791954768985,0
post_expert,0.25,udp_a0_absdiff_min,low,0.0,0.05,fold_1,583,0.9708404802744426,0.3656294742538426,0.3850669860839844,0.2045950153530044,0.5086269378662109,-0.6778620358171135,0.00011364049813350724,0.7753001715265866,0.10634648370497427,0.11875,0,0,0,566,17,0.4861721491004266,1
post_expert,0.25,udp_a0_absdiff_min,low,0.0,0.05,fold_2,594,0.9612794612794613,0.39289152742636324,0.3810138702392578,0.29415014192655486,0.6139410646169777,-0.7875767400709249,-8.322795232137044e-05,0.797979797979798,0.08417508417508418,0.087248322147651,0,0,0,571,23,0.6831976931665389,2
post_expert,0.25,udp_a0_absdiff_min,low,0.0,0.05,fold_3,578,0.967128027681661,0.36775303216954003,0.3673286437988281,0.17741266886393228,0.5188998086111886,-0.6026991793983861,0.00024296967216016512,0.7750865051903114,0.10034602076124567,0.08571428571428572,0,0,0,559,19,0.5048429029670257,3
post_expert,0.25,udp_a0_absdiff_min,low,0.0,0.05,fold_4,617,0.9773095623987034,0.33534936580317914,0.35892486572265625,0.20053340398777297,0.48967077321019664,-0.6970903990698643,0.00021138434665129676,0.7617504051863857,0.11345218800648298,0.11724137931034483,0,0,0,603,14,0.43881572029141747,4
post_expert,0.5,udp_a0_absdiff_min,low,0.0,0.05,fold_0,628,0.9713375796178344,0.4262762920112367,0.4717826843261719,0.34139484378462986,0.3961005333142403,-1.531699949695218,0.00020554481418269454,0.6735668789808917,0.22611464968152867,0.2564102564102564,0,0,610,0,18,0.3545890196786962,0
post_expert,0.5,udp_a0_absdiff_min,low,0.0,0.05,fold_1,583,0.9708404802744426,0.4479094058735293,0.46256256103515625,0.3544072400803534,0.5083555459976197,-1.639228656374175,-2.050583808336209e-05,0.6998284734133791,0.21612349914236706,0.24375,0,0,566,0,17,0.4468173474840332,1
post_expert,0.5,udp_a0_luma_shift_mean,low,-0.002032887772656977,0.3,fold_2,594,0.33164983164983164,0.3137836584739814,0.0,0.4028644066352349,0.21843409698281513,-0.5201940698138738,0.00012214055366387673,0.26262626262626265,0.04882154882154882,0.026845637583892617,0,0,197,0,397,0.665429691045673,2
post_expert,0.5,udp_a0_absdiff_min,low,0.0,0.05,fold_3,578,0.967128027681661,0.4582803620599133,0.460174560546875,0.2773625267876519,0.6166352408272879,-1.5150684222840427,0.0002559901933769041,0.6955017301038062,0.20242214532871972,0.17142857142857143,0,0,559,0,19,0.5083149137228241,3
post_expert,0.5,udp_a0_absdiff_min,low,0.0,0.05,fold_4,617,0.9773095623987034,0.39080329845558304,0.4355316162109375,0.3333401261714467,0.5101276792328934,-1.7274865009745612,0.00021300062754552214,0.6823338735818476,0.22204213938411668,0.2,0,0,603,0,14,0.4027551171545448,4
post_expert,0.75,udp_a0_luma_shift_mean,low,-0.002074610535055399,0.3,fold_0,628,0.3057324840764331,0.19417444763669542,0.0,0.39369535784349374,-0.05192133096548227,-1.290346299448321,7.497248755898445e-05,0.21496815286624205,0.08121019108280254,0.07051282051282051,0,192,0,0,436,0.3617227296829207,0
post_expert,0.75,udp_a0_luma_shift_mean,low,-0.002096440736204386,0.3,fold_1,583,0.2933104631217839,0.23973445336160285,0.0,0.49493618139484585,-0.06570308208465576,-1.1648186650769463,9.52789959326821e-05,0.2006861063464837,0.0823327615780446,0.1,0,171,0,0,412,0.46882065159672576,1
post_expert,0.75,udp_a0_luma_shift_mean,low,-0.002032887772656977,0.3,fold_2,594,0.33164983164983164,0.2955825690067176,0.0,0.5472286273906757,0.06642143198307729,-1.1910941883669062,8.979309287536827e-05,0.22053872053872053,0.09259259259259259,0.10067114093959731,0,197,0,0,397,0.6029651543286026,2
post_expert,0.75,udp_a0_luma_shift_mean,low,-0.002095165150240064,0.3,fold_3,578,0.29411764705882354,0.2128864110134877,0.0,0.39071532355414496,0.06921029772077288,-1.1796595255533855,0.00010433463076819185,0.19377162629757785,0.0847750865051903,0.04285714285714286,0,170,0,0,408,0.43786966363687185,3
post_expert,0.75,udp_a0_luma_shift_mean,low,-0.0021142194513231517,0.3,fold_4,617,0.2787682333873582,0.14333175028549022,0.0,0.42800427040858574,-0.022560566869275323,-1.5338968058101465,9.858530962679723e-05,0.18962722852512157,0.07941653160453808,0.06896551724137931,0,172,0,0,445,0.35625554340205023,4
post_expert,1.0,udp_a0_luma_shift_mean,low,-0.0030748302116990088,0.2,fold_0,628,0.21178343949044587,0.05499828848869178,0.0,0.34378219496273826,-0.2089981910509941,-1.6329315554711126,3.628480206629273e-06,0.11942675159235669,0.0875796178343949,0.08974358974358974,133,0,0,0,495,0.09691912992841624,0
post_expert,1.0,udp_a0_luma_shift_mean,low,-0.003974185511469841,0.15,fold_1,583,0.13379073756432247,0.10419179154096705,0.0,0.46255840071095716,-0.12215883731842041,-1.1262039973818023,2.239171677551793e-05,0.08747855917667238,0.04631217838765009,0.03125,78,0,0,0,505,0.38834954371218156,1
post_expert,1.0,udp_a0_luma_shift_mean,low,-0.0038872602744959295,0.15,fold_2,594,0.15824915824915825,0.13585772337736907,0.0,0.5479190752103731,-0.11591321189931575,-1.3037805718890692,3.567829677954266e-05,0.1026936026936027,0.05387205387205387,0.040268456375838924,94,0,0,0,500,0.48149319231598864,2
post_expert,1.0,udp_a0_luma_shift_mean,low,-0.003948994749225676,0.15,fold_3,578,0.14186851211072665,0.08917160100177911,0.0,0.3250321140995732,-0.02215627942766462,-1.0671501494290536,3.004166906680203e-05,0.08650519031141868,0.05190311418685121,0.014285714285714285,82,0,0,0,496,0.2904537079828853,3
post_expert,1.0,udp_a0_luma_shift_mean,low,-0.0038878745632246136,0.15,fold_4,617,0.15721231766612642,-0.0047588039255992325,0.0,0.4062914151197288,-0.1856580536941002,-1.9418554462370325,2.750942734110877e-05,0.08752025931928688,0.06645056726094004,0.04827586206896552,97,0,0,0,520,0.1648218556155553,4
