feature_group,alpha,feature,direction,threshold,coverage_target,label,count,coverage,mean_delta,median_delta,hard_bottom25_delta,easy_top25_delta,worst10pct_delta,mean_ssim_delta,positive_ratio,worst_regression_ratio,strong_regression_ratio,alpha_1p00_count,alpha_0p75_count,alpha_0p50_count,alpha_0p25_count,alpha_0p00_count,score,fold
pre_router,0.25,input_saturation_min,high,0.0,0.05,fold_0,628,1.0,0.3761139493079702,0.3636054992675781,0.23964716863970384,0.4625384501921825,-0.5961684565390309,0.00021120326913845767,0.7898089171974523,0.11624203821656051,0.12179487179487179,0,0,0,628,0,0.4977341730946546,0
pre_router,0.25,input_saturation_min,high,0.0,0.05,fold_1,583,1.0,0.3718412278242422,0.3957252502441406,0.21421504180703388,0.5086269378662109,-0.7016756781216326,0.00011675241267497093,0.7958833619210978,0.11492281303602059,0.11875,0,0,0,583,0,0.48909730370681725,1
pre_router,0.25,input_saturation_min,high,0.0,0.05,fold_2,594,1.0,0.3992216707480074,0.39455413818359375,0.305347541709999,0.6139410646169777,-0.8114281023963023,-7.453500622450704e-05,0.8249158249158249,0.08922558922558922,0.087248322147651,0,0,0,594,0,0.6927086481445129,2
pre_router,0.25,input_saturation_min,high,0.0,0.05,fold_3,578,1.0,0.3765817002029155,0.37491416931152344,0.19784619366681133,0.5188998086111886,-0.6148248973645662,0.00025119604123917416,0.8027681660899654,0.10553633217993079,0.08571428571428572,0,0,0,578,0,0.5249598347184133,3
pre_router,0.25,input_saturation_min,high,0.0,0.05,fold_4,617,1.0,0.33897149814005995,0.36150360107421875,0.21114520022743627,0.48967077321019664,-0.7128268382588371,0.00021705809056855483,0.7779578606158833,0.11831442463533225,0.11724137931034483,0,0,0,617,0,0.4452948128419516,4
pre_router,0.5,input_saturation_min,high,0.0,0.05,fold_0,628,1.0,0.448041858187147,0.5080013275146484,0.385209063266186,0.4155990160428561,-1.531699949695218,0.00021577384441521518,0.695859872611465,0.22770700636942676,0.2564102564102564,0,0,628,0,0,0.4205871335846158,0
pre_router,0.5,input_saturation_max,high,1.0,0.05,fold_1,583,0.9965694682675815,0.45005721129847637,0.4721717834472656,0.37112155376664746,0.5083555459976197,-1.6779426048541892,-2.1383140753718226e-05,0.7118353344768439,0.2281303602058319,0.24375,0,0,581,0,2,0.44718088368438697,1
pre_router,0.5,input_saturation_max,high,1.0,0.05,fold_2,594,0.9915824915824916,0.5235598882039388,0.4896736145019531,0.522865493576248,0.7234463275679006,-1.7373996669963254,-0.0004140757751785946,0.7239057239057239,0.18181818181818182,0.16778523489932887,0,0,589,0,5,0.8502898891028378,2
pre_router,0.5,input_saturation_max,high,1.0,0.05,fold_3,578,0.9896193771626297,0.46727722326364485,0.48332691192626953,0.2842573942961516,0.631455830165318,-1.5227330860338713,0.0002633046526397388,0.7162629757785467,0.2041522491349481,0.15714285714285714,0,0,572,0,6,0.5378570772376243,3
pre_router,0.5,input_saturation_min,high,0.0,0.05,fold_4,617,1.0,0.3963125837873215,0.44844818115234375,0.3504134730288857,0.5101276792328934,-1.7488720065257588,0.00021954158523287534,0.6969205834683955,0.22852512155591573,0.2,0,0,617,0,0,0.41468505877120676,4
pre_router,0.75,input_luma_mean,high,0.617803293466568,0.3,fold_0,628,0.30095541401273884,0.04974755815639617,0.0,0.15910566614029256,-0.05946697332920172,-1.250052975070092,-2.7757731212931833e-05,0.18152866242038215,0.10509554140127389,0.038461538461538464,0,189,0,0,439,-0.006328926337833968,0
pre_router,0.75,input_luma_mean,high,0.617842948436737,0.3,fold_1,583,0.30017152658662094,0.09279421222353064,0.0,0.27338683365175387,0.002527189254760742,-1.2624152611041892,-0.0002598995614419875,0.19382504288164665,0.08061749571183534,0.00625,0,175,0,0,408,0.21666439352386618,1
pre_router,0.75,input_luma_mean,high,0.6185789704322815,0.3,fold_2,594,0.28619528619528617,0.1278997960716787,0.0,0.3463937957565506,0.01093289676128618,-1.0456211607334978,2.9281634674329147e-05,0.18013468013468015,0.08585858585858586,0.020134228187919462,0,170,0,0,424,0.3077569560601553,2
pre_router,0.75,input_luma_mean,high,0.6180992066860199,0.3,fold_3,578,0.2975778546712803,0.1415910126841192,0.0,0.13846284371835213,0.01973184858049665,-1.0443065040989925,4.831832997939166e-05,0.1903114186851211,0.09169550173010381,0.0,0,172,0,0,406,0.14570638321125243,3
pre_router,0.75,input_luma_mean,high,0.6169097781181335,0.3,fold_4,617,0.31118314424635335,0.10301238172830987,0.0,0.18388596473381533,-0.004461564688846982,-1.1477019200559522,2.739591768533716e-05,0.1880064829821718,0.11021069692058347,0.013793103448275862,0,192,0,0,425,0.10216666225391645,4
pre_router,1.0,dark_channel_max,low,0.9490196108818054,0.15,fold_0,628,0.12101910828025478,-0.0088633792415546,0.0,0.16903859672816932,-0.07573477427164714,-1.1023255932715632,-4.723592168965917e-05,0.06847133757961783,0.04936305732484077,0.019230769230769232,76,0,0,0,552,0.03132657274553567,0
pre_router,1.0,input_luma_max,low,0.9634502172470093,0.1,fold_1,583,0.11492281303602059,0.023226706895779173,0.0,0.16942830693801778,-0.01865203380584717,-0.728272635361244,-1.3387223664115265e-05,0.05660377358490566,0.04974271012006861,0.01875,67,0,0,0,516,0.08427643266657026,1
