split,name,feature_group,alpha,selected_alpha,selected_delta_psnr,selected_delta_ssim,a0_psnr,bucket
val_regular,1012_0.85_1.28.png,pre_router,0.25,0.25,0.7254486083984375,0.0051021575927734375,38.42698669433594,mid_by_a0_fulltrain
val_regular,1016_0.8_1.72.png,pre_router,0.25,0.25,-0.006198883056640625,0.0002181529998779297,39.64661407470703,mid_by_a0_fulltrain
val_regular,1023_0.5_1.87.png,pre_router,0.25,0.25,-1.160888671875,-0.00018703937530517578,37.447303771972656,mid_by_a0_fulltrain
val_regular,1031_0.76_0.7.png,pre_router,0.25,0.25,0.3166618347167969,0.00011843442916870117,42.88265609741211,easy_top25_by_a0_fulltrain
val_regular,1035_0.76_1.14.png,pre_router,0.25,0.25,0.5504150390625,0.0007700324058532715,33.76014709472656,hard_bottom25_by_a0_fulltrain
val_regular,1037_0.89_0.54.png,pre_router,0.25,0.25,-0.04761505126953125,-5.364418029785156e-06,35.92600631713867,hard_bottom25_by_a0_fulltrain
val_regular,1039_0.79_1.79.png,pre_router,0.25,0.25,-0.005611419677734375,6.711483001708984e-05,32.156375885009766,hard_bottom25_by_a0_fulltrain
val_regular,1063_0.51_1.61.png,pre_router,0.25,0.25,-0.7783432006835938,-0.00087738037109375,34.049652099609375,hard_bottom25_by_a0_fulltrain
val_regular,1076_0.71_1.18.png,pre_router,0.25,0.25,0.20792770385742188,-5.626678466796875e-05,35.264984130859375,hard_bottom25_by_a0_fulltrain
val_regular,1080_0.59_1.22.png,pre_router,0.25,0.25,-0.051715850830078125,3.910064697265625e-05,40.88210678100586,mid_by_a0_fulltrain
val_regular,1085_0.71_1.3.png,pre_router,0.25,0.25,0.4672698974609375,0.00025916099548339844,40.47211456298828,mid_by_a0_fulltrain
val_regular,1087_0.68_1.22.png,pre_router,0.25,0.25,0.3879241943359375,0.00016450881958007812,41.450706481933594,mid_by_a0_fulltrain
val_regular,1100_0.58_1.95.png,pre_router,0.25,0.25,0.35558128356933594,0.00012928247451782227,31.10500717163086,hard_bottom25_by_a0_fulltrain
val_regular,1102_0.65_0.94.png,pre_router,0.25,0.25,0.4756660461425781,0.0002472400665283203,29.688369750976562,hard_bottom25_by_a0_fulltrain
val_regular,1110_0.92_0.77.png,pre_router,0.25,0.25,-0.09182357788085938,2.2470951080322266e-05,39.895408630371094,mid_by_a0_fulltrain
val_regular,1122_0.94_0.53.png,pre_router,0.25,0.25,0.5882720947265625,0.00016826391220092773,40.95265197753906,mid_by_a0_fulltrain
val_regular,1128_0.8_1.45.png,pre_router,0.25,0.25,0.5443611145019531,0.0003307461738586426,37.508033752441406,mid_by_a0_fulltrain
val_regular,1133_0.68_1.41.png,pre_router,0.25,0.25,0.7826271057128906,0.0005453824996948242,32.886505126953125,hard_bottom25_by_a0_fulltrain
val_regular,1134_0.69_1.2.png,pre_router,0.25,0.25,0.6269607543945312,0.0004849433898925781,32.375640869140625,hard_bottom25_by_a0_fulltrain
val_regular,114_0.75_1.45.png,pre_router,0.25,0.25,-0.05316925048828125,-0.00015974044799804688,33.996910095214844,hard_bottom25_by_a0_fulltrain
val_regular,1157_0.56_1.98.png,pre_router,0.25,0.25,-0.4808807373046875,6.42538070678711e-05,39.68464279174805,mid_by_a0_fulltrain
