feature_set,feature_dim,low_size,K,method,fold,valid_count,coeff_mse,coeff_mae,coeff_r2,coeff_corr,pred_std,truth_std,pred_true_norm_ratio,lowspace_weighted_field_l1
current_global_stats,73,32,4,ridge_0.1,0,9,0.16933146119117737,0.2568362355232239,-1.2287498171088806,0.04517044499516487,0.26254570484161377,0.287875235080719,1.0200855570157232,0.012987524093370678
current_global_stats,73,32,4,ridge_0.1,1,9,1.1978065967559814,0.5791581273078918,-16.751181834061597,0.4894862473011017,1.1479735374450684,0.2881823182106018,2.9197857514617174,0.013500443247896452
current_global_stats,73,32,4,ridge_0.1,2,8,0.681740403175354,0.5061370134353638,-7.383012675894655,-0.26482388377189636,0.6973889470100403,0.2920774221420288,1.825493003427518,0.0176052863192909
current_global_stats,73,32,4,ridge_0.1,mean,26,0.6829594870408376,0.44737712542215985,-8.454314775688378,0.0899442695081234,0.7026360630989075,0.2893783251444499,1.9217881039683196,0.01469775122018601
current_global_stats,73,32,4,pls_2,0,9,0.10732238739728928,0.23263971507549286,-0.4125830462972442,0.030672987923026085,0.1436333954334259,0.287875235080719,0.6485364553818116,0.011628138194687263
current_global_stats,73,32,4,pls_2,1,9,0.13657082617282867,0.27739620208740234,-1.0239440784410543,0.4067972004413605,0.37588486075401306,0.2881823182106018,1.179734922714683,0.010765557529008702
current_global_stats,73,32,4,pls_2,2,8,0.2268979400396347,0.37395450472831726,-1.7900477933055656,-0.040408942848443985,0.36297428607940674,0.2920774221420288,1.0341604947373626,0.013089272104440098
current_global_stats,73,32,4,pls_2,mean,26,0.15693038453658423,0.2946634739637375,-1.075524972681288,0.1323537485053142,0.29416418075561523,0.2893783251444499,0.9541439576112857,0.01182765594271202
current_global_stats,73,32,4,kernel_knn_3,0,9,0.08704867213964462,0.18865041434764862,-0.14573931356893244,0.3730124533176422,0.18687914311885834,0.287875235080719,0.8205401630557645,0.01053585424087393
current_global_stats,73,32,4,kernel_knn_3,1,9,0.034741904586553574,0.153856098651886,0.4851340214290304,0.7730937600135803,0.18806563317775726,0.2881823182106018,0.6490853087501802,0.007838550039682323
current_global_stats,73,32,4,kernel_knn_3,2,8,0.09739076346158981,0.24003684520721436,-0.1975643526639681,0.24911557137966156,0.2019357979297638,0.2920774221420288,0.6873474716049788,0.01037192634899901
current_global_stats,73,32,4,kernel_knn_3,mean,26,0.07306044672926267,0.19418111940224966,0.047276785065376616,0.46507392823696136,0.19229352474212646,0.2893783251444499,0.7189909811369745,0.009582110209851754
convir_spatial_features,1440,32,4,ridge_0.1,0,9,0.17211030423641205,0.3031085431575775,-1.2653250990161733,0.14781421422958374,0.3399304151535034,0.287875235080719,1.163429820553285,0.013201834287456
convir_spatial_features,1440,32,4,ridge_0.1,1,9,0.06290380656719208,0.1867666244506836,0.06778196792954949,0.7450105547904968,0.34896400570869446,0.2881823182106018,1.3016602845344383,0.008181947485349594
convir_spatial_features,1440,32,4,ridge_0.1,2,8,0.05405867472290993,0.1631079912185669,0.335268155835475,0.6395334601402283,0.23774194717407227,0.2920774221420288,0.7459865898901011,0.008144115265599732
convir_spatial_features,1440,32,4,ridge_0.1,mean,26,0.09635759517550468,0.217661052942276,-0.28742499175038294,0.5107860763867696,0.3088787893454234,0.2893783251444499,1.0703588983259413,0.009842632346135109
convir_spatial_features,1440,32,4,pls_2,0,9,0.07432553172111511,0.18359115719795227,0.021723346242602526,0.387729674577713,0.130284383893013,0.287875235080719,0.5753285703893972,0.010262244184267248
convir_spatial_features,1440,32,4,pls_2,1,9,0.06575310230255127,0.20423661172389984,0.025556147138147467,0.5309000015258789,0.23109905421733856,0.2881823182106018,0.7520618789893612,0.00859642535123186
convir_spatial_features,1440,32,4,pls_2,2,8,0.07516232877969742,0.20449498295783997,0.075767327306407,0.37305140495300293,0.13416333496570587,0.2920774221420288,0.4841416990622794,0.010103216597959794
convir_spatial_features,1440,32,4,pls_2,mean,26,0.07174698760112126,0.19744091729323068,0.041015606895719,0.4305603603521983,0.16518225769201914,0.2893783251444499,0.6038440494803459,0.0096539620444863
convir_spatial_features,1440,32,4,kernel_knn_3,0,9,0.10553620010614395,0.23371917009353638,-0.3890731529173732,0.2562909722328186,0.21601814031600952,0.287875235080719,0.8929270304328073,0.011099154779755835
convir_spatial_features,1440,32,4,kernel_knn_3,1,9,0.04481009021401405,0.16599564254283905,0.33592613236232327,0.6812437772750854,0.17912793159484863,0.2881823182106018,0.6159681941927037,0.007992754005235948
convir_spatial_features,1440,32,4,kernel_knn_3,2,8,0.09038969874382019,0.22760125994682312,-0.11147584448628045,0.2610712945461273,0.18056032061576843,0.2920774221420288,0.6570233273694863,0.010031369976972078
convir_spatial_features,1440,32,4,kernel_knn_3,mean,26,0.08024532968799274,0.20910535752773285,-0.05487428834711013,0.39953534801801044,0.19190213084220886,0.2893783251444499,0.721972850664999,0.009707759587321287
current_spatial_priors,240,32,4,ridge_0.1,0,9,0.13298335671424866,0.25985705852508545,-0.7503341072618659,0.3440442681312561,0.32104551792144775,0.287875235080719,1.1786844465429818,0.01180506529841101
current_spatial_priors,240,32,4,ridge_0.1,1,9,0.05986364558339119,0.15684349834918976,0.11283636199819669,0.7011426687240601,0.32840004563331604,0.2881823182106018,1.1195349689687581,0.008610449766241516
current_spatial_priors,240,32,4,ridge_0.1,2,8,0.08305458724498749,0.20904429256916046,-0.021279734079136192,0.483075350522995,0.2629709839820862,0.2920774221420288,0.8445293764214956,0.00902521698822996
current_spatial_priors,240,32,4,ridge_0.1,mean,26,0.0919671965142091,0.20858161648114523,-0.21959249311426846,0.509420762459437,0.30413884917895,0.2893783251444499,1.0475829306444118,0.009813577350960829
current_spatial_priors,240,32,4,pls_2,0,9,0.09139419347047806,0.21263505518436432,-0.2029352994962208,0.24020527303218842,0.15140268206596375,0.287875235080719,0.6628666130320036,0.011061660757645891
current_spatial_priors,240,32,4,pls_2,1,9,0.061884649097919464,0.19294938445091248,0.0828856162176761,0.5885775685310364,0.2568247616291046,0.2881823182106018,0.8528778998113054,0.008362117329196644
current_spatial_priors,240,32,4,pls_2,2,8,0.07402274012565613,0.2132919281721115,0.08978026549759799,0.3992779850959778,0.14761869609355927,0.2920774221420288,0.5246604617172501,0.010005987355492713
current_spatial_priors,240,32,4,pls_2,mean,26,0.07576719423135121,0.20629212260246277,-0.01008980592698224,0.4093536088864009,0.1852820465962092,0.2893783251444499,0.6801349915201863,0.00980992181411175
current_spatial_priors,240,32,4,kernel_knn_3,0,9,0.10869265347719193,0.23476992547512054,-0.43061856228163387,0.20053941011428833,0.21854841709136963,0.287875235080719,0.847536282891341,0.011300629475560901
current_spatial_priors,240,32,4,kernel_knn_3,1,9,0.041425857692956924,0.16016952693462372,0.3860795770108404,0.7257945537567139,0.1744423508644104,0.2881823182106018,0.6048410026733503,0.008323348726595422
current_spatial_priors,240,32,4,kernel_knn_3,2,8,0.0656818300485611,0.1818336397409439,0.19234416603673055,0.5136468410491943,0.18880631029605865,0.2920774221420288,0.6362523112814605,0.00976447976915065
current_spatial_priors,240,32,4,kernel_knn_3,mean,26,0.07193344707290332,0.19225769738356271,0.04926839358864569,0.4799936016400655,0.19393235941727957,0.2893783251444499,0.6962098656153839,0.009796152657102325
depth_features,98,32,4,ridge_0.1,0,9,0.9288833141326904,0.5111939907073975,-11.226012236151366,0.031042493879795074,0.9286209940910339,0.287875235080719,2.3353617660933392,0.02448163361411083
depth_features,98,32,4,ridge_0.1,1,9,0.12868337333202362,0.19996778666973114,-0.9070540813714862,0.4326264560222626,0.3654678463935852,0.2881823182106018,1.2160222805965,0.011362131240846767
depth_features,98,32,4,ridge_0.1,2,8,0.2097574919462204,0.25158634781837463,-1.579280479283475,0.0053938692435622215,0.34504035115242004,0.2920774221420288,1.0585961870821476,0.010896769546218816
depth_features,98,32,4,ridge_0.1,mean,26,0.42244139313697815,0.3209160417318344,-4.570782265602109,0.15635427304853997,0.5463763972123464,0.2893783251444499,1.5366600779239956,0.015580178133725472
depth_features,98,32,4,pls_2,0,9,0.10436878353357315,0.20776110887527466,-0.3737075530796119,0.14673370122909546,0.1902080923318863,0.287875235080719,0.7331966622222784,0.01147868490218353
depth_features,98,32,4,pls_2,1,9,0.056346993893384933,0.19245953857898712,0.164952224246264,0.5703348517417908,0.18203029036521912,0.2881823182106018,0.6293748998497799,0.008725263657045998
depth_features,98,32,4,pls_2,2,8,0.06162997707724571,0.18180623650550842,0.242167727411692,0.5386388897895813,0.13608118891716003,0.2920774221420288,0.4636002561915745,0.009075009802897502
depth_features,98,32,4,pls_2,mean,26,0.07411525150140126,0.1940089613199234,0.011137466192781368,0.4185691475868225,0.16943985720475516,0.2893783251444499,0.608723939421211,0.009759652787375677
depth_features,98,32,4,kernel_knn_3,0,9,0.1421300768852234,0.2385246455669403,-0.87072373104944,-0.03382108733057976,0.23338232934474945,0.287875235080719,0.8551792768380581,0.012889540592708202
depth_features,98,32,4,kernel_knn_3,1,9,0.051327552646398544,0.16471293568611145,0.23933903637599885,0.6188028454780579,0.1753041297197342,0.2881823182106018,0.642875942257664,0.008876205686390172
depth_features,98,32,4,kernel_knn_3,2,8,0.07868732511997223,0.19735954701900482,0.03242225216435868,0.3666803240776062,0.17243902385234833,0.2920774221420288,0.5895640970951099,0.0096058769498469
depth_features,98,32,4,kernel_knn_3,mean,26,0.09071498488386472,0.2001990427573522,-0.19965414750302748,0.3172206940750281,0.19370849430561066,0.2893783251444499,0.695873105396944,0.010457207742981757
physics_proxy_features,218,32,4,ridge_0.1,0,9,0.22328554093837738,0.28448617458343506,-1.9388963222115918,-0.10323864221572876,0.3264866769313812,0.287875235080719,1.157595744189663,0.015037296802034281
physics_proxy_features,218,32,4,ridge_0.1,1,9,0.13036562502384186,0.23529598116874695,-0.9319846133563645,0.6444222927093506,0.44563907384872437,0.2881823182106018,1.514572887586108,0.011774501859088687
physics_proxy_features,218,32,4,ridge_0.1,2,8,0.05951762944459915,0.17288856208324432,0.2681421846946902,0.5641112923622131,0.17523010075092316,0.2920774221420288,0.7103248683518959,0.009143472535788096
physics_proxy_features,218,32,4,ridge_0.1,mean,26,0.1377229318022728,0.23089023927847543,-0.867579583624422,0.36843164761861164,0.31578528384367627,0.2893783251444499,1.127497833375889,0.011985090398970355
physics_proxy_features,218,32,4,pls_2,0,9,0.10205421596765518,0.2212422490119934,-0.3432430900498993,0.128116637468338,0.16667765378952026,0.287875235080719,0.68008832731722,0.011451818836561321
physics_proxy_features,218,32,4,pls_2,1,9,0.08001458644866943,0.21009570360183716,-0.18579533396653036,0.45386043190956116,0.248613640666008,0.2881823182106018,0.7643709488046873,0.00970649394030721
physics_proxy_features,218,32,4,pls_2,2,8,0.08078286051750183,0.21980905532836914,0.006654526328461419,0.29514703154563904,0.12453507632017136,0.2920774221420288,0.43809628988442756,0.009991776849855978
physics_proxy_features,218,32,4,pls_2,mean,26,0.08761722097794215,0.2170490026473999,-0.17412796589598942,0.29237470030784607,0.17994212359189987,0.2893783251444499,0.6275185220021116,0.01038336320890817
physics_proxy_features,218,32,4,kernel_knn_3,0,9,0.11680875718593597,0.2567056119441986,-0.5374431566556088,0.20707975327968597,0.24282996356487274,0.287875235080719,0.9487890602710453,0.011881675351905829
physics_proxy_features,218,32,4,kernel_knn_3,1,9,0.051416076719760895,0.17185859382152557,0.23802713266199138,0.6173439025878906,0.17371819913387299,0.2881823182106018,0.6122257469462374,0.008413465443611223
physics_proxy_features,218,32,4,kernel_knn_3,2,8,0.08700302243232727,0.23035214841365814,-0.06983161991610354,0.31857457756996155,0.19341716170310974,0.2920774221420288,0.6935410434942136,0.010365312918024535
physics_proxy_features,218,32,4,kernel_knn_3,mean,26,0.08507595211267471,0.21963878472646078,-0.12308254796990699,0.38099941114584607,0.2033217748006185,0.2893783251444499,0.7515186169038321,0.010220151237847195
frequency_amplitude_features,86,32,4,ridge_0.1,0,9,0.08514540642499924,0.2000659853219986,-0.12068842766984744,0.471436083316803,0.2240905612707138,0.287875235080719,0.9461216650208927,0.010346130077388998
frequency_amplitude_features,86,32,4,ridge_0.1,1,9,0.22056564688682556,0.346116840839386,-2.268725447696873,0.40430325269699097,0.46478602290153503,0.2881823182106018,1.6229381738603592,0.011554258996411194
frequency_amplitude_features,86,32,4,ridge_0.1,2,8,0.1597229689359665,0.28364473581314087,-0.9640315682996634,0.27993544936180115,0.3507933020591736,0.2920774221420288,1.1261317732063378,0.011242043925833492
frequency_amplitude_features,86,32,4,ridge_0.1,mean,26,0.1551446740825971,0.2766091873248418,-1.1178151478887945,0.3852249284585317,0.3465566287438075,0.2893783251444499,1.2317305373625298,0.01104747766654456
frequency_amplitude_features,86,32,4,pls_2,0,9,0.07395535707473755,0.16679221391677856,0.026595604886144653,0.3873714208602905,0.11828966438770294,0.287875235080719,0.5429853004143691,0.010213452712520261
frequency_amplitude_features,86,32,4,pls_2,1,9,0.07995832711458206,0.21975696086883545,-0.1849615852862736,0.4451858103275299,0.24352996051311493,0.2881823182106018,0.7989160099560417,0.010335193347984816
frequency_amplitude_features,86,32,4,pls_2,2,8,0.09617231786251068,0.23725324869155884,-0.18258175099565954,0.11089092493057251,0.13708001375198364,0.2920774221420288,0.4868689682039071,0.010774635522255174
frequency_amplitude_features,86,32,4,pls_2,mean,26,0.08336200068394344,0.20793414115905762,-0.11364924379859616,0.314482718706131,0.16629987955093384,0.2893783251444499,0.609590092858106,0.010441093860920084
frequency_amplitude_features,86,32,4,kernel_knn_3,0,9,0.08350709825754166,0.19682539999485016,-0.09912492728484446,0.43364548683166504,0.2227538377046585,0.287875235080719,0.9079849911511517,0.010386238506867828
frequency_amplitude_features,86,32,4,kernel_knn_3,1,9,0.047074414789676666,0.166158065199852,0.30236943182086695,0.6622698307037354,0.19950661063194275,0.2881823182106018,0.6772072791399617,0.008743211869349825
frequency_amplitude_features,86,32,4,kernel_knn_3,2,8,0.07863391935825348,0.188092440366745,0.03307895547161288,0.3830663561820984,0.18831175565719604,0.2920774221420288,0.6871433334819997,0.0096112542945783
frequency_amplitude_features,86,32,4,kernel_knn_3,mean,26,0.0697384774684906,0.1836919685204824,0.07877448666921179,0.49299389123916626,0.20352406799793243,0.2893783251444499,0.7574452012577044,0.009580234890265318
depth_physics_frequency,402,32,4,ridge_0.1,0,9,0.3511139154434204,0.36010563373565674,-3.621380275844918,-0.32217758893966675,0.4271453022956848,0.287875235080719,1.3582644496704603,0.018247468685482524
depth_physics_frequency,402,32,4,ridge_0.1,1,9,0.21097351610660553,0.3031245768070221,-2.126572567493231,0.5622563362121582,0.5309030413627625,0.2881823182106018,1.7817494694945073,0.013796253370618133
depth_physics_frequency,402,32,4,ridge_0.1,2,8,0.11054669320583344,0.22548113763332367,-0.35933608468321077,0.1741209626197815,0.21612046658992767,0.2920774221420288,0.7473727772483435,0.009734725834695531
depth_physics_frequency,402,32,4,ridge_0.1,mean,26,0.22421137491861978,0.2962371160586675,-2.0357629760071196,0.13806656996409097,0.391389603416125,0.2893783251444499,1.2957955654711037,0.013926149296932063
depth_physics_frequency,402,32,4,pls_2,0,9,0.10281762480735779,0.21681803464889526,-0.35329111833653615,0.09733560681343079,0.16195666790008545,0.287875235080719,0.6585540790293839,0.011397089468994887
depth_physics_frequency,402,32,4,pls_2,1,9,0.0720832422375679,0.20987844467163086,-0.06825487821925158,0.5155267715454102,0.2529350221157074,0.2881823182106018,0.8578996802380521,0.009245810931694598
depth_physics_frequency,402,32,4,pls_2,2,8,0.07746463268995285,0.20617081224918365,0.04745707493829432,0.3558008372783661,0.14683285355567932,0.2920774221420288,0.5053700411805808,0.009803637247537791
depth_physics_frequency,402,32,4,pls_2,mean,26,0.08412183324495952,0.21095576385656992,-0.12469630720583114,0.32288773854573566,0.18724151452382407,0.2893783251444499,0.6739412668160056,0.010148845882742426
depth_physics_frequency,402,32,4,kernel_knn_3,0,9,0.10870421677827835,0.2381635308265686,-0.4307707590736549,0.25788068771362305,0.24273329973220825,0.287875235080719,0.9368232961447944,0.011373871293678227
depth_physics_frequency,402,32,4,kernel_knn_3,1,9,0.04218260198831558,0.15782199800014496,0.37486482362312223,0.7053044438362122,0.18752402067184448,0.2881823182106018,0.6538025690883255,0.0082211779804382
depth_physics_frequency,402,32,4,kernel_knn_3,2,8,0.06896374374628067,0.20061475038528442,0.15198815368799645,0.4633718729019165,0.17911331355571747,0.2920774221420288,0.655888558080962,0.009730637149713898
depth_physics_frequency,402,32,4,kernel_knn_3,mean,26,0.07328352083762486,0.19886675973733267,0.03202740607915459,0.47551900148391724,0.20312354465325674,0.2893783251444499,0.7488381411046939,0.009775228807943442
global_plus_convir_plus_priors,2155,32,4,ridge_0.1,0,9,0.14640113711357117,0.2714359760284424,-0.9269396559332626,0.05149143561720848,0.2531077563762665,0.287875235080719,0.9876146615157644,0.01275952778170472
global_plus_convir_plus_priors,2155,32,4,ridge_0.1,1,9,0.04532171040773392,0.15700273215770721,0.32834405432627345,0.7999390959739685,0.33893272280693054,0.2881823182106018,1.2399906857652871,0.007636919297562298
global_plus_convir_plus_priors,2155,32,4,ridge_0.1,2,8,0.05849695950746536,0.1724230796098709,0.2806928403123482,0.5886114239692688,0.22001126408576965,0.2920774221420288,0.7222739014795134,0.008284583279955167
global_plus_convir_plus_priors,2155,32,4,ridge_0.1,mean,26,0.08340660234292348,0.2002872625986735,-0.10596758709821363,0.48001398518681526,0.2706839144229889,0.2893783251444499,0.9832930829201884,0.009560343453074062
global_plus_convir_plus_priors,2155,32,4,pls_2,0,9,0.08237548917531967,0.19648629426956177,-0.08423062756464339,0.29721033573150635,0.13527055084705353,0.287875235080719,0.6034731021583524,0.01056629597087781
global_plus_convir_plus_priors,2155,32,4,pls_2,1,9,0.06827038526535034,0.20557311177253723,-0.011749330825867155,0.5340969562530518,0.2483140230178833,0.2881823182106018,0.8180139962971372,0.008637433400249675
global_plus_convir_plus_priors,2155,32,4,pls_2,2,8,0.0776861310005188,0.2123902142047882,0.0447334236239304,0.3513696789741516,0.14494019746780396,0.2920774221420288,0.5197885033980376,0.01006602550971649
global_plus_convir_plus_priors,2155,32,4,pls_2,mean,26,0.07611066848039627,0.20481654008229574,-0.017082178255526714,0.3942256569862366,0.17617492377758026,0.2893783251444499,0.6470918672845091,0.009756584960281325
global_plus_convir_plus_priors,2155,32,4,kernel_knn_3,0,9,0.11017624288797379,0.2399330735206604,-0.4501456460538078,0.22535067796707153,0.22089050710201263,0.287875235080719,0.904556579705625,0.011485082322746639
global_plus_convir_plus_priors,2155,32,4,kernel_knn_3,1,9,0.05073358118534088,0.17461171746253967,0.2481415387482795,0.6263792514801025,0.1679779291152954,0.2881823182106018,0.5779326204117459,0.008318033394661358
global_plus_convir_plus_priors,2155,32,4,kernel_knn_3,2,8,0.09890977293252945,0.2378506064414978,-0.2162428343710523,0.27332428097724915,0.21974095702171326,0.2920774221420288,0.7549013123396211,0.010450878425750366
global_plus_convir_plus_priors,2155,32,4,kernel_knn_3,mean,26,0.08660653233528137,0.2174651324748993,-0.13941564722552688,0.3750180701414744,0.20286979774634042,0.2893783251444499,0.7457968374856639,0.010084664714386122
