stratum,source_groups,nested_variants,global_competence_count,high_overshoot_fraction_mean,low_overshoot_fraction_mean,paired_difference_mean,paired_difference_median,positive_count,negative_count,tie_count,positive_rate,negative_rate,tie_rate
all,492,500,492,0.17867526097423644,0.20251613447724925,-0.023840873503012807,0.0,191,227,74,0.3882113821138211,0.4613821138211382,0.15040650406504066
variant_count_1,484,484,484,0.18042218523221099,0.2020164494459559,-0.021594264213744933,0.0,190,222,72,0.3925619834710744,0.45867768595041325,0.1487603305785124
variant_count_2,8,16,8,0.07298634336677814,0.23274707887049662,-0.15976073550371844,-0.04347826086956521,1,5,2,0.125,0.625,0.25
