context_size,alpha,alpha_label,gate_pass,mean,hard,easy,mid,p05,CVaR5,negative_count,severe_count,severe_rate,strong_reference_count,strong_reference_regression_count,strong_reference_regression_rate,sample_count,severe_threshold_dB,strong_reference_regression_threshold_dB
256,0.375,a0p375,False,-3.092439115047455,-6.2723822593688965,0.329833984375,-2.6987804412841796,-8.828614234924316,-9.6356201171875,25,24,0.75,10,5,0.5,32,-0.3,-0.05
256,0.5,a0p5,False,-1.7066933512687683,-4.460478623708089,0.8974601745605468,-1.0063045501708985,-6.708418464660644,-7.453708648681641,23,20,0.625,10,4,0.4,32,-0.3,-0.05
384,0.375,a0p375,False,2.1359342336654663,1.7454312642415364,2.026716613769531,2.713755416870117,-0.28369388580322263,-0.6271476745605469,5,2,0.0625,10,1,0.1,32,-0.3,-0.05
384,0.5,a0p5,True,3.521679997444153,3.5573348999023438,2.594342803955078,4.406231307983399,0.5166532516479492,0.40381622314453125,0,0,0.0,10,0,0.0,32,-0.3,-0.05
512,0.375,a0p375,False,,,,,,,0,0,,0,0,,0,-0.3,-0.05
512,0.5,a0p5,False,,,,,,,0,0,,0,0,,0,-0.3,-0.05
768,0.375,a0p375,False,,,,,,,0,0,,0,0,,0,-0.3,-0.05
768,0.5,a0p5,False,,,,,,,0,0,,0,0,,0,-0.3,-0.05
full_image_slice,0.375,a0p375,True,3.9105847477912903,4.323835849761963,2.73858757019043,4.586680603027344,1.929136085510254,1.2017364501953125,0,0,0.0,10,0,0.0,32,-0.3,-0.05
full_image_slice,0.5,a0p5,True,5.296330511569977,6.1357394854227705,3.3062137603759765,6.279156494140625,2.0773008346557615,1.0368194580078125,0,0,0.0,10,0,0.0,32,-0.3,-0.05
