image_name,table_split,blend_alpha,table_A0_PSNR,recompute_A0_PSNR,table_alpha_dPSNR,recompute_alpha_dPSNR,table_vs_recompute_abs_diff
1012_0.85_1.28.png,val_regular,0.375,38.416282653808594,38.416282653808594,3.1771697998046875,3.1771697998046875,0.0
1012_0.85_1.28.png,val_regular,0.5,38.416282653808594,38.416282653808594,4.124427795410156,4.124427795410156,0.0
1016_0.8_1.72.png,val_regular,0.375,39.61763381958008,39.61763381958008,1.8426170349121094,1.8426170349121094,0.0
1016_0.8_1.72.png,val_regular,0.5,39.61763381958008,39.61763381958008,1.9933280944824219,1.9933280944824219,0.0
1023_0.5_1.87.png,val_regular,0.375,37.465614318847656,37.465614318847656,0.3171730041503906,0.3171730041503906,0.0
1023_0.5_1.87.png,val_regular,0.5,37.465614318847656,37.465614318847656,0.08636093139648438,0.08636093139648438,0.0
1031_0.76_0.7.png,val_regular,0.375,42.84375762939453,42.84375762939453,1.8991661071777344,1.8991661071777344,0.0
1031_0.76_0.7.png,val_regular,0.5,42.84375762939453,42.84375762939453,2.1961288452148438,2.1961288452148438,0.0
1035_0.76_1.14.png,val_regular,0.375,33.747764587402344,33.747764587402344,3.815418243408203,3.815418243408203,0.0
1035_0.76_1.14.png,val_regular,0.5,33.747764587402344,33.747764587402344,5.3785858154296875,5.3785858154296875,0.0
1037_0.89_0.54.png,val_regular,0.375,35.944435119628906,35.944435119628906,3.015583038330078,3.015583038330078,0.0
1037_0.89_0.54.png,val_regular,0.5,35.944435119628906,35.944435119628906,4.103649139404297,4.103649139404297,0.0
1039_0.79_1.79.png,val_regular,0.375,32.14398956298828,32.14398956298828,3.4116058349609375,3.4116058349609375,0.0
1039_0.79_1.79.png,val_regular,0.5,32.14398956298828,32.14398956298828,4.772541046142578,4.772541046142578,0.0
1063_0.51_1.61.png,val_regular,0.375,34.06106948852539,34.06106948852539,2.943653106689453,2.943653106689453,0.0
1063_0.51_1.61.png,val_regular,0.5,34.06106948852539,34.06106948852539,4.02166748046875,4.02166748046875,0.0
1076_0.71_1.18.png,val_regular,0.375,35.23798370361328,35.23798370361328,2.5964317321777344,2.5964317321777344,0.0
1076_0.71_1.18.png,val_regular,0.5,35.23798370361328,35.23798370361328,3.462749481201172,3.462749481201172,0.0
1080_0.59_1.22.png,val_regular,0.375,40.876853942871094,40.876853942871094,1.7783088684082031,1.7783088684082031,0.0
1080_0.59_1.22.png,val_regular,0.5,40.876853942871094,40.876853942871094,2.12255859375,2.12255859375,0.0
1085_0.71_1.3.png,val_regular,0.375,40.47186279296875,40.47186279296875,1.4498634338378906,1.4498634338378906,0.0
1085_0.71_1.3.png,val_regular,0.5,40.47186279296875,40.47186279296875,1.575408935546875,1.575408935546875,0.0
1087_0.68_1.22.png,val_regular,0.375,41.458438873291016,41.458438873291016,1.3475761413574219,1.3475761413574219,0.0
1087_0.68_1.22.png,val_regular,0.5,41.458438873291016,41.458438873291016,1.4222450256347656,1.4222450256347656,0.0
1100_0.58_1.95.png,val_regular,0.375,31.112850189208984,31.112850189208984,2.9560508728027344,2.9560508728027344,0.0
1100_0.58_1.95.png,val_regular,0.5,31.112850189208984,31.112850189208984,4.159915924072266,4.159915924072266,0.0
1102_0.65_0.94.png,val_regular,0.375,29.722129821777344,29.722129821777344,3.8304176330566406,3.8304176330566406,0.0
1102_0.65_0.94.png,val_regular,0.5,29.722129821777344,29.722129821777344,5.553844451904297,5.553844451904297,0.0
1110_0.92_0.77.png,val_regular,0.375,39.92845916748047,39.92845916748047,2.5676345825195312,2.5676345825195312,0.0
1110_0.92_0.77.png,val_regular,0.5,39.92845916748047,39.92845916748047,3.097564697265625,3.097564697265625,0.0
1122_0.94_0.53.png,val_regular,0.375,40.93035888671875,40.93035888671875,2.311847686767578,2.311847686767578,0.0
1122_0.94_0.53.png,val_regular,0.5,40.93035888671875,40.93035888671875,2.7253189086914062,2.7253189086914062,0.0
1128_0.8_1.45.png,val_regular,0.375,37.51072311401367,37.51072311401367,1.9410324096679688,1.9410324096679688,0.0
1128_0.8_1.45.png,val_regular,0.5,37.51072311401367,37.51072311401367,2.191051483154297,2.191051483154297,0.0
1133_0.68_1.41.png,val_regular,0.375,32.86006164550781,32.86006164550781,3.231555938720703,3.231555938720703,0.0
