cell,coverage,d_ref_gain_db,d_rep_gain_db,gain_point_db,negative_selected_groups,selected_groups,selected_hard_groups,selected_severe_groups
P0_POOLED_DC_ONLY,0.203125,0.005993341406186421,0.005780284603436788,0.005780284603436788,14,78,0,1
S1_TRUE_SPATIAL_RESPONSE,0.203125,0.02670895556608836,0.025940994421641033,0.025940994421641033,9,78,3,10
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,0.005667234460512797,0.0056382715702056885,0.0056382715702056885,39,78,0,1
G0_GENERIC_STATE_SPATIAL,0.203125,0.018302361170450848,0.018028194705645244,0.018028194705645244,13,78,3,12
