all_group_severe_ucb95_exact,coverage_realized,coverage_target,operator,population_cvar5_gain_db,population_mean_gain_db,population_p10_gain_db,selected_groups,selected_hard_groups,selected_severe_groups
0.030605341336622634,0.10416666666666667,0.1,D_ref,-0.15977725982666016,0.016020973523457844,0.0,40,3,6
0.030605341336622634,0.10416666666666667,0.1,D_rep,-0.16267271041870118,0.015632962187131245,0.0,40,3,6
0.04377205329657119,0.203125,0.2,D_ref,-0.2341512680053711,0.02670895556608836,0.0,78,3,10
0.04377205329657119,0.203125,0.2,D_rep,-0.24120454788208007,0.025940994421641033,0.0,78,3,10
0.06259860391551486,0.3020833333333333,0.3,D_ref,-0.3775184631347656,0.020986974239349365,-0.008718872070312491,116,6,16
0.06259860391551486,0.3020833333333333,0.3,D_rep,-0.3799746513366699,0.020246346791585285,-0.00819091796875,116,6,16
0.07478541441304608,0.4010416666666667,0.4,D_ref,-0.40311260223388673,0.022609159350395203,-0.03789329528808593,154,6,20
0.07478541441304608,0.4010416666666667,0.4,D_rep,-0.40483999252319336,0.021793628732363384,-0.04235916137695312,154,6,20
0.08974519586022466,0.6041666666666666,0.6,D_ref,-0.40685157775878905,0.02999618649482727,-0.11321563720703118,232,6,25
0.08974519586022466,0.6041666666666666,0.6,D_rep,-0.4079318046569824,0.028895164529482525,-0.11452331542968748,232,6,25
0.1703624478257218,1.0,1.0,D_ref,-0.48863935470581055,0.04479815065860748,-0.2300800323486328,384,8,53
0.1703624478257218,1.0,1.0,D_rep,-0.48547945022583006,0.04278858006000519,-0.23960075378417967,384,8,53
