fold,groups,margin_mean_db,margin_p10_db,near_tie_fraction_le_0_005,negative_oracle_groups,operator,oracle_mean_gain_db,positive_oracle_groups
0,192,0.17381549874941507,0.004925918579101562,0.109375,48,D_ref,0.16704671581586203,106
0,192,0.17329208056131998,0.005130386352539063,0.09895833333333333,50,D_rep,0.1663265029589335,104
1,192,0.14251133799552917,0.004124069213867188,0.13020833333333334,40,D_ref,0.136233260234197,111
1,192,0.1420914630095164,0.004510116577148437,0.11458333333333333,43,D_rep,0.13486036658287048,107
