cell,coverage,epochs,final_loss,fold,gain_mean_db,hard_groups,initial_loss,operator,seed,severe_groups
P0_POOLED_DC_ONLY,0.203125,32,0.36805325746536255,0,0.00257985790570577,0,1.2262085676193237,D_ref,3407,0
P0_POOLED_DC_ONLY,0.203125,32,0.36805325746536255,0,0.002044151226679484,0,1.2262085676193237,D_rep,3407,0
P0_POOLED_DC_ONLY,0.203125,32,0.3658808171749115,0,-0.00018053253491719565,0,0.9889227151870728,D_ref,3411,2
P0_POOLED_DC_ONLY,0.203125,32,0.3658808171749115,0,-8.077422777811687e-05,0,0.9889227151870728,D_rep,3411,2
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.11333666741847992,0,0.018317917982737224,1,1.8601824045181274,D_ref,3407,7
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.11333666741847992,0,0.01792466640472412,1,1.8601824045181274,D_rep,3407,7
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.09337451308965683,0,0.024538973967234295,3,1.2956019639968872,D_ref,3411,6
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.09337451308965683,0,0.023904532194137573,3,1.2956019639968872,D_rep,3411,6
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.1824161857366562,0,0.012493918339411417,1,3.1544406414031982,D_ref,3407,3
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.1824161857366562,0,0.012330512205759684,1,3.1544406414031982,D_rep,3407,3
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.15490901470184326,0,0.014960537354151407,1,2.1482505798339844,D_ref,3411,2
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.15490901470184326,0,0.014720072348912558,1,2.1482505798339844,D_rep,3411,2
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.14295537769794464,0,0.026054124037424724,1,1.8057725429534912,D_ref,3407,6
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.14295537769794464,0,0.025440673033396404,1,1.8057725429534912,D_rep,3407,6
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.12615014612674713,0,0.037736048301061,0,1.3454723358154297,D_ref,3411,3
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.12615014612674713,0,0.03742037216822306,0,1.3454723358154297,D_rep,3411,3
P0_POOLED_DC_ONLY,0.203125,32,0.38576528429985046,1,0.008667270342508951,0,1.2277286052703857,D_ref,3407,0
P0_POOLED_DC_ONLY,0.203125,32,0.38576528429985046,1,0.008357703685760498,0,1.2277286052703857,D_rep,3407,0
P0_POOLED_DC_ONLY,0.203125,32,0.3845818042755127,1,0.00781021515528361,0,1.007134199142456,D_ref,3411,0
P0_POOLED_DC_ONLY,0.203125,32,0.3845818042755127,1,0.007532040278116862,0,1.007134199142456,D_rep,3411,0
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.11936144530773163,1,0.018774668375651043,1,1.8690154552459717,D_ref,3407,7
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.11936144530773163,1,0.018333961566289265,1,1.8690154552459717,D_rep,3407,7
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.11025996506214142,1,0.002692669630050659,3,1.3061912059783936,D_ref,3411,8
S1_TRUE_SPATIAL_RESPONSE,0.203125,32,0.11025996506214142,1,0.0019544859727223716,3,1.3061912059783936,D_rep,3411,8
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.16802532970905304,1,0.006724645694096883,0,3.125115394592285,D_ref,3407,0
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.16802532970905304,1,0.006715814272562663,0,3.125115394592285,D_rep,3407,0
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.15455931425094604,1,0.0050903260707855225,0,2.121054172515869,D_ref,3411,3
S2_SPATIAL_RESPONSE_SHUFFLE,0.203125,32,0.15455931425094604,1,0.004579524199167888,0,2.121054172515869,D_rep,3411,3
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.14215490221977234,1,0.01418536901473999,1,1.8342828750610352,D_ref,3407,4
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.14215490221977234,1,0.014186243216196695,1,1.8342828750610352,D_rep,3407,4
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.12946608662605286,1,0.010830998420715332,1,1.3628230094909668,D_ref,3411,6
G0_GENERIC_STATE_SPATIAL,0.203125,32,0.12946608662605286,1,0.010593881209691366,1,1.3628230094909668,D_rep,3411,6
