bin,cell,count,event_rate,fold,high,low,mean_bias_db,mean_mae_db,mean_probability,operator,q05_empirical_coverage,row_type
0,,456,0.07894736842105263,,0.1,0.0,,,0.017600871553243854,,,severe_bin
1,,65,0.2923076923076923,,0.2,0.1,,,0.1411730204637234,,,severe_bin
2,,39,0.20512820512820512,,0.3,0.2,,,0.24326896514648047,,,severe_bin
3,,23,0.4782608695652174,,0.4,0.3,,,0.3506567413392274,,,severe_bin
4,,23,0.43478260869565216,,0.5,0.4,,,0.4553322869798411,,,severe_bin
5,,19,0.21052631578947367,,0.6,0.5,,,0.5620958177666915,,,severe_bin
6,,18,0.3888888888888889,,0.7,0.6,,,0.6585827271143595,,,severe_bin
7,,27,0.4444444444444444,,0.8,0.7,,,0.7541502647929721,,,severe_bin
8,,29,0.7241379310344828,,0.9,0.8,,,0.842284815064792,,,severe_bin
9,,69,0.7681159420289855,,1.0,0.9,,,0.9609750345133353,,,severe_bin
,P0_POOLED_DC_ONLY,384,,0,,,-5.260114630800672e-05,0.17635302825632002,,D_ref,0.9270833333333334,utility_summary
,P0_POOLED_DC_ONLY,384,,0,,,-0.00024099264737742487,0.17900275646449396,,D_rep,0.9322916666666666,utility_summary
,P0_POOLED_DC_ONLY,384,,1,,,0.0009797271651829458,0.14163665806412004,,D_ref,0.9609375,utility_summary
,P0_POOLED_DC_ONLY,384,,1,,,0.004321712053448816,0.14323171518723635,,D_rep,0.9557291666666666,utility_summary
,S1_TRUE_SPATIAL_RESPONSE,384,,0,,,0.015087513938245442,0.22107334706743131,,D_ref,0.875,utility_summary
,S1_TRUE_SPATIAL_RESPONSE,384,,0,,,0.012549825696623884,0.2215737480558649,,D_rep,0.8645833333333334,utility_summary
,S1_TRUE_SPATIAL_RESPONSE,384,,1,,,-0.010860522902172912,0.19757113446758012,,D_ref,0.8776041666666666,utility_summary
,S1_TRUE_SPATIAL_RESPONSE,384,,1,,,-0.01190596868279196,0.19897234158149027,,D_rep,0.875,utility_summary
,S2_SPATIAL_RESPONSE_SHUFFLE,384,,0,,,-0.009776721573871328,0.2718635655898349,,D_ref,0.90625,utility_summary
,S2_SPATIAL_RESPONSE_SHUFFLE,384,,0,,,-0.031920734651066596,0.2562085812836206,,D_rep,0.8984375,utility_summary
,S2_SPATIAL_RESPONSE_SHUFFLE,384,,1,,,0.01769906038195283,0.24702499014529167,,D_ref,0.8828125,utility_summary
,S2_SPATIAL_RESPONSE_SHUFFLE,384,,1,,,0.007033256627134203,0.26492259699686355,,D_rep,0.9296875,utility_summary
,G0_GENERIC_STATE_SPATIAL,384,,0,,,-0.0011367229065702607,0.22073052069269275,,D_ref,0.8697916666666666,utility_summary
,G0_GENERIC_STATE_SPATIAL,384,,0,,,-0.005072111511253752,0.22089220765337814,,D_rep,0.8697916666666666,utility_summary
,G0_GENERIC_STATE_SPATIAL,384,,1,,,0.04330569692441107,0.2173402730889696,,D_ref,0.8333333333333334,utility_summary
,G0_GENERIC_STATE_SPATIAL,384,,1,,,0.03933314083648535,0.21610190613622157,,D_rep,0.8359375,utility_summary
