cell,epoch,phase,updates,projected_update_ratio,render,anchor,harm,margin,repair,delta_abs,render_direction_norm,projected_direction_norm,cvar,gradient_norm
output_safety_curriculum,1,render_warmup,8,0.0,0.0003220874186808942,1.5066916603245772e-09,2.91086507786531e-07,2.270540022664136e-06,0.0016785728294053115,1.5696056493652577e-05,8.042550859954645e-06,8.042550859954645e-06,1.004249497782439e-06,8.042550859954645e-06
output_safety_curriculum,2,render_warmup,8,0.0,0.0003219770260329824,6.000163921271451e-09,3.027627144547296e-07,2.3124601895574415e-06,0.005731087119784206,5.358994576454279e-05,8.142105741626438e-06,8.142105741626438e-06,1.0429398571432102e-06,8.14210608268695e-06
output_safety_curriculum,3,render_warmup,8,0.0,0.0003218354358978104,1.1748056749638636e-08,3.1756610496813664e-07,2.365793591252441e-06,0.01085943728685379,0.00010153915718547069,8.446172046205902e-06,8.446172046205902e-06,1.0913913683907595e-06,8.446171818832227e-06
output_safety_curriculum,4,render_warmup,8,0.0,0.0003216314344172133,2.0156221580691636e-08,3.3900550988619216e-07,2.442656381163033e-06,0.018184332875534892,0.00017002071035676636,9.228121996329719e-06,9.228121996329719e-06,1.1607426131376997e-06,9.2281219394863e-06
output_safety_curriculum,5,render_warmup,8,0.0,0.00032131504849530756,3.585284957807744e-08,3.730340267793508e-07,2.5636092217951045e-06,0.029532118933275342,0.00027610696270130575,1.10399228674396e-05,1.10399228674396e-05,1.2717036952381022e-06,1.1039923037969857e-05
output_safety_curriculum,6,render_warmup,8,0.0,0.00032081411700346507,6.356913218041882e-08,4.2998362914659083e-07,2.761957972552409e-06,0.047722474206238985,0.00044615605656872503,1.4347208093568042e-05,1.4347208093568042e-05,1.462762156734243e-06,1.4347208548315393e-05
output_safety_curriculum,7,render_warmup,8,0.0,0.0003200602004653774,1.0857263532670913e-07,5.240628979663597e-07,3.0773821038110327e-06,0.07592247147113085,0.0007097770139807835,1.8768959080261993e-05,1.8768959080261993e-05,1.7773027138900943e-06,1.8768958966575156e-05
output_safety_curriculum,8,render_warmup,8,0.0,0.00031903407762001734,1.7309230315731838e-07,6.716701363984612e-07,3.5408393728175724e-06,0.11618604976683855,0.0010861877162824385,2.3026730332276202e-05,2.3026730332276202e-05,2.2611889107793104e-06,2.3026730559649877e-05
output_safety_curriculum,9,projected_safety,8,0.875,0.00031795879294804763,2.489825874363305e-07,8.847363233144279e-07,4.102532301430983e-06,0.16281234752386808,0.001522042861324735,2.521846386116522e-05,1.3227795079728821e-05,2.8924273465236183e-06,1.3227794795511727e-05
output_safety_curriculum,10,projected_safety,8,0.875,0.0003173699788021622,2.932902134489268e-07,1.0151364904231741e-06,4.4327982209324546e-06,0.18994915671646595,0.0017751360719557852,2.5195691705448553e-05,1.2524273415692733e-05,3.299180661997525e-06,1.2524273813596665e-05
output_safety_curriculum,11,projected_safety,8,0.875,0.00031709410359326284,3.104930783592863e-07,1.0673306860553566e-06,4.567113336406692e-06,0.20118487440049648,0.0018791957263601944,2.4743962512729922e-05,1.1705734635825138e-05,3.4624681575223804e-06,1.1705734635825138e-05
output_safety_curriculum,12,projected_safety,8,0.875,0.0003169512183376355,3.1603099159838166e-07,1.0854423635464627e-06,4.617269979689809e-06,0.2056244108825922,0.0019196527282474563,2.4354981519536523e-05,1.1071778885707317e-05,3.518628545862157e-06,1.1071778629911933e-05
output_safety_curriculum,13,projected_safety,8,0.875,0.0003168626662954921,3.170325726387091e-07,1.090504952117044e-06,4.635693301224819e-06,0.2074584625661373,0.0019358237914275378,2.406676674127084e-05,1.0626031667015923e-05,3.5342268347449135e-06,1.0626031951233017e-05
output_safety_curriculum,14,projected_safety,8,0.875,0.0003167981776641682,3.164655026921537e-07,1.0912074230873259e-06,4.643456335884366e-06,0.20837821252644062,0.001943578536156565,2.3848833393458335e-05,1.0330947560532877e-05,3.5366092561162077e-06,1.0330947333159202e-05
output_safety_curriculum,15,projected_safety,8,0.875,0.0003167472586937947,3.1534818845102564e-07,1.0903058864641935e-06,4.647208854180462e-06,0.2089319098740816,0.001948062374140136,2.367729621255421e-05,1.0149162704919945e-05,3.5341499824426137e-06,1.0149163045980458e-05
output_safety_curriculum,16,projected_safety,8,0.875,0.00031670742646383587,3.1379738629766507e-07,1.0880315812755725e-06,4.647587417139221e-06,0.20920596085488796,0.001950080128153786,2.3546166517007805e-05,1.0054642473278363e-05,3.527439275785582e-06,1.0054642842760586e-05
