step,weighted_target_l1,corr,mean_output_gain
0,0.010833275419829693,,0.0
50,0.005370456290685657,0.8363279104232788,0.4291030168533325
100,0.0036495454756020895,0.9094129633158445,0.6359860897064209
150,0.0030895161496637233,0.936504079028964,0.6721155643463135
200,0.002277994696009411,0.9491383694112301,0.6777045726776123
250,0.0029083591015392897,0.9457555711269379,0.7121005058288574
300,0.0036719728655134733,0.9334591701626778,0.7600830793380737
350,0.003524689221251771,0.9261464271694422,0.7513822317123413
400,0.0027163959762519702,0.9506499227136374,0.7097511291503906
450,0.0023512076606040733,0.9470223803073168,0.709099531173706
500,0.0033160010788486458,0.9436627719551325,0.7464656829833984
550,0.003549678949060191,0.931920699775219,0.7722538709640503
600,0.00315358869810792,0.9362368453294039,0.7441028356552124
650,0.0024904018813165143,0.9420945402234793,0.707865834236145
700,0.0029103493753116004,0.9405250027775764,0.7205424308776855
750,0.003571731468803023,0.942255700007081,0.766357421875
800,0.003507876084901485,0.9322243314236403,0.7722287178039551
