low_size,K,mapper,split,count,coeff_mse,coeff_mae,coeff_mse_norm,coeff_mae_norm,coeff_corr,sign_accuracy,pred_true_coeff_norm_ratio,lowspace_weighted_field_l1
32,16,global_zero_field,train,90,0.040553152561187744,0.1233450323343277,1.0,1.0,,0.0,0.0,0.013083929820271654
32,16,global_zero_field,mini_val,114,0.03187809884548187,0.10721449553966522,1.0,1.0,,0.0,0.0,0.011442080426723972
32,16,global_zero_field,overall,204,0.0357053317129612,0.11433091759681702,1.0,1.0,,0.0,0.0,0.012166425747406773
32,16,global_mean_coeff,train,90,0.04013221710920334,0.12213753908872604,0.989620154651373,0.9902104428305736,0.10185716301202774,0.5472221970558167,0.12450368702411652,0.011928059216377407
32,16,global_mean_coeff,mini_val,114,0.03169246390461922,0.10750274360179901,0.9941767248491682,1.0026885176363782,0.08185046166181564,0.5449561476707458,0.15406310558319092,0.010416878019275487
32,16,global_mean_coeff,overall,204,0.0354158841073513,0.11395926773548126,0.9918934346294052,0.996749349439787,0.09109190851449966,0.5459558963775635,0.14102216064929962,0.011083575606232217
32,16,global_ridge_0.01,train,90,0.0027030296623706818,0.03236481919884682,0.0666539958463716,0.26239256325396,0.9662160277366638,0.9027777910232544,0.9610821008682251,0.005588956526779615
32,16,global_ridge_0.01,mini_val,114,0.2662205994129181,0.30113792419433594,8.351206911783885,2.8087426301691316,0.19286702573299408,0.5526315569877625,3.3938968181610107,0.026523642782512805
32,16,global_ridge_0.01,overall,204,0.14996285736560822,0.18256156146526337,4.200013000052063,1.5967820892425506,0.3433111011981964,0.7071078419685364,2.320596218109131,0.017287751787336398
32,16,global_ridge_0.1,train,90,0.004090823233127594,0.040199704468250275,0.10087559103956824,0.32591263472442616,0.9487366676330566,0.8805555701255798,0.9273951053619385,0.005982834149145832
32,16,global_ridge_0.1,mini_val,114,0.1927565187215805,0.25627973675727844,6.046675482622144,2.3903459645758893,0.17942599952220917,0.5504385828971863,2.7589292526245117,0.02216043690119281
32,16,global_ridge_0.1,overall,204,0.10952164977788925,0.16095031797885895,3.0673752216712327,1.4077584730531352,0.35706716775894165,0.6960784196853638,1.950899362564087,0.015023259216466201
32,16,global_ridge_1,train,90,0.006855672691017389,0.051994048058986664,0.16905400093552175,0.4215333773479939,0.9131811857223511,0.8479166626930237,0.8714484572410583,0.006631570132577254
32,16,global_ridge_1,mini_val,114,0.12913526594638824,0.21085727214813232,4.050908637065437,1.9666862310621354,0.171117901802063,0.5422149300575256,2.169280767440796,0.01790464786522182
32,16,global_ridge_1,overall,204,0.07518838346004486,0.1407705545425415,2.1058026869626065,1.2312553550821896,0.3753567636013031,0.6770833134651184,1.5967077016830444,0.012931231218466866
32,16,global_ridge_10,train,90,0.01123274676501751,0.06749808043241501,0.27698825012603456,0.5472298247850057,0.8576080799102783,0.8069444298744202,0.7603206038475037,0.007566605775996707
32,16,global_ridge_10,mini_val,114,0.08220797032117844,0.17046992480754852,2.5788228689437633,1.5899895247325138,0.19557565450668335,0.5444079041481018,1.603711724281311,0.014248271375158036
32,16,global_ridge_10,overall,204,0.05089537426829338,0.1250411868095398,1.4254278514325671,1.0936778033260617,0.3997608721256256,0.6602328419685364,1.231627345085144,0.011300477728469214
32,16,global_pls_4,train,90,0.02707003243267536,0.1046794131398201,0.6675198035918745,0.8486714961984502,0.5766080617904663,0.636805534362793,0.5719616413116455,0.010174083381461585
32,16,global_pls_4,mini_val,114,0.037551820278167725,0.1251123696565628,1.1779818006144993,1.1669352080314184,0.2737113833427429,0.5394737124443054,0.8878633975982666,0.011302466739783528
32,16,global_pls_4,overall,204,0.0329275019466877,0.1160978451371193,0.922201261464121,1.01545450327385,0.39881274104118347,0.5824142098426819,0.7484949827194214,0.010804650552288554
32,16,global_pls_8,train,90,0.023030219599604607,0.09609023481607437,0.5679020777695633,0.7790361151766617,0.6573393940925598,0.6986111402511597,0.670654833316803,0.009642578970483776
32,16,global_pls_8,mini_val,114,0.04938744753599167,0.14511410892009735,1.5492595018097015,1.3534933703662368,0.24339981377124786,0.5334429740905762,1.148466944694519,0.012347524815935235
32,16,global_pls_8,overall,204,0.037759263068437576,0.12348593771457672,1.0575245000379254,1.0800747541451954,0.39663711190223694,0.6063112616539001,0.9376675486564636,0.01115416635470665
32,16,global_pls_16,train,90,0.01515127718448639,0.07800846546888351,0.37361527347659873,0.632441080054533,0.7914435863494873,0.7701388597488403,0.8081406354904175,0.008293208302569719
32,16,global_pls_16,mini_val,114,0.0983227789402008,0.18315057456493378,3.0843363469316873,1.7082631750776194,0.16328655183315277,0.5433114171028137,1.7301676273345947,0.015231512154279496
32,16,global_pls_16,overall,204,0.061629462987184525,0.13676434755325317,1.726057707085039,1.1962149034397385,0.35110414028167725,0.6433823704719543,1.3233911991119385,0.012170495749113419
32,16,global_kernel_knn_5,train,90,0.014220821671187878,0.07372214645147324,0.3506711753107505,0.5976904384089727,0.8214471340179443,0.7895833253860474,0.6985365748405457,0.00809451410899587
32,16,global_kernel_knn_5,mini_val,114,0.037992168217897415,0.12152165919542313,1.1917952950096362,1.133444303251558,0.1920398771762848,0.5263158082962036,0.8012330532073975,0.011446104301200494
32,16,global_kernel_knn_5,overall,204,0.02750481106340885,0.10043363273143768,0.7703278402374982,0.8784468352262552,0.5059108734130859,0.642463207244873,0.7559258937835693,0.009967461569345512
32,16,global_kernel_knn_9,train,90,0.02103457786142826,0.09119758754968643,0.5186915574489726,0.739369764827615,0.7227481603622437,0.7243055701255798,0.5704240798950195,0.009350688921040597
32,16,global_kernel_knn_9,mini_val,114,0.032978273928165436,0.11401310563087463,1.034511941506182,1.0634112958046256,0.23654042184352875,0.5208333134651184,0.651210606098175,0.010821857833594965
32,16,global_kernel_knn_9,overall,204,0.027708999812602997,0.10394743084907532,0.7760465589665564,0.909180412735262,0.47692379355430603,0.610600471496582,0.615569531917572,0.010172812725115096
32,32,global_zero_field,train,90,0.021600646898150444,0.08064732700586319,1.0,1.0,,0.0,0.0,0.013083929820271654
32,32,global_zero_field,mini_val,114,0.016869617626070976,0.07032359391450882,1.0,1.0,,0.0,0.0,0.011442080426723972
32,32,global_zero_field,overall,204,0.018956836313009262,0.07487817853689194,1.0,1.0,,0.0,0.0,0.012166425747406773
32,32,global_mean_coeff,train,90,0.021354174241423607,0.07977411150932312,0.9885895705860577,0.9891724186162228,0.10652034729719162,0.5534722208976746,0.12775658071041107,0.011920111070240552
