low_size,K,mapper,family,split,confidence_key,direction,threshold,gate_pass,count,open_count,keep_count,open_keep_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,mean_output_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_output_gain,hard_bottom25_oracle_gain,easy_top25_output_gain,strong_reference_cut_psnr,strong_reference_regressions,severe_regressions
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.016998743729231002,False,128,114,128,114,0.0124299576794458,0.011327302030144246,0.08870952562653595,0.3013232499361038,1.1876385807991028,0.25371628608878505,0.5568369030952454,1.3572521209716797,0.05647885799407959,39.136597633361816,4,8
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.016998744729231,False,128,114,128,114,0.0124299576794458,0.011327302030144246,0.08870952562653595,0.3013232499361038,1.1876385807991028,0.25371628608878505,0.5568369030952454,1.3572521209716797,0.05647885799407959,39.136597633361816,4,8
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.021019726245766597,False,128,114,121,107,0.0124299576794458,0.011131377099664053,0.10447184240450655,0.29846854507923126,1.1876385807991028,0.25131260461276583,0.5244134068489075,1.3572521209716797,0.050241708755493164,39.136597633361816,4,6
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.02315353716172107,False,128,114,115,101,0.0124299576794458,0.011267996870358721,0.09348067298801017,0.28473010659217834,1.1876385807991028,0.23974474322027975,0.463950514793396,1.3572521209716797,0.04688858985900879,39.136597633361816,4,5
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.024999786003421415,False,128,114,102,90,0.0124299576794458,0.011396500604485571,0.08314244518057815,0.25304941833019257,1.1876385807991028,0.21306938189893446,0.4071041941642761,1.3572521209716797,0.08284974098205566,39.136597633361816,3,4
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.025787189564869823,False,128,114,89,77,0.0124299576794458,0.01143811982359211,0.07979414583959489,0.2098192721605301,1.1876385807991028,0.17666929615856128,0.4071041941642761,1.3572521209716797,0.1227954626083374,39.136597633361816,2,3
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.027217329593609257,False,128,114,77,68,0.0124299576794458,0.011527506875505139,0.07260288628600527,0.17114777863025665,1.1876385807991028,0.1441076278568686,0.35966700315475464,1.3572521209716797,0.1227954626083374,39.136597633361816,2,3
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.028662027208981693,False,128,114,64,60,0.0124299576794458,0.011651504457084006,0.06262718204174143,0.13732193410396576,1.1876385807991028,0.11562602994218045,0.2745559811592102,1.3572521209716797,0.08695900440216064,39.136597633361816,2,3
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.030380040700157887,False,128,114,51,47,0.0124299576794458,0.011642287197473837,0.0633687179220615,0.09951223433017731,1.1876385807991028,0.08378999801709076,0.19449812173843384,1.3572521209716797,0.003006577491760254,39.136597633361816,2,2
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.032247787527505165,False,128,114,39,35,0.0124299576794458,0.011619948362903058,0.0651658949637596,0.08652959764003754,1.1876385807991028,0.07285852702917085,0.17829900979995728,1.3572521209716797,-0.00286710262298584,39.136597633361816,2,1
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.03425477138970606,False,128,114,26,24,0.0124299576794458,0.011742052348432617,0.055342532030555856,0.069342240691185,1.1876385807991028,0.05838665214507267,0.14027351140975952,1.3572521209716797,0.0014255046844482422,39.136597633361816,0,1
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.036094073096375065,True,128,114,13,13,0.0124299576794458,0.012126319578415269,0.02442792717891774,0.04628288745880127,1.1876385807991028,0.03897051527886524,0.0511164665222168,1.3572521209716797,0.002428889274597168,39.136597633361816,0,0
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,confidence_proxy,high,0.03902224963860165,True,128,114,7,7,0.0124299576794458,0.012373909723873974,0.004509102687011362,0.015076309442520142,1.1876385807991028,0.012694358103772651,-0.002106189727783203,1.3572521209716797,0.002428889274597168,39.136597633361816,0,0
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,kernel_confidence,high,0.20154185493128204,False,128,114,128,114,0.0124299576794458,0.011327302030144246,0.08870952562653595,0.3013232499361038,1.1876385807991028,0.25371628608878505,0.5568369030952454,1.3572521209716797,0.05647885799407959,39.136597633361816,4,8
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,kernel_confidence,high,0.20154185593128204,False,128,114,128,114,0.0124299576794458,0.011327302030144246,0.08870952562653595,0.3013232499361038,1.1876385807991028,0.25371628608878505,0.5568369030952454,1.3572521209716797,0.05647885799407959,39.136597633361816,4,8
32,16,convir_spatial_kernel_knn_5,convir_spatial_kernel_knn,mini_val,kernel_confidence,high,0.20458860471844673,False,128,114,121,107,0.0124299576794458,0.011189158444266597,0.09982328718874008,0.30636705458164215,1.1876385807991028,0.25796320491331887,0.5716843008995056,1.3572521209716797,0.09746873378753662,39.136597633361816,3,6
