low_size,K,mapper,family,group,count,mean_output_gain,mean_oracle_gain,mean_corr,mean_coeff_mse_norm,mean_nn_distance
32,16,global_zero_field,global_zero,closed_easy,28,0.0,0.0,,0.0,1000000.1964285715
32,16,global_zero_field,global_zero,closed_hard,2,0.0,0.0,,0.0,1000000.3125
32,16,global_zero_field,global_zero,middle,128,0.0,1.0300968289375305,,0.828125,171879.28513584068
32,16,global_zero_field,global_zero,open_easy,36,0.0,0.8228113386366103,,1.0,5.6324740692766175
32,16,global_zero_field,global_zero,open_hard,62,0.0,1.4197130818520822,,1.0,3.692210992437697
32,16,global_mean_coeff,global_mean,closed_easy,28,0.0,0.0,,420940486.94707453,1000000.1964285715
32,16,global_mean_coeff,global_mean,closed_hard,2,0.0,0.0,,420940486.94707453,1000000.3125
32,16,global_mean_coeff,global_mean,middle,128,0.15520629286766052,1.0300968289375305,0.22808568323698808,72349147.02466755,171879.28513584068
32,16,global_mean_coeff,global_mean,open_easy,36,0.10279856787787543,0.8228113386366103,0.2047326078431474,0.9776464420002616,5.6324740692766175
32,16,global_mean_coeff,global_mean,open_hard,62,0.18162185915054813,1.4197130818520822,0.2976472381457326,1.005995133369327,3.692210992437697
32,16,global_ridge_0.01,global_ridge,closed_easy,28,0.0,0.0,,130340983881282.48,1000000.1964285715
32,16,global_ridge_0.01,global_ridge,closed_hard,2,0.0,0.0,,210213493347167.97,1000000.3125
32,16,global_ridge_0.01,global_ridge,middle,128,0.0372563898563385,1.0300968289375305,0.4319917017523691,13548376099971.408,171879.28513584068
32,16,global_ridge_0.01,global_ridge,open_easy,36,-0.0891842312282986,0.8228113386366103,0.29516722365385956,22.34297784654321,5.6324740692766175
32,16,global_ridge_0.01,global_ridge,open_hard,62,0.7898547880111202,1.4197130818520822,0.6791850619258419,2.2556816035166634,3.692210992437697
32,16,global_ridge_0.1,global_ridge,closed_easy,28,0.0,0.0,,75653785875665.83,1000000.1964285715
32,16,global_ridge_0.1,global_ridge,closed_hard,2,0.0,0.0,,119791210174560.55,1000000.3125
32,16,global_ridge_0.1,global_ridge,middle,128,0.05242541432380676,1.0300968289375305,0.4051142466465398,7799934917645.313,171879.28513584068
32,16,global_ridge_0.1,global_ridge,open_easy,36,-0.04387505849202474,0.8228113386366103,0.30428563887512106,12.692706423754288,5.6324740692766175
32,16,global_ridge_0.1,global_ridge,open_hard,62,0.7855080942953786,1.4197130818520822,0.6914360611586862,1.56121405188195,3.692210992437697
32,16,global_ridge_1,global_ridge,closed_easy,28,0.0,0.0,,63781730106233.484,1000000.1964285715
32,16,global_ridge_1,global_ridge,closed_hard,2,0.0,0.0,,102579936981201.17,1000000.3125
32,16,global_ridge_1,global_ridge,middle,128,0.07046088576316833,1.0300968289375305,0.36539967381834704,6610491671902.014,171879.28513584068
32,16,global_ridge_1,global_ridge,open_easy,36,0.044086986117892794,0.8228113386366103,0.311834370976107,7.207745043791955,5.6324740692766175
32,16,global_ridge_1,global_ridge,open_hard,62,0.7813990808302357,1.4197130818520822,0.6951344196849893,1.155917062418925,3.692210992437697
32,16,global_ridge_10,global_ridge,closed_easy,28,0.0,0.0,,49402287789420.89,1000000.1964285715
32,16,global_ridge_10,global_ridge,closed_hard,2,0.0,0.0,,80175006866455.08,1000000.3125
32,16,global_ridge_10,global_ridge,middle,128,0.11297976970672607,1.0300968289375305,0.3350308583961483,5134654833872.409,171879.28513584068
32,16,global_ridge_10,global_ridge,open_easy,36,0.06408362918429905,0.8228113386366103,0.2896934928269022,3.9652251894197104,5.6324740692766175
32,16,global_ridge_10,global_ridge,open_hard,62,0.706096064659857,1.4197130818520822,0.6927967318202248,0.8624664045832654,3.692210992437697
32,16,global_pls_4,global_pls,closed_easy,28,0.0,0.0,,2667446706252.7715,1000000.1964285715
32,16,global_pls_4,global_pls,closed_hard,2,0.0,0.0,,4017508625984.192,1000000.3125
32,16,global_pls_4,global_pls,middle,128,0.2288433313369751,1.0300968289375305,0.2752797685413652,275995847435.6617,171879.28513584068
32,16,global_pls_4,global_pls,open_easy,36,0.07279925876193577,0.8228113386366103,0.1964747540963193,1.8649334198779275,5.6324740692766175
32,16,global_pls_4,global_pls,open_hard,62,0.5257837541641728,1.4197130818520822,0.5960719509711189,0.6789328725738432,3.692210992437697
32,16,global_pls_8,global_pls,closed_easy,28,0.0,0.0,,10375253429004.39,1000000.1964285715
32,16,global_pls_8,global_pls,closed_hard,2,0.0,0.0,,16876406669616.7,1000000.3125
32,16,global_pls_8,global_pls,middle,128,0.22729268670082092,1.0300968289375305,0.2846947219134923,1075792764875.4934,171879.28513584068
32,16,global_pls_8,global_pls,open_easy,36,0.07237423790825738,0.8228113386366103,0.20397667814460066,2.505653024583795,5.6324740692766175
32,16,global_pls_8,global_pls,open_hard,62,0.6089619667299332,1.4197130818520822,0.6346969091964345,0.6935323068399462,3.692210992437697
32,16,global_pls_16,global_pls,closed_easy,28,0.0,0.0,,55555004507170.195,1000000.1964285715
32,16,global_pls_16,global_pls,closed_hard,2,0.0,0.0,,86824485778808.6,1000000.3125
32,16,global_pls_16,global_pls,middle,128,0.025685042142868042,1.0300968289375305,0.2884497669007067,5681249737338.952,171879.28513584068
32,16,global_pls_16,global_pls,open_easy,36,-0.07999229431152344,0.8228113386366103,0.24510328674700255,5.05006873977553,5.6324740692766175
32,16,global_pls_16,global_pls,open_hard,62,0.6739403509324596,1.4197130818520822,0.6656156969406912,1.0572386934076152,3.692210992437697
32,16,global_kernel_knn_5,global_kernel_knn,closed_easy,28,0.0,0.0,,0.0,1000000.1964285715
32,16,global_kernel_knn_5,global_kernel_knn,closed_hard,2,0.0,0.0,,0.0,1000000.3125
32,16,global_kernel_knn_5,global_kernel_knn,middle,128,0.2328050136566162,1.0300968289375305,0.36147293617579873,1.0288647321458078,171879.28513584068
