low_size,K,mapper,family,split,count,open_count,initial_weighted_delta_l1,projection_weighted_delta_l1,weighted_delta_l1_drop,pred_target_corr,mean_output_gain,mean_oracle_gain,oracle_recovery,hard_bottom25_output_gain,hard_bottom25_oracle_gain,easy_top25_output_gain,strong_reference_cut_psnr,strong_reference_regressions,severe_regressions,weighted_den,coeff_mse,coeff_mae,coeff_mse_norm,coeff_mae_norm,coeff_corr,sign_accuracy,pred_true_coeff_norm_ratio,nn_distance_mean,confidence_proxy_mean
32,16,global_zero_field,global_zero,train,128,90,0.014803453060952654,0.014803453060952654,0.0,,0.0,0.7615474611520767,0.0,0.0,1.4174764752388,0.0,39.58205795288086,0,0,6284874.203613281,0.040553152561187744,0.1233450323343277,1.0,1.0,,0.0,0.0,0.001442833045601017,0.9985638700760985
32,16,global_zero_field,global_zero,mini_val,128,114,0.0124299576794458,0.0124299576794458,0.0,,0.0,1.1876385807991028,0.0,0.0,1.3572521209716797,0.0,39.136597633361816,0,0,9130168.385498047,0.03187809884548187,0.10721449553966522,1.0,1.0,,0.0,0.0,8.573387549634566,0.12264619183715589
32,16,global_zero_field,global_zero,overall,256,204,0.013397656588442953,0.013397656588442953,0.0,,0.0,0.9745930209755898,0.0,0.0,1.3753470480442047,0.0,39.25546169281006,0,0,15415042.589111328,0.0357053317129612,0.11433091759681702,1.0,1.0,,0.0,0.0,4.791647233492375,0.5090804616484541
32,16,global_mean_coeff,global_mean,train,128,90,0.014803453060952654,0.013298718411788858,0.10164754418905567,0.2589421747097125,0.09900350868701935,0.7615474611520767,0.13000307103282288,0.1432850956916809,1.4174764752388,0.03866684436798096,39.58205795288086,1,0,6284874.203613281,0.04013221710920334,0.12213753908872604,0.989620154651373,0.9902104428305736,0.10185716301202774,0.5472221970558167,0.12450368702411652,0.001442833045601017,0.9985638700760985
32,16,global_mean_coeff,global_mean,mini_val,128,114,0.0124299576794458,0.011064625899910953,0.10984202961467539,0.2341823626897837,0.1730879694223404,1.1876385807991028,0.14574128208758436,0.2090875506401062,1.3572521209716797,0.08864784240722656,39.136597633361816,4,7,9130168.385498047,0.03169246390461922,0.10750274360179901,0.9941767248491682,1.0026885176363782,0.08185046166181564,0.5449561476707458,0.15406310558319092,8.573387549634566,0.12264619183715589
32,16,global_mean_coeff,global_mean,overall,256,204,0.013397656588442953,0.01197548879991391,0.10615048826940592,0.24510580916916402,0.13604573905467987,0.9745930209755898,0.13959235919675989,0.1759461760520935,1.3753470480442047,0.05782419443130493,39.25546169281006,5,7,15415042.589111328,0.0354158841073513,0.11395926773548126,0.9918934346294052,0.996749349439787,0.09109190851449966,0.5459558963775635,0.14102216064929962,4.791647233492375,0.5090804616484541
32,16,global_ridge_0.01,global_ridge,train,128,90,0.014803453060952654,0.005925489034312617,0.5997225100174505,0.7953203675647577,0.5460913479328156,0.7615474611520767,0.7170811745687958,1.1418399810791016,1.4174764752388,0.146964430809021,39.58205795288086,0,0,6284874.203613281,0.0027030296623706818,0.03236481919884682,0.0666539958463716,0.26239256325396,0.9662160277366638,0.9027777910232544,0.9610821008682251,0.001442833045601017,0.9985638700760985
32,16,global_ridge_0.01,global_ridge,mini_val,128,114,0.0124299576794458,0.02710098476376925,-1.1802958193963513,0.2363840455777551,-0.15133211016654968,1.1876385807991028,-0.12742269627576921,0.3685230016708374,1.3572521209716797,-0.2949165105819702,39.136597633361816,12,40,9130168.385498047,0.2662205994129181,0.30113792419433594,8.351206911783885,2.8087426301691316,0.19286702573299408,0.5526315569877625,3.3938968181610107,8.573387549634566,0.12264619183715589
32,16,global_ridge_0.01,global_ridge,overall,256,204,0.013397656588442953,0.018467513523618917,-0.37841371001771373,0.48297359939555035,0.19737961888313293,0.9745930209755898,0.2025251716717112,0.7651718258857727,1.3753470480442047,-0.05016613006591797,39.25546169281006,10,40,15415042.589111328,0.14996285736560822,0.18256156146526337,4.200013000052063,1.5967820892425506,0.3433111011981964,0.7071078419685364,2.320596218109131,4.791647233492375,0.5090804616484541
32,16,global_ridge_0.1,global_ridge,train,128,90,0.014803453060952654,0.006348075196018377,0.5711760512982735,0.7777752617167102,0.5174145847558975,0.7615474611520767,0.679425263887227,1.0883740782737732,1.4174764752388,0.14213430881500244,39.58205795288086,0,0,6284874.203613281,0.004090823233127594,0.040199704468250275,0.10087559103956824,0.32591263472442616,0.9487366676330566,0.8805555701255798,0.9273951053619385,0.001442833045601017,0.9985638700760985
32,16,global_ridge_0.1,global_ridge,mini_val,128,114,0.0124299576794458,0.023147848858812572,-0.8622628858254197,0.23478645071379123,-0.09684854745864868,1.1876385807991028,-0.08154715502209782,0.37887871265411377,1.3572521209716797,-0.22831344604492188,39.136597633361816,10,33,9130168.385498047,0.1927565187215805,0.25627973675727844,6.046675482622144,2.3903459645758893,0.17942599952220917,0.5504385828971863,2.7589292526245117,8.573387549634566,0.12264619183715589
32,16,global_ridge_0.1,global_ridge,overall,256,204,0.013397656588442953,0.016298405303306705,-0.21651164856442034,0.47434033792096136,0.21028301864862442,0.9745930209755898,0.21576495431716342,0.7609609663486481,1.3753470480442047,-0.024679720401763916,39.25546169281006,8,33,15415042.589111328,0.10952164977788925,0.16095031797885895,3.0673752216712327,1.4077584730531352,0.35706716775894165,0.6960784196853638,1.950899362564087,4.791647233492375,0.5090804616484541
32,16,global_ridge_1,global_ridge,train,128,90,0.014803453060952654,0.007043556547039064,0.5241950294949774,0.7435816993316015,0.4621293395757675,0.7615474611520767,0.6068293352021075,0.9957812428474426,1.4174764752388,0.12309205532073975,39.58205795288086,0,0,6284874.203613281,0.006855672691017389,0.051994048058986664,0.16905400093552175,0.4215333773479939,0.9131811857223511,0.8479166626930237,0.8714484572410583,0.001442833045601017,0.9985638700760985
32,16,global_ridge_1,global_ridge,mini_val,128,114,0.0124299576794458,0.018825598090467816,-0.5145343673693965,0.22924898123254248,-0.0007788091897964478,1.1876385807991028,-0.0006557627904546735,0.453890860080719,1.3572521209716797,-0.06591439247131348,39.136597633361816,9,27,9130168.385498047,0.12913526594638824,0.21085727214813232,4.050908637065437,1.9666862310621354,0.171117901802063,0.5422149300575256,2.169280767440796,8.573387549634566,0.12264619183715589
32,16,global_ridge_1,global_ridge,overall,256,204,0.013397656588442953,0.014021936437628732,-0.04659619725768263,0.45616047451153907,0.23067526519298553,0.9745930209755898,0.2366888128975871,0.7569803595542908,1.3753470480442047,0.024798929691314697,39.25546169281006,9,27,15415042.589111328,0.07518838346004486,0.1407705545425415,2.1058026869626065,1.2312553550821896,0.3753567636013031,0.6770833134651184,1.5967077016830444,4.791647233492375,0.5090804616484541
32,16,global_ridge_10,global_ridge,train,128,90,0.014803453060952654,0.008078653137625994,0.4542723846684657,0.6834172398162385,0.38112834095954895,0.7615474611520767,0.5004656444957142,0.8377010822296143,1.4174764752388,0.0951528549194336,39.58205795288086,0,0,6284874.203613281,0.01123274676501751,0.06749808043241501,0.27698825012603456,0.5472298247850057,0.8576080799102783,0.8069444298744202,0.7603206038475037,0.001442833045601017,0.9985638700760985
32,16,global_ridge_10,global_ridge,mini_val,128,114,0.0124299576794458,0.015001316741641435,-0.20686788551562316,0.2402463379048481,0.09189023077487946,1.1876385807991028,0.07737221765989709,0.4727657437324524,1.3572521209716797,-0.011077880859375,39.136597633361816,7,24,9130168.385498047,0.08220797032117844,0.17046992480754852,2.5788228689437633,1.5899895247325138,0.19557565450668335,0.5444079041481018,1.603711724281311,8.573387549634566,0.12264619183715589
